Item_Identifier,Item_type_combined_Drinks,Item_type_combined_Food,Item_type_combined_Non-Consumable,Item_Weight,Item_Fat_Content_Low Fat,Item_Fat_Content_Non-Edible,Item_Fat_Content_Regular,Item_Visibility_avg,Item_MRP,Outlet_Identifier_OUT010,Outlet_Identifier_OUT013,Outlet_Identifier_OUT017,Outlet_Identifier_OUT018,Outlet_Identifier_OUT019,Outlet_Identifier_OUT027,Outlet_Identifier_OUT035,Outlet_Identifier_OUT045,Outlet_Identifier_OUT046,Outlet_Identifier_OUT049,Years.of.Operation,Outlet_Size_High,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Location_Type_Tier 1,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_Outlet_Sales
DRI11,1,0,0,12.79,1,0,0,0.519124167,113.2834,0,0,0,0,0,1,0,0,0,0,28,0,1,0,0,0,1,0,0,0,1,2303.668
FDU02,0,1,0,13.35,1,0,0,1.554022742,230.5352,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,1,0,0,1,0,0,2748.4224
FDN22,0,1,0,18.85,0,0,1,2.095291161,250.8724,0,1,0,0,0,0,0,0,0,0,26,1,0,0,0,0,1,0,1,0,0,3775.086
FDW12,0,1,0,12.79,0,0,1,0.536746487,144.5444,0,0,0,0,0,1,0,0,0,0,28,0,1,0,0,0,1,0,0,0,1,4064.0432
NCB30,0,0,1,14.6,0,1,0,0.38964444,196.5084,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,1,0,0,1,0,0,1587.2672
FDC37,0,1,0,12.79,1,0,0,0.872700105,107.6938,0,0,0,0,1,0,0,0,0,0,28,0,0,1,1,0,0,1,0,0,0,214.3876
FDR28,0,1,0,13.85,0,0,1,0.392651909,165.021,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,4078.025
NCD06,0,0,1,13,0,1,0,1.514524528,45.906,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,0,838.908
FDV10,0,1,0,7.645,0,0,1,1.01123011,42.3112,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,1,0,0,1,0,0,1065.28
DRJ59,1,0,0,11.65,1,0,0,0.293484702,39.1164,0,1,0,0,0,0,0,0,0,0,26,1,0,0,0,0,1,0,1,0,0,308.9312
FDE51,0,1,0,5.925,0,0,1,2.448214222,45.5086,1,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,1,1,0,0,0,178.4344
FDC14,0,1,0,12.79,0,0,1,1.095053173,43.6454,0,0,0,0,1,0,0,0,0,0,28,0,0,1,1,0,0,1,0,0,0,125.8362
FDV38,0,1,0,19.25,1,0,0,2.582886589,55.7956,1,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,1,1,0,0,0,163.7868
NCS17,0,0,1,18.6,0,1,0,1.22556429,96.4436,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,2741.7644
FDP33,0,1,0,18.7,1,0,0,1,256.6672,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,3068.0064
FDO23,0,1,0,17.85,1,0,0,1,93.1436,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,1,0,0,1,0,0,2174.5028
DRH01,1,0,0,17.5,1,0,0,1.48445644,174.8738,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,2085.2856
NCX29,0,0,1,10,0,1,0,1.353864644,146.7102,0,0,0,0,0,0,0,0,0,1,14,0,1,0,1,0,0,0,1,0,0,3791.0652
FDV20,0,1,0,12.79,0,0,1,0.902339704,128.0678,0,0,0,0,0,1,0,0,0,0,28,0,1,0,0,0,1,0,0,0,1,2797.6916
DRZ11,1,0,0,8.85,0,0,1,1.715225545,122.5388,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,1609.9044
FDX10,0,1,0,12.79,0,0,1,1.866660556,36.9874,0,0,0,0,0,1,0,0,0,0,28,0,1,0,0,0,1,0,0,0,1,388.1614
FDB34,0,1,0,12.79,1,0,0,0.401513841,87.6198,0,0,0,0,0,1,0,0,0,0,28,0,1,0,0,0,1,0,0,0,1,2180.495
FDU02,0,1,0,13.35,1,0,0,1.554316649,230.6352,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,3435.528
FDK43,0,1,0,9.8,1,0,0,0.406630774,126.002,0,1,0,0,0,0,0,0,0,0,26,1,0,0,0,0,1,0,1,0,0,2150.534
FDA46,0,1,0,13.6,1,0,0,1.786404576,192.9136,0,0,0,0,0,0,0,0,0,1,14,0,1,0,1,0,0,0,1,0,0,2527.3768
FDC02,0,1,0,21.35,1,0,0,1.047762217,259.9278,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,6768.5228
FDL50,0,1,0,12.15,0,0,1,0.641032372,126.5046,0,1,0,0,0,0,0,0,0,0,26,1,0,0,0,0,1,0,1,0,0,373.5138
FDM39,0,1,0,6.42,1,0,0,1.357015216,178.1002,1,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,1,1,0,0,0,358.2004
NCP05,0,0,1,19.6,0,1,0,1,153.3024,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,1,0,0,1,0,0,2428.8384
FDV49,0,1,0,10,1,0,0,0.392395544,265.2226,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,1,0,0,1,0,0,5815.0972
FDL12,0,1,0,15.85,0,0,1,1.844239485,60.622,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,2576.646
FDS02,0,1,0,12.79,0,0,1,3.872390156,196.8794,0,0,0,0,1,0,0,0,0,0,28,0,0,1,1,0,0,1,0,0,0,780.3176
NCL17,0,0,1,7.39,0,1,0,1.027700606,143.8812,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,3134.5864
FDM40,0,1,0,10.195,1,0,0,2.423004049,141.5154,0,1,0,0,0,0,0,0,0,0,26,1,0,0,0,0,1,0,1,0,0,850.8924
FDR13,0,1,0,9.895,0,0,1,0.435113304,117.0492,0,1,0,0,0,0,0,0,0,0,26,1,0,0,0,0,1,0,1,0,0,810.9444
FDA43,0,1,0,10.895,1,0,0,0.98618407,196.3794,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,0,3121.2704
NCP18,0,0,1,12.15,0,1,0,0.436069761,151.4708,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,0,4815.0656
FDK21,0,1,0,7.905,1,0,0,0.152428829,249.0408,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,6258.52
NCX54,0,0,1,9.195,0,1,0,0.730179046,106.1622,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,1,0,0,1,0,0,2117.244
DRK35,1,0,0,8.365,1,0,0,1.091056313,38.0506,0,0,0,0,0,0,0,0,0,1,14,0,1,0,1,0,0,0,1,0,0,796.9626
FDY21,0,1,0,15.1,1,0,0,2.630386528,194.511,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,4910.275
FDI26,0,1,0,12.79,1,0,0,0.926150149,180.0344,0,0,0,0,1,0,0,0,0,0,28,0,0,1,1,0,0,1,0,0,0,892.172
FDM20,0,1,0,10,1,0,0,1,246.9144,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,3185.1872
FDV27,0,1,0,7.97,0,0,1,0.607573039,87.3514,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,1,0,0,1,0,0,1062.6168
FDF09,0,1,0,12.79,1,0,0,0.183314092,38.2848,0,0,0,0,0,1,0,0,0,0,28,0,1,0,0,0,1,0,0,0,1,484.7024
FDY40,0,1,0,12.79,0,0,1,2.278690754,51.0692,0,0,0,0,1,0,0,0,0,0,28,0,0,1,1,0,0,1,0,0,0,147.8076
FDY45,0,1,0,12.79,1,0,0,0.394456746,255.8356,0,0,0,0,0,1,0,0,0,0,28,0,1,0,0,0,1,0,0,0,1,2543.356
FDC46,0,1,0,17.7,1,0,0,2.957695278,185.4266,1,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,1,1,0,0,0,184.4266
FDH19,0,1,0,19.35,1,0,0,0.501604557,172.5738,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,1,0,0,1,0,0,4865.6664
FDZ03,0,1,0,13.65,0,0,1,1.197014819,186.024,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,1,0,0,1,0,0,1118.544
DRH37,1,0,0,17.6,1,0,0,0.632282005,164.8526,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,1,0,0,1,0,0,2302.3364
NCI17,0,0,1,8.645,0,1,0,2.174626195,95.841,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,2027.361
FDJ58,0,1,0,15.6,0,0,1,1.59653728,170.1764,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,3435.528
FDL12,0,1,0,15.85,0,0,1,1.84270475,59.222,0,1,0,0,0,0,0,0,0,0,26,1,0,0,0,0,1,0,1,0,0,599.22
FDH35,0,1,0,18.25,1,0,0,1,164.7526,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,1,0,0,1,0,0,4604.6728
FDG02,0,1,0,7.855,1,0,0,0.17171167,189.6188,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,0,2285.0256
NCZ18,0,0,1,7.825,0,1,0,2.82561475,254.3698,0,0,0,0,0,0,0,0,0,1,14,0,1,0,1,0,0,0,1,0,0,5580.7356
FDC29,0,1,0,8.39,0,0,1,0.367015022,114.0176,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,2290.352
FDQ10,0,1,0,12.85,1,0,0,0.503857699,172.3422,0,0,0,0,0,0,0,0,0,1,14,0,1,0,1,0,0,0,1,0,0,1207.0954
FDN48,0,1,0,12.79,1,0,0,1.724269151,89.9804,0,0,0,0,1,0,0,0,0,0,28,0,0,1,1,0,0,1,0,0,0,643.1628
FDL04,0,1,0,19,1,0,0,1.706622632,104.9622,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,0,1587.933
FDV25,0,1,0,5.905,1,0,0,1,222.5456,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,1,0,0,1,0,0,5305.0944
FDD58,0,1,0,7.76,1,0,0,0.899920231,101.87,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,1697.79
FDN04,0,1,0,11.8,0,0,1,0.213593074,180.3344,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,1427.4752
FDV45,0,1,0,16.75,1,0,0,0.685807998,187.9556,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,4693.89
NCL18,0,0,1,12.79,0,1,0,4.448906612,194.6136,0,0,0,0,1,0,0,0,0,0,28,0,0,1,1,0,0,1,0,0,0,583.2408
FDR12,0,1,0,12.79,0,0,1,0.475825947,171.3764,0,0,0,0,0,1,0,0,0,0,28,0,1,0,0,0,1,0,0,0,1,3091.9752
FDG20,0,1,0,15.5,0,0,1,1.916505415,177.0028,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,0,2479.4392
FDZ55,0,1,0,6.055,1,0,0,0.385183126,160.992,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,1,0,0,1,0,0,2716.464
FDQ49,0,1,0,12.79,0,0,1,0.592206682,155.963,0,0,0,0,0,1,0,0,0,0,28,0,1,0,0,0,1,0,0,0,1,3285.723
FDN33,0,1,0,6.305,0,0,1,1.866725921,95.6436,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,661.8052
FDN27,0,1,0,20.85,1,0,0,0.600793568,117.2808,0,0,0,0,0,0,0,0,0,1,14,0,1,0,1,0,0,0,1,0,0,1523.3504
FDW20,0,1,0,20.75,1,0,0,0.612880807,122.173,1,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,1,1,0,0,0,369.519
DRG27,1,0,0,8.895,1,0,0,1.5962043,39.9138,0,0,0,0,0,0,0,0,0,1,14,0,1,0,1,0,0,0,1,0,0,690.4346
DRI25,1,0,0,19.6,1,0,0,0.515068432,55.1614,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,1,0,0,1,0,0,1381.535
FDA44,0,1,0,19.7,1,0,0,0.806829553,57.893,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,1,0,0,1,0,0,622.523
NCR17,0,0,1,9.8,0,1,0,0.369638793,114.5492,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,1,0,0,1,0,0,1274.3412
FDU04,0,1,0,12.79,1,0,0,0.147296217,120.0414,0,0,0,0,1,0,0,0,0,0,28,0,0,1,1,0,0,1,0,0,0,487.3656
FDF41,0,1,0,12.15,1,0,0,1.992088309,246.046,0,0,0,0,0,0,0,0,0,1,14,0,1,0,1,0,0,0,1,0,0,1231.73
FDB56,0,1,0,8.75,0,0,1,1.131310765,187.4556,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,1,0,0,1,0,0,3755.112
NCP18,0,0,1,12.79,0,1,0,0.431517231,149.9708,0,0,0,0,0,1,0,0,0,0,28,0,1,0,0,0,1,0,0,0,1,4363.6532
FDB56,0,1,0,8.75,0,0,1,1.131524721,187.8556,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,1314.2892
FDT28,0,1,0,13.3,1,0,0,0.965767993,151.0708,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,1,0,0,1,0,0,1805.6496
FDD10,0,1,0,12.79,0,0,1,0.694403314,178.5344,0,0,0,0,0,1,0,0,0,0,28,0,1,0,0,0,1,0,0,0,1,2854.9504
FDW57,0,1,0,8.31,0,0,1,1.756669287,179.1028,0,0,0,0,0,0,0,0,0,1,14,0,1,0,1,0,0,0,1,0,0,3896.2616
DRB48,1,0,0,16.75,0,0,1,0.376524022,38.7822,0,1,0,0,0,0,0,0,0,0,26,1,0,0,0,0,1,0,1,0,0,667.7974
FDP09,0,1,0,19.75,1,0,0,0.515943513,212.0902,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,3185.853
FDH14,0,1,0,17.1,0,0,1,0.709137659,141.1838,0,1,0,0,0,0,0,0,0,0,26,1,0,0,0,0,1,0,1,0,0,2247.7408
FDA47,0,1,0,10.5,0,0,1,1.767578289,163.121,0,1,0,0,0,0,0,0,0,0,26,1,0,0,0,0,1,0,1,0,0,1794.331
FDG12,0,1,0,6.635,0,0,1,1,121.3098,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,1,0,0,1,0,0,2530.7058
DRE60,1,0,0,12.79,1,0,0,4.22990623,225.372,0,0,0,0,1,0,0,0,0,0,28,0,0,1,1,0,0,1,0,0,0,679.116
DRK49,1,0,0,14.15,1,0,0,0.544538153,41.4138,0,1,0,0,0,0,0,0,0,0,26,1,0,0,0,0,1,0,1,0,0,812.276
FDD03,0,1,0,13.3,1,0,0,1.210051585,232.53,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,699.09
FDS52,0,1,0,8.89,1,0,0,0.083476102,102.4016,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,0,2732.4432
FDW39,0,1,0,12.79,0,0,1,0.979872903,176.937,0,0,0,0,1,0,0,0,0,0,28,0,0,1,1,0,0,1,0,0,0,176.437
FDX34,0,1,0,12.79,1,0,0,1.086185253,121.7098,0,0,0,0,0,1,0,0,0,0,28,0,1,0,0,0,1,0,0,0,1,4097.3332
FDV11,0,1,0,9.1,0,0,1,1,173.2054,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,1,0,0,1,0,0,3151.8972
FDD17,0,1,0,7.5,1,0,0,0.49547082,239.0906,0,0,0,0,0,0,0,0,0,1,14,0,1,0,1,0,0,0,1,0,0,5942.265
FDZ16,0,1,0,16.85,0,0,1,2.437502316,192.4478,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,0,4843.695
FDZ46,0,1,0,7.485,1,0,0,1.047880772,109.0228,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,1,0,0,1,0,0,2542.0244
DRA12,1,0,0,11.6,1,0,0,0.624348284,140.3154,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,0,2552.6772
FDY58,0,1,0,11.65,1,0,0,0.607725603,227.0694,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,1141.847
NCF19,0,0,1,13,0,1,0,0.535342437,47.5034,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,0,680.4476
DRJ13,1,0,0,12.65,1,0,0,0.95549948,159.0578,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,1,0,0,1,0,0,2085.9514
FDB14,0,1,0,20.25,0,0,1,2.606998234,92.512,1,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,1,1,0,0,0,186.424
FDJ38,0,1,0,8.6,0,0,1,0.609495642,190.153,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,1,0,0,1,0,0,3036.048
FDW11,0,1,0,12.6,1,0,0,0.743835423,62.7194,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,0,866.8716
FDL40,0,1,0,17.7,1,0,0,0.176049592,95.041,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,1,0,0,1,0,0,868.869
DRI49,1,0,0,14.15,1,0,0,2.782404244,82.4276,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,1137.1864
FDV38,0,1,0,19.25,1,0,0,1.551860574,52.7956,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,0,928.1252
DRG23,1,0,0,8.88,1,0,0,1.314713148,151.7682,0,1,0,0,0,0,0,0,0,0,26,1,0,0,0,0,1,0,1,0,0,762.341
NCP30,0,0,1,20.5,0,1,0,0.497858422,40.2822,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,1,0,0,1,0,0,707.0796
FDY25,0,1,0,12.79,1,0,0,0.512638178,180.5976,0,0,0,0,0,1,0,0,0,0,28,0,1,0,0,0,1,0,0,0,1,7968.2944
NCH54,0,0,1,13.5,0,1,0,1.101835586,160.292,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,1438.128
NCR53,0,0,1,12.79,0,1,0,2.188512645,224.4404,0,0,0,0,0,1,0,0,0,0,28,0,1,0,0,0,1,0,0,0,1,6976.2524
FDS52,0,1,0,8.89,1,0,0,0.138936008,101.7016,1,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,1,1,0,0,0,101.2016
FDG02,0,1,0,7.855,1,0,0,0.171441416,188.5188,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,952.094
NCO26,0,0,1,7.235,0,1,0,1.165312941,116.0492,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,1969.4364
FDH35,0,1,0,12.79,1,0,0,0.909087926,165.4526,0,0,0,0,0,1,0,0,0,0,28,0,1,0,0,0,1,0,0,0,1,5262.4832
FDB51,0,1,0,6.92,1,0,0,0.584237116,60.5852,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,1,0,0,1,0,0,1314.2892
FDX44,0,1,0,9.3,1,0,0,0.655159358,90.8172,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,0,535.3032
NCN07,0,0,1,18.5,0,1,0,0.861471874,132.1284,1,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,1,1,0,0,0,263.6568
NCC31,0,0,1,8.02,0,1,0,0.301226195,154.5972,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,1,0,0,1,0,0,1402.1748
NCX54,0,0,1,9.195,0,1,0,0.732823044,105.1622,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,0,1693.7952
NCO55,0,0,1,12.8,0,1,0,1.383138891,105.5938,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,1,0,0,1,0,0,2143.876
NCC30,0,0,1,16.6,0,1,0,0.418815947,177.6344,0,0,0,0,0,0,0,0,0,1,14,0,1,0,1,0,0,0,1,0,0,2676.516
FDI16,0,1,0,14,0,0,1,1,53.064,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,1,0,0,1,0,0,905.488
FDP16,0,1,0,18.6,1,0,0,0.59672916,246.3802,0,0,0,0,0,0,0,0,0,1,14,0,1,0,1,0,0,0,1,0,0,7370.406
FDB11,0,1,0,16,1,0,0,0.922425469,226.8404,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,1,0,0,1,0,0,6301.1312
NCB06,0,0,1,17.6,0,1,0,1.248112756,160.692,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,1,0,0,1,0,0,1597.92
FDA45,0,1,0,21.25,1,0,0,2.355477646,178.237,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,1,0,0,1,0,0,529.311
NCO26,0,0,1,7.235,0,1,0,1.165092586,117.5492,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,1,0,0,1,0,0,1969.4364
DRJ25,1,0,0,14.6,1,0,0,2.295872668,50.3692,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,0,1034.6532
FDR28,0,1,0,13.85,0,0,1,0.394251402,161.521,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,1794.331
FDI04,0,1,0,13.65,0,0,1,1.11002822,197.6426,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,2768.3964
DRK12,1,0,0,12.79,1,0,0,0.632020076,31.29,0,0,0,0,0,1,0,0,0,0,28,0,1,0,0,0,1,0,0,0,1,898.83
FDX20,0,1,0,7.365,1,0,0,0.645313996,226.172,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,3169.208
NCI18,0,0,1,18.35,0,1,0,0.213503601,223.5746,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,3589.9936
FDB36,0,1,0,5.465,0,0,1,1,132.5626,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,262.3252
FDN13,0,1,0,18.6,1,0,0,2.318604068,99.8358,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,0,1910.1802
DRD24,1,0,0,13.85,1,0,0,0.469567378,140.9154,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,0,1701.7848
FDQ28,0,1,0,14,0,0,1,0.915454603,154.5656,0,1,0,0,0,0,0,0,0,0,26,1,0,0,0,0,1,0,1,0,0,2471.4496
FDM22,0,1,0,14,0,0,1,0.635649475,54.764,0,1,0,0,0,0,0,0,0,0,26,1,0,0,0,0,1,0,1,0,0,1331.6
FDR07,0,1,0,12.79,1,0,0,1.173073084,97.0094,0,0,0,0,0,1,0,0,0,0,28,0,1,0,0,0,1,0,0,0,1,1808.9786
FDV25,0,1,0,5.905,1,0,0,0.695015601,222.5456,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,1,0,3315.684
DRF49,1,0,0,7.27,1,0,0,1.077709522,114.2518,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,2618.5914
FDW51,0,1,0,6.155,0,0,1,1.435267338,214.556,0,0,0,0,0,0,0,0,1,0,16,0,0,1,1,0,0,0,1,0,0,2769.728
DRL01,1,0,0,19.5,0,0,1,1.176733384,233.4958,0,0,1,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,0,5375.0034
