Item_Weight,Item_Visibility_avg,Item_MRP,Years.of.Operation,Item_Outlet_Sales
15.85,1.844239485,60.622,16,2576.646
12.79,3.872390156,196.8794,28,780.3176
7.39,1.027700606,143.8812,16,3134.5864
10.195,2.423004049,141.5154,26,850.8924
9.895,0.435113304,117.0492,26,810.9444
10.895,0.98618407,196.3794,6,3121.2704
12.15,0.436069761,151.4708,6,4815.0656
7.905,0.152428829,249.0408,4,6258.52
9.195,0.730179046,106.1622,11,2117.244
8.365,1.091056313,38.0506,14,796.9626
15.1,2.630386528,194.511,16,4910.275
12.79,0.926150149,180.0344,28,892.172
10,1,246.9144,4,3185.1872
7.97,0.607573039,87.3514,11,1062.6168
12.79,0.183314092,38.2848,28,484.7024
12.79,2.278690754,51.0692,28,147.8076
12.79,0.394456746,255.8356,28,2543.356
17.7,2.957695278,185.4266,15,184.4266
19.35,0.501604557,172.5738,9,4865.6664
13.65,1.197014819,186.024,11,1118.544
17.6,0.632282005,164.8526,11,2302.3364
8.645,2.174626195,95.841,16,2027.361
15.6,1.59653728,170.1764,16,3435.528
15.85,1.84270475,59.222,26,599.22
18.25,1,164.7526,11,4604.6728
7.855,0.17171167,189.6188,6,2285.0256
7.825,2.82561475,254.3698,14,5580.7356
8.39,0.367015022,114.0176,16,2290.352
12.85,0.503857699,172.3422,14,1207.0954
12.79,1.724269151,89.9804,28,643.1628
19,1.706622632,104.9622,6,1587.933
5.905,1,222.5456,11,5305.0944
7.76,0.899920231,101.87,16,1697.79
11.8,0.213593074,180.3344,16,1427.4752
16.75,0.685807998,187.9556,4,4693.89
12.79,4.448906612,194.6136,28,583.2408
12.79,0.475825947,171.3764,28,3091.9752
15.5,1.916505415,177.0028,6,2479.4392
6.055,0.385183126,160.992,9,2716.464
12.79,0.592206682,155.963,28,3285.723
6.305,1.866725921,95.6436,16,661.8052
20.85,0.600793568,117.2808,14,1523.3504
20.75,0.612880807,122.173,15,369.519
8.895,1.5962043,39.9138,14,690.4346
19.6,0.515068432,55.1614,11,1381.535
19.7,0.806829553,57.893,9,622.523
9.8,0.369638793,114.5492,9,1274.3412
12.79,0.147296217,120.0414,28,487.3656
12.15,1.992088309,246.046,14,1231.73
8.75,1.131310765,187.4556,9,3755.112
12.79,0.431517231,149.9708,28,4363.6532
8.75,1.131524721,187.8556,16,1314.2892
13.3,0.965767993,151.0708,11,1805.6496
12.79,0.694403314,178.5344,28,2854.9504
8.31,1.756669287,179.1028,14,3896.2616
16.75,0.376524022,38.7822,26,667.7974
19.75,0.515943513,212.0902,4,3185.853
17.1,0.709137659,141.1838,26,2247.7408
10.5,1.767578289,163.121,26,1794.331
6.635,1,121.3098,11,2530.7058
12.79,4.22990623,225.372,28,679.116
14.15,0.544538153,41.4138,26,812.276
13.3,1.210051585,232.53,16,699.09
8.89,0.083476102,102.4016,6,2732.4432
12.79,0.979872903,176.937,28,176.437
12.79,1.086185253,121.7098,28,4097.3332
9.1,1,173.2054,11,3151.8972
7.5,0.49547082,239.0906,14,5942.265
16.85,2.437502316,192.4478,6,4843.695
7.485,1.047880772,109.0228,9,2542.0244
11.6,0.624348284,140.3154,6,2552.6772
11.65,0.607725603,227.0694,4,1141.847
13,0.535342437,47.5034,6,680.4476
12.65,0.95549948,159.0578,11,2085.9514
20.25,2.606998234,92.512,15,186.424
8.6,0.609495642,190.153,9,3036.048
12.6,0.743835423,62.7194,6,866.8716
17.7,0.176049592,95.041,9,868.869
14.15,2.782404244,82.4276,16,1137.1864
19.25,1.551860574,52.7956,6,928.1252
8.88,1.314713148,151.7682,26,762.341
20.5,0.497858422,40.2822,11,707.0796
12.79,0.512638178,180.5976,28,7968.2944
13.5,1.101835586,160.292,16,1438.128
12.79,2.188512645,224.4404,28,6976.2524
8.89,0.138936008,101.7016,15,101.2016
7.855,0.171441416,188.5188,4,952.094
7.235,1.165312941,116.0492,16,1969.4364
12.79,0.909087926,165.4526,28,5262.4832
6.92,0.584237116,60.5852,11,1314.2892
9.3,0.655159358,90.8172,6,535.3032
18.5,0.861471874,132.1284,15,263.6568
8.02,0.301226195,154.5972,9,1402.1748
9.195,0.732823044,105.1622,6,1693.7952
12.8,1.383138891,105.5938,11,2143.876
16.6,0.418815947,177.6344,14,2676.516
14,1,53.064,9,905.488
18.6,0.59672916,246.3802,14,7370.406
16,0.922425469,226.8404,9,6301.1312
17.6,1.248112756,160.692,9,1597.92
21.25,2.355477646,178.237,9,529.311
7.235,1.165092586,117.5492,9,1969.4364
14.6,2.295872668,50.3692,6,1034.6532
13.85,0.394251402,161.521,4,1794.331
13.65,1.11002822,197.6426,4,2768.3964
12.79,0.632020076,31.29,28,898.83
7.365,0.645313996,226.172,16,3169.208
18.35,0.213503601,223.5746,4,3589.9936
5.465,1,132.5626,4,262.3252
18.6,2.318604068,99.8358,6,1910.1802
13.85,0.469567378,140.9154,6,1701.7848
14,0.915454603,154.5656,26,2471.4496
14,0.635649475,54.764,26,1331.6
12.79,1.173073084,97.0094,28,1808.9786
5.905,0.695015601,222.5456,4,3315.684
7.27,1.077709522,114.2518,16,2618.5914
6.155,1.435267338,214.556,16,2769.728
19.5,1.176733384,233.4958,6,5375.0034
15.2,0.323374951,216.8824,6,2838.9712
12.15,0.64417973,125.0046,4,1743.0644
12.79,0.3878309,198.8084,28,5555.4352
12.6,0.742664676,61.9194,4,619.194
14.5,0.295236804,164.821,9,2120.573
16.6,1.86374027,173.0738,6,3823.0236
11.8,0.869922344,151.4366,26,1360.2294
13.1,0.669503196,178.8318,26,3969.4996
17.7,4.425369211,115.1834,15,345.5502
17.85,1,196.5794,15,585.2382
12.3,0.981763392,92.6804,11,1010.6844
11.8,1.490648628,81.4618,15,161.1236
12.79,2.896218522,42.1112,28,42.6112
11.1,2.677264476,157.4604,11,3010.7476
12.79,0.911780231,153.0656,28,6024.1584
11.3,0.110604163,198.1426,11,988.713
12.79,1.948037096,117.944,28,239.688
5.75,1.138809554,112.8176,26,1374.2112
12.79,0.74873881,226.8062,28,4739.8302
11.35,0.6848202,100.0016,4,1012.016
12.79,1.427593348,165.7526,28,657.8104
14,0.438311046,130.431,14,778.986
19.75,0.273826532,179.766,11,2336.958
6.525,1.371224898,85.0882,14,2233.0932
10.3,2.219765596,103.9648,14,1661.8368
5.78,1.126023134,264.7568,14,4745.8224
11.85,0.760949364,164.1526,11,3124.5994
16.35,0.31282463,50.1324,4,467.3916
12.79,0.236700864,182.5976,28,5070.7328
10.5,0.627652769,37.6164,16,540.6296
19,1.475497,48.0718,16,992.7078
14.6,0.903419022,238.8538,14,6008.845
12.79,1.49597412,62.9194,28,2105.2596
12.79,1.536533426,232.63,28,5359.69
18.75,0.790663502,104.628,11,745.696
5.26,0.633248318,161.8868,9,3275.736
18.25,0.823986282,140.2154,11,1701.7848
12.79,1.188160438,177.937,28,6704.606
15.1,0.79358397,242.7512,16,4119.9704
15.5,0.643869174,81.5934,15,327.5736
13.65,0.996665842,45.7402,14,780.9834
16.1,0.358212558,189.3846,11,3630.6074
12.79,0.783039138,107.3622,28,317.5866
12.85,2.512315918,39.7164,15,231.6984
9.5,0.634975463,32.99,9,133.16
13.8,0.880804145,245.1802,9,5650.6446
5.78,1,263.7568,6,2636.568
19.7,0.407923881,96.0726,11,1272.3438
14.65,1,161.5552,15,324.9104
6.67,2.2827652,130.0626,15,131.1626
6.11,1,131.2968,15,260.9936
13.65,2.046549486,260.0936,15,260.9936
17.2,2.367887904,160.6578,26,3690.5294
6.32,1,40.2822,9,1139.1838
4.88,2.027219353,52.9298,14,1995.4026
5.425,1.745489803,88.3514,6,1416.8224
15.85,1.668329932,37.2506,16,265.6542
7.5,0.773857372,121.7072,6,3552.7088
12.65,0.952772089,161.5578,26,2406.867
12.79,0.259533912,211.956,28,213.056
20.75,0.365857694,124.173,26,2956.152
12.79,0.754402999,152.134,28,153.134
9,1,79.7644,9,1649.8524
12.79,1.539913374,181.9292,28,3101.2964
12.79,0.090210663,165.6526,28,4769.1254
12.79,2.116076987,170.4764,28,3435.528
14.1,1.91099896,86.4198,11,1133.8574
7.55,0.411880727,152.334,9,2603.278
13,1.506005933,45.406,16,605.878
12.79,0.660679656,192.8846,28,2293.0152
12.79,1.254556396,118.7782,28,119.1782
12.3,0.978961038,92.9804,26,1929.4884
12.79,1.28204708,109.8912,28,2074.6328
12.79,0.886267493,79.9618,28,241.6854
17.25,1.724698868,251.3724,11,6795.1548
15.85,0.312397916,42.7112,6,639.168
18.85,0.789124825,192.1846,9,3248.4382
16.35,0.951657064,227.6062,6,7222.5984
14.1,1.333943194,229.0668,9,3225.1352
7.905,0.151781699,249.0408,9,3755.112
12,0.51470405,179.3976,26,3440.8544
12.15,0.88570456,163.4552,9,974.7312
10.1,0.410997975,75.367,14,535.969
17.5,0.409730765,262.491,6,5259.82
12.79,0.881743105,152.034,28,306.268
17.1,1.954999638,112.3886,4,1779.0176
7.785,1.347119955,61.451,14,759.012
11.8,1.418860433,125.9704,26,1877.556
13.15,2.512322877,171.8764,11,3779.0808
12.79,2.249982836,41.5796,28,41.2796
8.5,1.492558676,51.1324,6,259.662
8.645,2.172816536,96.341,26,193.082
17.6,1.156527564,110.9202,11,1687.803
9.1,2.654981867,127.5362,6,4655.9394
12.8,0.356487945,225.9404,26,4950.8888
7.63,0.925704117,95.4436,9,1418.154
9.285,0.751432191,246.4144,6,1225.072
13.6,1.810660961,231.03,11,5359.69
8.895,1.099962746,176.237,11,1764.37
16.35,1.371994145,195.211,26,2553.343
17.6,0.852808252,43.3454,26,1006.6896
7.975,0.221658177,85.225,26,1081.925
15.85,0.659246297,36.7164,6,308.9312
15.7,0.684826887,178.666,26,2516.724
8.985,0.876795504,128.831,16,1428.141
20.35,1.355435904,260.1594,26,2093.2752
6.59,1.599772443,85.6908,26,1929.4884
19.85,0.079362128,264.0884,9,5829.7448
16.85,0.551761033,91.4488,16,2082.6224
12.79,0.499269932,173.1738,28,7298.4996
16.75,1.231980426,256.4988,26,7452.9652
17.6,1.160715394,110.5202,6,450.0808
7.905,0.254099509,250.4408,15,500.6816
12.79,0.670906897,126.202,28,3668.558
7.785,0.580537879,103.1964,4,736.3748
7.825,2.820695018,253.0698,9,6088.0752
12.79,0.483186061,101.0016,28,2125.2336
20.75,0.324022748,153.0024,6,2277.036
12.79,2.938050041,190.3846,28,573.2538
6.26,0.149592618,151.1366,9,2267.049
18.2,1.251668876,147.3734,15,296.9468
13,1.512140777,46.306,4,559.272
20.25,0.285075913,222.1772,9,5559.43
8.695,1.815260115,95.5094,14,1237.7222
7.27,1.079895146,113.5518,11,569.259
12.79,0.915381611,174.0712,28,3866.9664
12.85,0.504717784,198.4768,11,1379.5376
7.075,0.888281282,142.7128,4,1869.5664
12.79,1.770856664,196.211,28,5499.508
8.195,0.476890663,94.3462,14,925.462
7.09,0.10938053,47.9034,9,583.2408
6.095,1.231132622,141.4154,16,1418.154
19.35,0.756850037,80.2644,6,942.7728
6.15,0.701576946,99.3384,16,2364.9216
12.79,0.416618678,87.9856,28,3251.7672
12.79,1.587568212,125.2678,28,254.3356
17.7,0.190136079,167.0474,9,5895.659
17.85,2.22922876,93.7436,4,1134.5232
9.395,2.420786448,224.972,11,7696.648
15.75,2.143937314,250.5382,6,2775.7202
7.475,2.256490295,241.2854,11,5317.0788
7.075,1,98.0068,4,874.8612
6.445,0.450197278,92.6436,16,1039.9796
19.1,1.46643588,235.0958,9,3038.0454
20.25,0.224259827,193.6162,9,3848.324
15,0.824502819,59.1904,16,527.3136
6.67,1.871469163,89.1514,16,2390.8878
12.79,0.454013659,60.222,28,1677.816
16.7,0.794023557,112.7176,26,801.6232
7.07,1.423156749,115.5834,11,1267.0174
6.48,0.515044961,148.0076,11,886.8456
19,2.625425024,228.272,15,452.744
13.35,2.118716239,147.5392,11,3877.6192
12.79,0.65731719,146.6418,28,4414.254
12.79,0.638133101,122.4388,28,5448.9072
9.695,1.948101202,223.9404,14,4950.8888
15,0.748369925,62.6168,6,958.752
11.15,0.12625298,149.9708,6,1956.1204
20.85,0.323912881,103.2306,14,2404.2038
9.8,2.295899187,194.3478,15,387.4956
16.35,0.492955991,165.0842,26,994.7052
9.6,0.338479409,101.299,11,1754.383
12.79,0.292517692,129.9994,28,3340.9844
13.35,0.72968028,216.7166,11,3918.8988
20.7,1.404232998,76.367,26,306.268
12.79,1.435834456,158.4604,28,4278.4308
16.2,0.545604052,260.6278,11,4425.5726
12.79,0.858144039,230.9984,28,9267.936
12.79,3.103735733,76.867,28,229.701
12.79,0.312622516,129.3994,28,2055.9904
5.5,0.714120163,101.3016,16,3339.6528
15.1,1.327982323,221.7456,11,6410.3224
15.7,0.577366094,122.9046,6,1992.0736
7.895,1.441972454,104.4332,6,2870.9296
12.79,0.181249403,164.5184,28,2807.0128
17.35,0.952186989,88.183,26,539.298
7.285,0.471939303,174.3054,26,4377.635
20.25,0.394310763,180.9976,11,2716.464
12.79,1.401971532,190.9504,28,383.5008
15.85,1.633974565,59.5904,14,703.0848
6.17,0.161440913,66.3826,14,1937.478
19.5,0.238797227,182.2608,14,3307.6944
19.2,1.177024729,197.611,14,3142.576
16.7,1,181.2292,4,2554.0088
20.85,0.859641262,104.0648,4,1869.5664
14.5,0.970286135,260.4594,11,5494.8474
11.395,1.054227919,233.1616,26,6093.4016
7.97,0.522388124,174.0422,16,2586.633
7.71,1.011339931,55.2956,14,1255.6988
19.25,0.526130013,141.7496,16,4093.3384
7.075,0.884677477,142.2128,16,3163.8816
12.79,0.988633125,166.0816,28,5033.448
11.6,1.196758817,79.9276,16,1137.1864
12.79,2.767356903,98.77,28,2696.49
12.1,0.256172568,178.566,4,898.83
10,1.11261034,118.244,16,2756.412
14.35,1.224475754,81.896,11,878.856
10.395,1.702301222,58.222,14,659.142
12.79,2.331082708,182.6292,28,182.4292
8.1,1.939713853,211.4902,26,3610.6334
8.05,1.188511538,256.4646,9,5153.292
9.195,1.190277999,108.7596,6,2588.6304
20.7,0.723014724,212.5876,4,1286.3256
15.7,1.867391428,110.1544,6,1230.3984
12.79,1,60.2194,28,1733.7432
12.79,0.809563206,193.8162,28,384.8324
16.5,0.556699915,180.0318,11,3969.4996
9,0.989146053,176.437,9,7763.228
6.785,0.63602394,41.2112,26,809.6128
19.5,1.256785476,178.6002,4,1253.7014
7.575,0.839845129,195.2768,16,5715.2272
18.2,0.184898286,57.7904,26,1464.76
16.75,0.917250842,169.8106,26,3251.1014
7.47,1,214.3218,9,4274.436
12.79,0.22370264,231.7958,28,5375.0034
12.79,2.436705306,38.019,28,1318.284
13.85,1.298237345,119.4124,4,2251.7356
6.635,0.702789314,37.4506,6,1176.4686
6.11,1.560523848,130.4968,16,3523.4136
15.25,0.403391351,86.2198,9,610.5386
15.85,1,96.4094,9,1237.7222
15.2,0.483077817,235.1248,15,474.0496
12.79,1,52.6666,28,717.7324
20.75,0.322200247,150.5024,16,2580.6408
10.195,2.425022084,143.2154,16,2552.6772
7.605,1.963573727,164.021,11,3914.904
18,2.163500098,88.5514,16,796.9626
12.79,2.721407816,228.9352,28,916.1408
18.35,1.351922633,191.3504,11,3259.7568
6.59,1.603594132,84.8908,14,1677.816
13.8,0.863660546,230.0984,14,3707.1744
21.2,0.106757896,173.5738,16,2954.1546
10.5,0.167189222,166.4842,4,2652.5472
8.97,1.413181628,52.7956,11,1037.3164
12.79,0.408122205,50.9666,28,717.7324
10.6,0.534690092,86.1224,11,426.112
13.65,0.241209302,231.1668,9,6911.004
19,0.268666112,211.0244,16,3811.0392
12.79,0.535749987,115.3518,28,2277.036
12.79,0.995446955,48.9034,28,48.6034
6.865,0.863027123,212.8218,14,5770.4886
10.8,0.729966076,40.2138,16,690.4346
16.7,0.334289366,110.2886,26,1890.2062
12.79,1.371091075,126.2336,28,3195.84
15.15,0.421199137,150.1708,16,1504.708
10.5,1,238.3248,15,711.0744
17.6,0.121808527,174.2422,4,4311.055
19.35,0.501699428,175.4738,16,521.3214
15.7,2.436031066,59.4562,16,829.5868
18.1,2.713694874,155.5288,6,1571.288
10.195,0.267280439,239.6538,9,2403.538
12.79,0.29438941,41.6454,28,83.8908
6.655,0.257657448,211.0586,11,844.2344
19,0.41149157,127.3336,6,2940.1728
7.075,0.57272021,98.0068,15,291.6204
13.15,0.557163458,181.2976,11,3259.7568
20.1,0.340548223,226.8036,14,3415.554
20.35,1,256.7672,4,5624.6784
18.85,0.790501174,190.1846,14,6687.961
16.35,0.947775636,227.1062,14,5642.655
11.3,0.11082996,196.2426,4,4943.565
17.5,0.236893032,182.6266,4,3135.2522
18,2.167887737,87.4514,11,796.9626
7.935,0.260657019,51.535,11,848.895
12.79,2.177208284,37.3164,28,38.6164
20.25,0.181876655,184.5924,16,4997.4948
15.5,2.383104397,149.1418,14,588.5672
12.79,0.9308644,91.812,28,372.848
12.79,4.004754144,155.7314,28,155.1314
15.35,0.307948293,218.0508,26,3038.7112
10.1,0.828332543,200.2084,16,1587.2672
16.7,0.796296517,115.4176,11,687.1056
20.7,0.721200956,213.4876,14,1929.4884
16,0.92183215,223.8404,26,3600.6464
14,0.626071699,180.7634,16,2181.1608
12.85,0.34273083,181.4318,16,3428.2042
20.85,0.857889963,105.6648,11,623.1888
12.35,2.489611856,120.5124,14,2133.2232
6.85,0.348377991,261.6594,4,3401.5722
10.3,0.414087958,101.0042,9,1289.6546
12.79,2.152683511,49.6008,28,50.6008
8.775,1,45.9428,26,790.9704
18.85,0.245609965,129.2626,6,3147.9024
12.79,0.215383916,56.7614,28,2486.763
14.85,1.416846265,141.0812,9,1139.8496
20.5,0.291113324,84.3592,16,1816.3024
7.84,2.336827227,51.935,4,199.74
18.25,1.349516866,196.7452,11,978.726
10.3,0.168560613,85.854,26,2683.174
12.5,1.56813267,169.9448,9,2897.5616
12.79,1.349995573,260.5594,28,9158.079
20.25,1.557537362,93.212,16,1957.452
12.79,0.375012759,40.2822,28,1296.3126
15,0.680350897,140.3838,26,2528.7084
8.325,0.451232715,38.7138,26,284.2966
15.85,1.197815877,38.6506,6,759.012
13.1,0.316449799,117.3782,16,1787.673
6.26,0.479126354,111.3228,6,2431.5016
17.25,0.643091982,173.1764,4,4466.1864
5.765,1.096006704,119.9098,9,2048.6666
13.6,0.151393876,175.437,26,1940.807
10.5,0.801370632,88.783,6,2067.309
7.975,0.222292692,85.125,11,2663.2
12.65,1.157712563,192.1846,4,1146.5076
12.3,1.163099402,247.846,11,3448.844
5.985,0.086090018,184.8924,11,1665.8316
12.79,1,184.7266,28,8114.7704
15.15,0.186229693,132.5284,14,1713.7692
12.35,0.404550983,56.4246,16,810.9444
14.3,1.933833904,84.9224,16,1193.1136
8.695,1.812099535,93.4094,9,856.8846
16.35,0.825794485,163.8842,15,165.7842
6.135,1,151.3366,11,1057.9562
19.5,0.238910081,185.0608,11,2205.1296
9.5,0.165390557,182.3608,26,2940.1728
8.895,1.143781354,235.8616,9,3046.7008
18.25,1,196.8452,16,3327.6684
21.35,1.74662413,258.3278,15,520.6556
19.7,1.014707826,174.837,9,2999.429
12.79,0.980037581,90.0804,28,2113.2492
16.6,1.564686144,117.8466,11,942.7728
12.79,1.989458519,74.0354,28,75.2354
10.895,0.54201691,133.6284,16,1581.9408
12.79,2.921030349,37.4506,28,37.9506
12.79,1.48639331,151.3024,28,151.8024
12.79,0.456665178,248.8092,28,3486.1288
8.51,0.245658257,195.2478,6,4262.4516
14.15,0.885073836,243.9828,15,731.0484
6.65,1.329025221,128.8678,9,1398.8458
15.25,1.000700926,177.966,14,2336.958
18.25,1.345664777,196.5452,26,2348.9424
12.79,1.52044957,196.8768,28,7094.7648
16,1.504901507,87.4856,9,1054.6272
19.2,1,127.831,11,1298.31
12.15,1,117.815,6,2330.3
8.895,0.400053978,208.9954,14,4584.6988
10.895,3.472077053,263.4568,15,527.3136
16,0.992102486,76.1986,6,1869.5664
12.79,0.405593077,106.928,28,2876.256
9.195,1,43.6744,4,407.4696
11.35,0.65704451,201.0742,4,2189.8162
10,1.359409141,144.0102,6,1603.9122
9.395,0.605801317,82.4908,9,2013.3792
12.79,1.332088276,95.9752,28,95.8752
20.75,2.265318566,192.8478,15,774.9912
9.8,0.407794789,128.402,11,2403.538
5.695,0.998549144,258.5646,4,4380.2982
18.2,2.453528327,37.819,11,219.714
19.35,1.246315303,49.2034,26,729.051
18.35,0.23252013,106.6938,11,1393.5194
6.36,0.090833472,163.6526,11,5262.4832
9.8,0.210728388,46.506,4,372.848
12.79,1.196499571,99.9042,28,3273.7386
12.79,0.906349012,231.7642,28,5344.3766
6.635,1,39.7506,26,303.6048
18.1,4.516621013,156.7288,15,314.2576
8.93,0.334475575,56.0614,15,276.307
8.3,0.535609568,38.9506,26,721.0614
8.895,1.894804055,112.7544,11,3467.4864
16.35,0.946304371,225.9062,16,5416.9488
8.6,0.496634577,140.5154,4,283.6308
12.79,2.428689617,160.2894,28,323.5788
19,1.577418693,227.772,6,5206.556
7.56,0.968877885,157.263,11,2503.408
12.6,0.949893409,104.899,26,1960.781
15.6,1.693421687,184.7924,15,370.1848
8.71,3.53343433,49.5376,15,95.8752
18.1,2.702626788,158.1288,14,3299.7048
13.35,2.126388198,150.2392,6,2684.5056
16.6,1,173.3738,16,2085.2856
6.695,0.514543526,221.9456,9,2210.456
12.79,0.250425759,47.4034,28,2187.153
16.6,0.402366754,57.2614,16,1049.9666
15.35,0.237643766,145.047,9,2719.793
19.7,1.350722653,54.593,15,56.593
14.3,1.988586364,78.6328,6,231.6984
12.79,1.260135737,195.8426,28,5734.5354
10,0.694720875,138.718,26,1398.18
14.8,0.68033211,76.467,9,1531.34
12.79,1,160.692,28,319.584
8.71,0.69834524,43.8744,14,633.8416
12.15,0.467234694,252.0698,15,1014.6792
17.85,0.273840617,97.0094,11,2094.6068
9.5,0.533804125,171.3448,14,2386.2272
11.8,1.163043438,34.7558,9,780.9834
14.1,1.359726959,139.8496,16,1693.7952
12.79,2.006396182,168.4158,28,334.2316
19.35,0.993443915,168.3816,16,1342.2528
19.75,0.189813181,190.6872,6,4916.2672
10.3,0.763481009,78.696,6,1757.712
12.79,1.6794234,108.5912,28,1637.868
12.79,0.683074679,84.925,28,1747.725
10.8,1.258731353,193.4504,6,2876.256
17.75,1,139.9838,11,1966.7732
8.575,0.363642867,106.328,4,958.752
19.1,1.149860885,40.2138,15,81.2276
20.7,1.521250264,123.4388,14,1238.388
12.79,0.785079461,157.892,28,319.584
6.785,0.348286577,211.0928,9,4418.2488
6.57,1.000937277,259.7278,26,2863.6058
5.78,1.126555241,264.9568,11,1845.5976
6.92,1.988217434,93.1804,14,1561.9668
20.25,0.22465097,194.1162,14,3848.324
13.65,0.747782201,149.005,11,2097.27
13.5,0.272323502,81.596,6,639.168
16.5,0.542831371,92.612,4,559.272
16.7,0.585363725,146.5102,11,2770.3938
8.68,0.13451574,99.7384,4,295.6152
12.79,1.907333368,36.2506,28,37.9506
7.235,0.885012171,115.2834,4,1267.0174
16.75,1,39.3822,16,353.5398
15.35,1.110936279,92.112,9,1118.544
10.8,0.753230584,245.9144,26,4655.2736
6.26,0.477172183,110.2228,14,1547.3192
5.63,0.372682274,105.3306,14,1045.306
6.92,1.996359805,91.8804,6,275.6412
12.15,0.235376083,212.0928,4,2735.1064
16.6,1.857015944,175.5738,11,347.5476
9.195,1.635888555,182.7634,16,3817.0314
19,1.941781954,104.3622,9,1905.5196
9.395,0.687790644,83.825,11,665.8
9.8,1.370531417,192.1478,26,2324.9736
12.79,1.319576097,109.2228,28,3205.1612
18.85,0.789274069,189.1846,16,2101.9306
9.13,0.787723778,152.3024,11,1821.6288
9,0.770041324,152.2024,6,3643.2576
17.1,1.018021606,114.586,9,2942.836
6.715,1.842002642,40.2454,26,587.2356
5.82,1.222700211,167.779,16,2886.243
18.7,0.571609779,110.2886,11,2223.772
7.93,1,123.2414,4,487.3656
18.75,0.523122831,211.7218,6,5770.4886
12.79,0.81566166,117.7466,28,1414.1592
5,0.667214862,188.853,16,5502.837
7.445,1,76.8354,16,2181.8266
20.85,1.838442201,193.9452,16,1565.9616
20.85,1,115.1808,4,1054.6272
19.2,1.519725385,112.9886,14,1667.829
17.35,2.537922753,175.6712,16,2812.3392
14.3,0.52165704,98.1726,9,489.363
19.5,1.254225099,179.3002,11,2865.6032
6.675,0.635508238,90.7462,9,1665.8316
8.18,0.200208392,143.8154,6,2694.4926
6.98,0.6232609,83.4934,16,1555.9746
12.79,2.139503475,87.9172,28,3836.3396
16.85,0.55288003,90.7488,11,543.2928
14.8,0.295122965,196.3794,26,1950.794
12.3,1,57.3562,26,177.7686
7.435,1.86628694,206.9638,11,1035.319
15.1,1.601855949,42.8796,9,949.4308
9.195,1.791423758,160.5578,6,1283.6624
10.1,0.70574411,59.9878,26,484.7024
16,0.985701361,79.5986,26,934.7832
17.7,0.252154693,48.1034,11,534.6374
8.1,2.039828981,39.448,14,878.856
20.6,1.260494675,120.1756,14,1332.9316
20.35,0.597824186,127.9678,4,3560.6984
8.195,1,93.1462,4,647.8234
17.75,0.528000897,248.675,11,4993.5
7.475,2.251497526,240.6854,9,1691.7978
19,0.999219426,188.7214,4,1695.7926
12.6,0.631091881,124.0072,14,4042.7376
12.79,0.984542229,174.837,28,4763.799
7.895,1.433590821,102.6332,9,1640.5312
12.79,1.62353781,58.7904,28,1288.9888
17.1,1.951016818,112.3886,11,2334.9606
8.355,2.855416618,148.5418,4,2207.127
12.79,1,145.2102,28,437.4306
18.5,0.788827886,118.4124,26,2370.248
12.79,0.990346411,189.9214,28,5087.3778
8.975,0.229901605,101.899,15,103.199
10.1,0.812463205,224.4088,16,4697.8848
9.285,0.318244841,158.6578,26,2406.867
