Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,log_MRP,Establishment_Age,Outlet_Size,Outlet_Location_Type,Outlet_Type,log_sales
14.85,Regular,0.009954237,Snack Foods,2.199379394,14,Medium,Tier 1,Supermarket Type1,3.424860574
18.85,LF,0.01619866,Health and Hygiene,2.111472887,6,Small,Tier 2,Supermarket Type1,3.498021259
12.6,LF,0.027644732,Baking Goods,2.174556359,28,Medium,Tier 3,Supermarket Type3,3.499671525
8.37,LF,0.072252888,Hard Drinks,1.598249764,6,Small,Tier 2,Supermarket Type1,2.921641327
14.3,Regular,0.034551415,Baking Goods,1.991990293,4,Medium,Tier 3,Supermarket Type2,2.835759166
7.73,LF,0.047977607,Canned,2.397086564,4,Medium,Tier 3,Supermarket Type2,3.350457902
9,LF,0.079794329,Canned,1.903981546,6,Small,Tier 2,Supermarket Type1,3.071317057
18.2,LF,0.270300331,Fruits and Vegetables,1.583414167,15,Small,Tier 3,Grocery Store,2.040827735
15.6,Regular,0.105276162,Snack Foods,2.238739416,9,Small,Tier 2,Supermarket Type1,3.577386178
11.5,Regular,0.037539164,Snack Foods,2.029080884,26,High,Tier 3,Supermarket Type1,3.482689427
12.6,Regular,0.031116081,Canned,1.742442316,28,Medium,Tier 3,Supermarket Type3,3.188831776
16,LF,0.089971292,Dairy,2.15598972,16,Small,Tier 1,Supermarket Type1,3.23090464
12.6,LF,0.081933378,Health and Hygiene,2.208151013,28,Medium,Tier 3,Supermarket Type3,3.805615024
11.15,LF,0.07366703,Others,1.820951136,4,Medium,Tier 3,Supermarket Type2,2.120008981
9.4,LF,0.040023967,Others,1.932427086,14,Medium,Tier 1,Supermarket Type1,3.002895582
11.35,Regular,0,Snack Foods,2.006472888,16,Small,Tier 1,Supermarket Type1,2.306217374
9.9,Regular,0.048761046,Frozen Foods,2.415854072,11,Small,Tier 2,Supermarket Type1,3.946999465
11.15,LF,0.032229348,Health and Hygiene,2.212860107,26,High,Tier 3,Supermarket Type1,3.170283254
13.1,LF,0.075056542,Dairy,1.881015835,14,Medium,Tier 1,Supermarket Type1,2.779512221
12.6,Regular,0.028062401,Breads,1.643849283,28,Small,Tier 1,Grocery Store,1.963222877
6.72,Regular,0.121485195,Baking Goods,1.604716248,26,High,Tier 3,Supermarket Type1,2.768812376
17.6,LF,0.015687045,Household,2.261732842,16,Small,Tier 1,Supermarket Type1,3.536666296
17.1,LF,0.032678839,Frozen Foods,2.178226206,14,Medium,Tier 1,Supermarket Type1,3.495811104
20.25,LF,0.014280554,Household,2.170384357,4,Medium,Tier 3,Supermarket Type2,3.070826051
18.5,Regular,0.045425939,Dairy,2.161098956,26,High,Tier 3,Supermarket Type1,3.277731258
8.18,LF,0,Household,2.147723924,11,Small,Tier 2,Supermarket Type1,3.23090464
7.35,LF,0.028571132,Fruits and Vegetables,1.611143153,26,High,Tier 3,Supermarket Type1,2.768812376
14.6,LF,0,Others,2.384449834,9,Small,Tier 2,Supermarket Type1,3.723273674
4.62,Regular,0.102038294,Canned,2.365356928,11,Small,Tier 2,Supermarket Type1,3.40880452
11.1,LF,0.04500603,Snack Foods,2.240562726,4,Medium,Tier 3,Supermarket Type2,3.322480785
11.35,Regular,0.00552947,Fruits and Vegetables,2.228603085,9,Small,Tier 2,Supermarket Type1,3.376012007
13.1,LF,0.075731322,Dairy,2.224055776,11,Small,Tier 2,Supermarket Type1,3.177260022
11.35,LF,0.030869612,Snack Foods,1.697236319,11,Small,Tier 2,Supermarket Type1,2.850285419
14.85,Regular,0.053921264,Baking Goods,2.089930533,14,Medium,Tier 1,Supermarket Type1,3.292281596
15.35,LF,0.074553522,Snack Foods,1.963235167,26,High,Tier 3,Supermarket Type1,3.416075557
7.72,LF,0.12152072,Fruits and Vegetables,2.072779113,16,Small,Tier 1,Supermarket Type1,2.981706283
20.85,LF,0.097536998,Starchy Foods,2.352904969,26,High,Tier 3,Supermarket Type1,3.527064951
6.1,LF,0.08152738,Others,2.147105339,4,Medium,Tier 3,Supermarket Type2,3.265666747
12.6,Regular,0.019837655,Frozen Foods,2.107654216,28,Medium,Tier 3,Supermarket Type3,3.227321754
16.85,Regular,0.079690403,Snack Foods,2.054821343,16,Small,Tier 1,Supermarket Type1,3.463626421
17.1,LF,0.128937661,Fruits and Vegetables,2.050722261,4,Medium,Tier 3,Supermarket Type2,3.250180245
6.77,Regular,0.08739577,Frozen Foods,2.022554558,14,Medium,Tier 1,Supermarket Type1,2.92233343
15.35,LF,0.096317593,Soft Drinks,2.295296104,26,High,Tier 3,Supermarket Type1,3.525084423
5.43,Regular,0.115119905,Baking Goods,1.946213436,6,Small,Tier 2,Supermarket Type1,3.151315414
16.85,LF,0.036446751,Snack Foods,1.955922389,14,Medium,Tier 1,Supermarket Type1,2.998275384
16.6,LF,0.046161923,Household,2.247075287,15,Small,Tier 3,Grocery Store,2.552508581
19.35,LF,0.027827268,Health and Hygiene,1.817015047,4,Medium,Tier 3,Supermarket Type2,2.583766274
7.04,LF,0,Frozen Foods,2.420436014,15,Small,Tier 3,Grocery Store,2.720970882
15.1,Regular,0,Fruits and Vegetables,2.165180795,15,Small,Tier 3,Grocery Store,2.636924779
11.4,LF,0.021602001,Health and Hygiene,2.173683819,9,Small,Tier 2,Supermarket Type1,3.432724735
6.24,LF,0.020229757,Household,2.416467754,14,Medium,Tier 1,Supermarket Type1,3.775021228
20.2,LF,0.112549008,Household,2.090274281,11,Small,Tier 2,Supermarket Type1,3.049427907
16.7,LF,0.026771204,Household,2.39160122,6,Small,Tier 2,Supermarket Type1,3.296976718
14.5,Regular,0.058827383,Fruits and Vegetables,2.23614612,16,Small,Tier 1,Supermarket Type1,3.462032678
10.1,Regular,0.053574075,Fruits and Vegetables,2.349683068,9,Small,Tier 2,Supermarket Type1,3.428864314
18.35,LF,0.03334929,Dairy,2.190426952,4,Medium,Tier 3,Supermarket Type2,3.299014979
9.17,LF,0.102978817,Baking Goods,2.161209231,16,Small,Tier 1,Supermarket Type1,3.632903505
18.85,LF,0.137972993,Hard Drinks,2.199913622,6,Small,Tier 2,Supermarket Type1,3.159603343
12.6,LF,0.009921107,Baking Goods,2.264091188,28,Small,Tier 1,Grocery Store,2.744509841
15.85,LF,0,Canned,1.98411938,9,Small,Tier 2,Supermarket Type1,3.092623181
7.66,LF,0.032125561,Canned,2.063517998,6,Small,Tier 2,Supermarket Type1,3.40631572
5.99,LF,0.005677876,Baking Goods,2.26691906,11,Small,Tier 2,Supermarket Type1,3.221631096
8.98,Regular,0.088257771,Canned,1.924911655,15,Small,Tier 3,Grocery Store,2.231583756
9.2,LF,0.115353642,Frozen Foods,1.770296643,4,Medium,Tier 3,Supermarket Type2,2.966983026
6.78,Regular,0,Baking Goods,1.973183292,26,High,Tier 3,Supermarket Type1,3.083415179
12.6,LF,0.061082177,Canned,2.255355496,28,Small,Tier 1,Grocery Store,2.950448589
12.6,LF,0.139419417,Meat,1.820087122,28,Small,Tier 1,Grocery Store,2.412175516
12.6,Regular,0.102999154,Fruits and Vegetables,2.230307881,28,Small,Tier 1,Grocery Store,2.231583756
11.1,LF,0.010663189,Canned,1.91587872,11,Small,Tier 2,Supermarket Type1,3.127834319
18,LF,0.008575615,Baking Goods,1.904508895,4,Medium,Tier 3,Supermarket Type2,2.809219148
6.26,Regular,0.016516867,Meat,2.179369648,15,Small,Tier 3,Grocery Store,2.656490903
12.6,Regular,0.102422487,Fruits and Vegetables,2.118915184,28,Medium,Tier 3,Supermarket Type3,3.194781108
10.9,LF,0.035949725,Fruits and Vegetables,2.123617777,6,Small,Tier 2,Supermarket Type1,3.51794899
9.7,Regular,0.12848269,Baking Goods,2.35013245,14,Medium,Tier 1,Supermarket Type1,3.694683172
12.6,Regular,0.076851759,Breads,2.048663167,28,Small,Tier 1,Grocery Store,2.040827735
20.5,Regular,0,Frozen Foods,1.920432234,6,Small,Tier 2,Supermarket Type1,3.062893512
12.8,Regular,0.023664054,Meat,2.354186067,6,Small,Tier 2,Supermarket Type1,3.732471733
15.1,Regular,0.096491904,Meat,2.128703556,4,Medium,Tier 3,Supermarket Type2,3.268324903
12.6,Regular,0.074338562,Dairy,2.407451413,6,Small,Tier 2,Supermarket Type1,3.98519075
12.1,LF,0.030121709,Canned,1.89246749,9,Small,Tier 2,Supermarket Type1,3.346439629
20,LF,0.058812134,Health and Hygiene,2.047875842,6,Small,Tier 2,Supermarket Type1,3.194781108
7.1,LF,0.110234793,Fruits and Vegetables,2.23479053,11,Small,Tier 2,Supermarket Type1,3.493589644
14.7,LF,0.020952705,Hard Drinks,2.156890638,14,Medium,Tier 1,Supermarket Type1,3.388246463
12.6,LF,0.067120954,Snack Foods,2.123729499,28,Medium,Tier 3,Supermarket Type3,3.515750026
15.1,Regular,0,Fruits and Vegetables,1.804271678,4,Medium,Tier 3,Supermarket Type2,3.13424942
13.6,Regular,0.119361718,Dairy,2.364794807,14,Medium,Tier 1,Supermarket Type1,3.40880452
15.35,LF,0.015708023,Others,2.15669147,11,Small,Tier 2,Supermarket Type1,3.411054756
10.3,LF,0.117593973,Health and Hygiene,2.188824466,6,Small,Tier 2,Supermarket Type1,3.398531636
6.71,LF,0.03558013,Breads,2.337492406,9,Small,Tier 2,Supermarket Type1,3.660110838
8.39,Regular,0.024205661,Frozen Foods,2.056971895,16,Small,Tier 1,Supermarket Type1,3.359902233
8.78,LF,0,Fruits and Vegetables,2.046584121,14,Medium,Tier 1,Supermarket Type1,3.157395231
18.35,LF,0.088908547,Household,2.285220544,26,High,Tier 3,Supermarket Type1,3.458827538
9,Regular,0,Breakfast,1.742421883,4,Medium,Tier 3,Supermarket Type2,2.742421883
19.1,LF,0.045378573,Dairy,1.627507184,14,Medium,Tier 1,Supermarket Type1,2.386824876
17.1,LF,0.112402118,Household,2.053024634,15,Small,Tier 3,Grocery Store,2.053792712
17.75,LF,0.030559583,Dairy,2.41072191,4,Medium,Tier 3,Supermarket Type2,3.583766274
18.6,LF,0.076841095,Snack Foods,2.210114035,9,Small,Tier 2,Supermarket Type1,3.462431662
7.83,Regular,0.149986868,Frozen Foods,2.200929255,9,Small,Tier 2,Supermarket Type1,3.150498303
17.5,LF,0.097904029,Soft Drinks,2.242724747,16,Small,Tier 1,Supermarket Type1,3.319165544
17.75,Regular,0.029700018,Fruits and Vegetables,2.147316994,14,Medium,Tier 1,Supermarket Type1,3.147626246
12.8,LF,0.076214289,Fruits and Vegetables,1.984711793,11,Small,Tier 2,Supermarket Type1,3.263465394
14.15,LF,0.008829806,Household,2.294049368,4,Medium,Tier 3,Supermarket Type2,3.654893643
12.6,LF,0.011180843,Snack Foods,2.329308367,28,Medium,Tier 3,Supermarket Type3,3.629523765
20.5,LF,0.036133463,Fruits and Vegetables,2.079816299,9,Small,Tier 2,Supermarket Type1,3.53057321
12.65,LF,0.042383069,Household,2.033800785,4,Medium,Tier 3,Supermarket Type2,3.206260926
13.8,LF,0.058192802,Dairy,2.392662138,14,Medium,Tier 1,Supermarket Type1,3.770581399
8.19,LF,0.038729057,Fruits and Vegetables,2.068856459,16,Small,Tier 1,Supermarket Type1,3.272976441
7.28,LF,0.027991093,Snack Foods,2.164281459,14,Medium,Tier 1,Supermarket Type1,3.545977713
12.6,LF,0.110762642,Others,2.035794632,28,Medium,Tier 3,Supermarket Type3,3.214278898
10.85,LF,0.028674471,Household,2.061380091,9,Small,Tier 2,Supermarket Type1,3.587370399
12.6,Regular,0.022807826,Fruits and Vegetables,2.263624235,28,Medium,Tier 3,Supermarket Type3,3.660616493
10.3,Regular,0.050353695,Canned,1.895952658,6,Small,Tier 2,Supermarket Type1,3.244947718
16.35,Regular,0.062764429,Fruits and Vegetables,2.357184088,6,Small,Tier 2,Supermarket Type1,3.858693467
7.35,Regular,0.014353174,Fruits and Vegetables,2.384982443,26,High,Tier 3,Supermarket Type1,2.986505166
9.2,LF,0.180588082,Snack Foods,2.260699467,15,Small,Tier 3,Grocery Store,2.560536434
15.2,LF,0.033735909,Household,2.045288547,4,Medium,Tier 3,Supermarket Type2,3.26863656
17.75,LF,0.11147467,Others,2.033790338,14,Medium,Tier 1,Supermarket Type1,3.214278898
7.79,LF,0.089210159,Fruits and Vegetables,1.807879891,6,Small,Tier 2,Supermarket Type1,3.123286691
15.85,Regular,0.110202066,Frozen Foods,1.599343688,14,Medium,Tier 1,Supermarket Type1,2.857972247
15.25,LF,0.089742065,Frozen Foods,2.32984354,26,High,Tier 3,Supermarket Type1,3.032858805
6.57,LF,0.066014596,Hard Drinks,2.414518437,26,High,Tier 3,Supermarket Type1,3.456913233
13.65,LF,0.015943701,Breads,2.365425831,11,Small,Tier 2,Supermarket Type1,3.508547925
5.49,LF,0.071557769,Health and Hygiene,2.219543138,15,Small,Tier 3,Grocery Store,2.219543138
7.5,LF,0.036234918,Health and Hygiene,2.243788853,16,Small,Tier 1,Supermarket Type1,3.590648108
21,LF,0.082526478,Snack Foods,2.282956823,15,Small,Tier 3,Grocery Store,2.889296771
9.17,LF,0.103138922,Baking Goods,2.151513876,14,Medium,Tier 1,Supermarket Type1,3.478001545
7.83,LF,0.186032678,Household,2.403240322,9,Small,Tier 2,Supermarket Type1,3.784480008
5.78,Regular,0.074135053,Snack Foods,2.421697356,9,Small,Tier 2,Supermarket Type1,3.324128964
9.6,LF,0.051571772,Snack Foods,2.412396701,11,Small,Tier 2,Supermarket Type1,3.669680903
12.6,LF,0,Health and Hygiene,2.216304749,28,Medium,Tier 3,Supermarket Type3,3.36216878
5.85,Regular,0.105445801,Frozen Foods,2.331268937,4,Medium,Tier 3,Supermarket Type2,3.174946863
14.15,LF,0.03593692,Soft Drinks,1.612930009,9,Small,Tier 2,Supermarket Type1,2.887427227
12.6,LF,0.022291121,Fruits and Vegetables,1.971319462,28,Medium,Tier 3,Supermarket Type3,3.569744435
13.3,Regular,0.071856726,Fruits and Vegetables,1.801085248,6,Small,Tier 2,Supermarket Type1,3.129554299
5.15,Regular,0.10239789,Meat,2.086853649,15,Small,Tier 3,Grocery Store,2.694916726
18.2,LF,0.161817014,Fruits and Vegetables,1.577710041,11,Small,Tier 2,Supermarket Type1,2.341857731
13.15,Regular,0.038029746,Snack Foods,1.947853109,11,Small,Tier 2,Supermarket Type1,3.244947718
17.75,LF,0.034823127,Dairy,2.395632127,11,Small,Tier 2,Supermarket Type1,3.698405054
6.91,Regular,0.063850971,Dairy,1.987990524,15,Small,Tier 3,Grocery Store,2.291691121
12.1,LF,0.01545846,Household,2.22024568,14,Medium,Tier 1,Supermarket Type1,3.558463425
7.68,LF,0.152429537,Health and Hygiene,1.93207988,26,High,Tier 3,Supermarket Type1,3.10664502
18.35,LF,0.015291576,Hard Drinks,2.026099162,26,High,Tier 3,Supermarket Type1,3.206260926
6.22,LF,0.012198395,Fruits and Vegetables,1.573855198,4,Medium,Tier 3,Supermarket Type2,2.270501822
12.6,Regular,0.026420581,Meat,2.399571278,28,Small,Tier 1,Grocery Store,3.000591627
11.1,Regular,0.036083537,Frozen Foods,2.244205846,14,Medium,Tier 1,Supermarket Type1,3.475396639
17.75,LF,0.111301625,Others,2.031776751,16,Small,Tier 1,Supermarket Type1,3.184315675
17.1,LF,0.067154053,Household,2.058372873,16,Small,Tier 1,Supermarket Type1,3.095185397
13.1,Regular,0.099186992,Frozen Foods,2.298365695,4,Medium,Tier 3,Supermarket Type2,3.498755485
17.5,LF,0.026248606,Snack Foods,2.406771062,4,Medium,Tier 3,Supermarket Type2,3.581498413
15.85,LF,0.13689554,Breads,2.246589665,15,Small,Tier 3,Grocery Store,2.723710919
7.97,LF,0.034647829,Soft Drinks,2.233610799,6,Small,Tier 2,Supermarket Type1,3.49191606
16.2,LF,0.03338006,Soft Drinks,1.869639999,16,Small,Tier 1,Supermarket Type1,3.151315414
19.25,LF,0.107940533,Household,1.550910455,26,High,Tier 3,Supermarket Type1,2.485156476
5.98,LF,0.075711199,Hard Drinks,1.745554126,11,Small,Tier 2,Supermarket Type1,2.520573134
5.99,LF,0.096185556,Frozen Foods,2.104377158,4,Medium,Tier 3,Supermarket Type2,3.551535189
6.66,LF,0.016993225,Fruits and Vegetables,2.324403053,11,Small,Tier 2,Supermarket Type1,2.926463044
15,LF,0.071371458,Health and Hygiene,2.097729881,16,Small,Tier 1,Supermarket Type1,3.14119828
12.35,Regular,0.185704641,Baking Goods,1.887239097,26,High,Tier 3,Supermarket Type1,3.350199778
15.1,LF,0.076193763,Baking Goods,1.953194113,14,Medium,Tier 1,Supermarket Type1,3.351617568
6.58,Regular,0.075507758,Breads,2.165672769,16,Small,Tier 1,Supermarket Type1,3.20319297
11.15,Regular,0.086281593,Snack Foods,2.231925564,4,Medium,Tier 3,Supermarket Type2,3.132973958
8.37,Regular,0.039836895,Fruits and Vegetables,2.282438116,9,Small,Tier 2,Supermarket Type1,3.321102509
12.6,LF,0.113387677,Health and Hygiene,2.195790097,28,Medium,Tier 3,Supermarket Type3,3.199920748
10,Regular,0.03773288,Snack Foods,2.108224625,26,High,Tier 3,Supermarket Type1,3.150293785
16.7,Regular,0.060863167,Baking Goods,1.989620654,9,Small,Tier 2,Supermarket Type1,3.456003504
15.6,Regular,0.035506142,Snack Foods,2.050966412,16,Small,Tier 1,Supermarket Type1,3.518737899
6.44,LF,0,Breads,1.99943505,11,Small,Tier 2,Supermarket Type1,3.175526309
19.6,LF,0,Health and Hygiene,2.176965915,4,Medium,Tier 3,Supermarket Type2,3.411727559
6.12,Regular,0.007084185,Soft Drinks,2.281381118,6,Small,Tier 2,Supermarket Type1,3.533461156
13,Regular,0.030150193,Canned,1.788323954,11,Small,Tier 2,Supermarket Type1,2.73182881
7.5,LF,0.050750977,Canned,2.087096794,16,Small,Tier 1,Supermarket Type1,3.292281596
19.1,LF,0.096929994,Fruits and Vegetables,2.369022423,11,Small,Tier 2,Supermarket Type1,3.322893417
14.65,LF,0.083359391,Household,2.209394897,16,Small,Tier 1,Supermarket Type1,3.673131615
9.31,LF,0.063529046,Frozen Foods,1.804487002,15,Small,Tier 3,Grocery Store,2.102097392
18.25,LF,0.015302653,Snack Foods,2.296683614,14,Medium,Tier 1,Supermarket Type1,2.899620046
4.81,Regular,0.037668051,Dairy,2.103017861,26,High,Tier 3,Supermarket Type1,3.419720935
18.35,LF,0.069745165,Hard Drinks,2.279409576,15,Small,Tier 3,Grocery Store,2.577692127
7.49,LF,0.069514712,Snack Foods,2.036320629,6,Small,Tier 2,Supermarket Type1,3.122633125
20.6,Regular,0.04792722,Fruits and Vegetables,2.269409262,9,Small,Tier 2,Supermarket Type1,3.635320735
16.75,LF,0.129086113,Breads,1.951753154,14,Medium,Tier 1,Supermarket Type1,3.023098968
15.5,LF,0.053455158,Soft Drinks,1.640252801,14,Medium,Tier 1,Supermarket Type1,2.7502005
11.3,LF,0.007273831,Meat,2.293677608,26,High,Tier 3,Supermarket Type1,3.711073588
18.2,LF,0.162960415,Health and Hygiene,1.638575109,26,High,Tier 3,Supermarket Type1,3.029629835
12.15,LF,0.018439138,Frozen Foods,2.406147946,14,Medium,Tier 1,Supermarket Type1,3.705298762
18.25,LF,0.015309885,Snack Foods,2.295805402,11,Small,Tier 2,Supermarket Type1,3.376741301
16.6,LF,0.122918852,Fruits and Vegetables,2.238231329,6,Small,Tier 2,Supermarket Type1,3.582406979
12.6,LF,0.071498575,Hard Drinks,1.576923859,28,Medium,Tier 3,Supermarket Type3,2.901437941
6.57,LF,0.066069578,Hard Drinks,2.416686763,16,Small,Tier 1,Supermarket Type1,3.619640531
17.5,LF,0,Snack Foods,2.012833008,16,Small,Tier 1,Supermarket Type1,3.476073487
15,Regular,0.162348584,Canned,2.269341528,6,Small,Tier 2,Supermarket Type1,3.663763569
16.6,LF,0.027133398,Health and Hygiene,2.026368177,15,Small,Tier 3,Grocery Store,2.333888801
10.8,LF,0.0824812,Dairy,2.28250973,26,High,Tier 3,Supermarket Type1,3.396679631
7.51,LF,0.103726639,Snack Foods,2.043968688,26,High,Tier 3,Supermarket Type1,3.279101994
5.41,Regular,0.053611144,Canned,2.296169636,9,Small,Tier 2,Supermarket Type1,2.90107497
17.7,LF,0.030060895,Snack Foods,2.221366241,4,Medium,Tier 3,Supermarket Type2,3.303925578
6.53,LF,0.090806457,Household,1.936956859,6,Small,Tier 2,Supermarket Type1,3.212687102
9.04,Regular,0.174450933,Meat,2.179180529,6,Small,Tier 2,Supermarket Type1,3.432724735
9.6,LF,0.161182103,Soft Drinks,2.218314363,15,Small,Tier 3,Grocery Store,2.524047508
14.85,LF,0.093991286,Baking Goods,2.149161203,6,Small,Tier 2,Supermarket Type1,3.5154854
12.6,LF,0.024387984,Baking Goods,1.965889064,28,Small,Tier 1,Grocery Store,2.267388587
7.93,LF,0.005547386,Frozen Foods,2.084724235,9,Small,Tier 2,Supermarket Type1,3.127187566
12.6,Regular,0.041557653,Fruits and Vegetables,2.095194467,16,Small,Tier 1,Supermarket Type1,3.389191609
12.65,Regular,0.15604396,Fruits and Vegetables,2.37958432,16,Small,Tier 1,Supermarket Type1,3.584970975
20.6,Regular,0.045982389,Snack Foods,2.248057663,26,High,Tier 3,Supermarket Type1,2.72859984
12.15,LF,0.018410515,Frozen Foods,2.401693074,16,Small,Tier 1,Supermarket Type1,3.358511276
7.66,LF,0.031918284,Canned,2.070957965,26,High,Tier 3,Supermarket Type1,2.842044289
10.1,LF,0.024262772,Canned,2.070462713,4,Medium,Tier 3,Supermarket Type2,3.180325192
6.22,Regular,0.049722335,Baking Goods,2.351228339,11,Small,Tier 2,Supermarket Type1,3.654573485
8.33,LF,0.029779207,Fruits and Vegetables,1.594545024,9,Small,Tier 2,Supermarket Type1,2.988884868
7.06,Regular,0.043989429,Starchy Foods,1.780248165,11,Small,Tier 2,Supermarket Type1,2.809219148
17.7,LF,0.146973462,Dairy,2.265122666,15,Small,Tier 3,Grocery Store,2.738215608
7.6,Regular,0.142383847,Starchy Foods,2.236398184,9,Small,Tier 2,Supermarket Type1,3.407675015
5.11,LF,0.035071955,Household,2.212776034,6,Small,Tier 2,Supermarket Type1,3.442958797
11.15,LF,0.073354286,Others,1.824868773,9,Small,Tier 2,Supermarket Type1,3.375281486
10.8,Regular,0,Baking Goods,1.594545024,26,High,Tier 3,Supermarket Type1,3.006613635
5.21,LF,0.011007815,Household,2.414298331,9,Small,Tier 2,Supermarket Type1,3.454686077
12.6,Regular,0.016979326,Baking Goods,2.248064042,28,Medium,Tier 3,Supermarket Type3,3.525343266
6.37,LF,0.007363189,Frozen Foods,1.801085248,11,Small,Tier 2,Supermarket Type1,3.088161614
9.8,LF,0.026992588,Meat,2.104835227,6,Small,Tier 2,Supermarket Type1,3.357369897
11.85,Regular,0.050368454,Fruits and Vegetables,2.214453337,6,Small,Tier 2,Supermarket Type1,3.257433429
7.55,Regular,0.03107068,Fruits and Vegetables,2.087806964,4,Medium,Tier 3,Supermarket Type2,2.933259654
14,Regular,0.029843736,Dairy,2.158297946,4,Medium,Tier 3,Supermarket Type2,2.937954775
7.02,LF,0.08114883,Fruits and Vegetables,2.166943149,9,Small,Tier 2,Supermarket Type1,3.551859896
14.85,LF,0.018568129,Canned,2.274668999,9,Small,Tier 2,Supermarket Type1,3.479250209
15.7,LF,0.030877303,Hard Drinks,1.625075686,6,Small,Tier 2,Supermarket Type1,2.866706069
20.5,Regular,0.032136417,Frozen Foods,1.924068292,15,Small,Tier 3,Grocery Store,2.217795472
12.5,LF,0.051970788,Fruits and Vegetables,2.015774568,15,Small,Tier 3,Grocery Store,2.61573548
11.35,Regular,0.023322478,Dairy,2.26140753,16,Small,Tier 1,Supermarket Type1,3.519525378
16.35,LF,0.034813556,Household,2.108571788,4,Medium,Tier 3,Supermarket Type2,3.102097392
12.6,Regular,0.084404264,Dairy,1.694934962,28,Small,Tier 1,Grocery Store,2.157797542
11.8,Regular,0.014144442,Frozen Foods,2.25631934,4,Medium,Tier 3,Supermarket Type2,2.72859984
19.5,LF,0.014355033,Household,1.743990828,6,Small,Tier 2,Supermarket Type1,2.742421883
12.6,LF,0.044591774,Household,1.775655586,28,Medium,Tier 3,Supermarket Type3,3.340935522
19.5,LF,0.082719632,Canned,2.253580774,11,Small,Tier 2,Supermarket Type1,3.457216053
12.6,Regular,0,Canned,1.963073487,28,Medium,Tier 3,Supermarket Type3,3.434003954
20.2,LF,0.066200667,Household,1.788528955,4,Medium,Tier 3,Supermarket Type2,2.102097392
19.6,LF,0.03395415,Soft Drinks,1.751751643,14,Medium,Tier 1,Supermarket Type1,2.888549919
6.13,LF,0.076855207,Dairy,1.773447066,14,Medium,Tier 1,Supermarket Type1,3.16734286
14.7,LF,0.07229836,Fruits and Vegetables,1.683077672,16,Small,Tier 1,Supermarket Type1,2.941939156
13.1,LF,0.020913071,Dairy,2.079825695,11,Small,Tier 2,Supermarket Type1,3.306645743
6.33,LF,0.125688044,Frozen Foods,2.003909244,4,Medium,Tier 3,Supermarket Type2,3.318749354
