Item_Identifier,Item_Identifier_group,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Visibility_avg,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Years of Operation,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDC37,Food,12.79,Low Fat,0.057556998,0.872700105,Baking Goods,107.6938,OUT019,1985,28,Small,Tier 1,Grocery Store,214.3876
FDR28,Food,13.85,Regular,0.025896485,0.392651909,Frozen Foods,165.021,OUT046,1997,16,Small,Tier 1,Supermarket Type1,4078.025
NCD06,Non-Consumable,13,Non-Edible,0.099887103,1.514524528,Household,45.906,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,838.908
FDV10,Food,7.645,Regular,0.066693437,1.01123011,Snack Foods,42.3112,OUT035,2004,9,Small,Tier 2,Supermarket Type1,1065.28
DRJ59,Drinks,11.65,low fat,0.019356132,0.293484702,Hard Drinks,39.1164,OUT013,1987,26,High,Tier 3,Supermarket Type1,308.9312
FDE51,Food,5.925,Regular,0.161466534,2.448214222,Dairy,45.5086,OUT010,1998,15,Medium,Tier 3,Grocery Store,178.4344
FDC14,Food,12.79,Regular,0.072221801,1.095053173,Canned,43.6454,OUT019,1985,28,Small,Tier 1,Grocery Store,125.8362
FDV38,Food,19.25,Low Fat,0.170348551,2.582886589,Dairy,55.7956,OUT010,1998,15,Medium,Tier 3,Grocery Store,163.7868
NCS17,Non-Consumable,18.6,Non-Edible,0.080829372,1.22556429,Health and Hygiene,96.4436,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,2741.7644
FDP33,Food,18.7,Low Fat,0.06595278,1,Snack Foods,256.6672,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,3068.0064
FDO23,Food,17.85,Low Fat,0.06595278,1,Breads,93.1436,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,2174.5028
DRH01,Drinks,17.5,Low Fat,0.097904029,1.48445644,Soft Drinks,174.8738,OUT046,1997,16,Small,Tier 1,Supermarket Type1,2085.2856
NCX29,Non-Consumable,10,Non-Edible,0.089291137,1.353864644,Health and Hygiene,146.7102,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,3791.0652
FDV20,Food,12.79,Regular,0.059511812,0.902339704,Fruits and Vegetables,128.0678,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,2797.6916
DRZ11,Drinks,8.85,Regular,0.113123893,1.715225545,Soft Drinks,122.5388,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,1609.9044
FDX10,Food,12.79,Regular,0.123111453,1.866660556,Snack Foods,36.9874,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,388.1614
FDB34,Food,12.79,Low Fat,0.026480954,0.401513841,Snack Foods,87.6198,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,2180.495
FDU02,Food,13.35,Low Fat,0.102511504,1.554316649,Dairy,230.6352,OUT046,1997,16,Small,Tier 1,Supermarket Type1,3435.528
FDK43,Food,9.8,Low Fat,0.02681843,0.406630774,Meat,126.002,OUT013,1987,26,High,Tier 3,Supermarket Type1,2150.534
FDA46,Food,13.6,Low Fat,0.117818348,1.786404576,Snack Foods,192.9136,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,2527.3768
FDC02,Food,21.35,Low Fat,0.069102831,1.047762217,Canned,259.9278,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,6768.5228
FDL50,Food,12.15,Regular,0.042277867,0.641032372,Canned,126.5046,OUT013,1987,26,High,Tier 3,Supermarket Type1,373.5138
FDM39,Food,6.42,Low Fat,0.089498926,1.357015216,Dairy,178.1002,OUT010,1998,15,Medium,Tier 3,Grocery Store,358.2004
NCP05,Non-Consumable,19.6,Non-Edible,0.06595278,1,Health and Hygiene,153.3024,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,2428.8384
FDV49,Food,10,Low Fat,0.025879577,0.392395544,Canned,265.2226,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,5815.0972
FDL12,Food,15.85,Regular,0.121632721,1.844239485,Baking Goods,60.622,OUT046,1997,16,Small,Tier 1,Supermarket Type1,2576.646
FDS02,Food,12.79,Regular,0.255394896,3.872390156,Dairy,196.8794,OUT019,1985,28,Small,Tier 1,Grocery Store,780.3176
NCL17,Non-Consumable,7.39,Non-Edible,0.067779712,1.027700606,Health and Hygiene,143.8812,OUT046,1997,16,Small,Tier 1,Supermarket Type1,3134.5864
FDM40,Food,10.195,Low Fat,0.159803853,2.423004049,Frozen Foods,141.5154,OUT013,1987,26,High,Tier 3,Supermarket Type1,850.8924
FDR13,Food,9.895,Regular,0.028696932,0.435113304,Canned,117.0492,OUT013,1987,26,High,Tier 3,Supermarket Type1,810.9444
FDA43,Food,10.895,Low Fat,0.065041581,0.98618407,Fruits and Vegetables,196.3794,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,3121.2704
NCP18,Non-Consumable,12.15,Non-Edible,0.028760013,0.436069761,Household,151.4708,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,4815.0656
FDK21,Food,7.905,Low Fat,0.010053105,0.152428829,Snack Foods,249.0408,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,6258.52
NCX54,Non-Consumable,9.195,Non-Edible,0.048157338,0.730179046,Household,106.1622,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,2117.244
DRK35,Drinks,8.365,Low Fat,0.071958197,1.091056313,Hard Drinks,38.0506,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,796.9626
FDY21,Food,15.1,Low Fat,0.173481304,2.630386528,Snack Foods,194.511,OUT046,1997,16,Small,Tier 1,Supermarket Type1,4910.275
FDI26,Food,12.79,Low Fat,0.061082177,0.926150149,Canned,180.0344,OUT019,1985,28,Small,Tier 1,Grocery Store,892.172
FDM20,Food,10,Low Fat,0.06595278,1,Fruits and Vegetables,246.9144,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,3185.1872
FDV27,Food,7.97,Regular,0.040071131,0.607573039,Meat,87.3514,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,1062.6168
FDF09,Food,12.79,Low Fat,0.012090074,0.183314092,Fruits and Vegetables,38.2848,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,484.7024
FDY40,Food,12.79,Regular,0.15028599,2.278690754,Frozen Foods,51.0692,OUT019,1985,28,Small,Tier 1,Grocery Store,147.8076
FDY45,Food,12.79,Low Fat,0.026015519,0.394456746,Snack Foods,255.8356,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,2543.356
FDC46,Food,17.7,Low Fat,0.195068226,2.957695278,Snack Foods,185.4266,OUT010,1998,15,Medium,Tier 3,Grocery Store,184.4266
FDH19,Food,19.35,Low Fat,0.033082215,0.501604557,Meat,172.5738,OUT035,2004,9,Small,Tier 2,Supermarket Type1,4865.6664
FDZ03,Food,13.65,Regular,0.078946455,1.197014819,Dairy,186.024,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,1118.544
DRH37,Drinks,17.6,Low Fat,0.041700756,0.632282005,Soft Drinks,164.8526,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,2302.3364
NCI17,Non-Consumable,8.645,Non-Edible,0.143422643,2.174626195,Health and Hygiene,95.841,OUT046,1997,16,Small,Tier 1,Supermarket Type1,2027.361
FDJ58,Food,15.6,Regular,0.105296072,1.59653728,Snack Foods,170.1764,OUT046,1997,16,Small,Tier 1,Supermarket Type1,3435.528
FDL12,Food,15.85,Regular,0.121531501,1.84270475,Baking Goods,59.222,OUT013,1987,26,High,Tier 3,Supermarket Type1,599.22
FDH35,Food,18.25,Low Fat,0.06595278,1,Starchy Foods,164.7526,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,4604.6728
FDG02,Food,7.855,Low Fat,0.011324862,0.17171167,Canned,189.6188,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,2285.0256
NCZ18,Non-Consumable,7.825,Non-Edible,0.186357148,2.82561475,Household,254.3698,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,5580.7356
FDC29,Food,8.39,Regular,0.024205661,0.367015022,Frozen Foods,114.0176,OUT046,1997,16,Small,Tier 1,Supermarket Type1,2290.352
FDQ10,Food,12.85,Low Fat,0.033230816,0.503857699,Snack Foods,172.3422,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,1207.0954
FDN48,Food,12.79,Low Fat,0.113720344,1.724269151,Baking Goods,89.9804,OUT019,1985,28,Small,Tier 1,Grocery Store,643.1628
FDL04,Food,19,Low Fat,0.112556507,1.706622632,Frozen Foods,104.9622,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,1587.933
FDV25,Food,5.905,Low Fat,0.06595278,1,Canned,222.5456,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,5305.0944
FDD58,Food,7.76,Low Fat,0.059352241,0.899920231,Snack Foods,101.87,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1697.79
FDN04,Food,11.8,Regular,0.014087057,0.213593074,Frozen Foods,180.3344,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1427.4752
FDV45,Food,16.75,low fat,0.045230944,0.685807998,Snack Foods,187.9556,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,4693.89
NCL18,Non-Consumable,12.79,Non-Edible,0.293417759,4.448906612,Household,194.6136,OUT019,1985,28,Small,Tier 1,Grocery Store,583.2408
FDR12,Food,12.79,Regular,0.031382044,0.475825947,Baking Goods,171.3764,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,3091.9752
FDG20,Food,15.5,Regular,0.12639886,1.916505415,Fruits and Vegetables,177.0028,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,2479.4392
FDZ55,Food,6.055,Low Fat,0.025403898,0.385183126,Fruits and Vegetables,160.992,OUT035,2004,9,Small,Tier 2,Supermarket Type1,2716.464
FDQ49,Food,12.79,Regular,0.039057677,0.592206682,Breakfast,155.963,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,3285.723
FDN33,Food,6.305,Regular,0.123115764,1.866725921,Snack Foods,95.6436,OUT046,1997,16,Small,Tier 1,Supermarket Type1,661.8052
FDN27,Food,20.85,Low Fat,0.039624006,0.600793568,Meat,117.2808,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,1523.3504
FDW20,Food,20.75,Low Fat,0.040421193,0.612880807,Fruits and Vegetables,122.173,OUT010,1998,15,Medium,Tier 3,Grocery Store,369.519
DRG27,Drinks,8.895,Low Fat,0.105274111,1.5962043,Dairy,39.9138,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,690.4346
DRI25,Drinks,19.6,Low Fat,0.033970195,0.515068432,Soft Drinks,55.1614,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,1381.535
FDA44,Food,19.7,Low Fat,0.053212652,0.806829553,Fruits and Vegetables,57.893,OUT035,2004,9,Small,Tier 2,Supermarket Type1,622.523
NCR17,Non-Consumable,9.8,Non-Edible,0.024378706,0.369638793,Health and Hygiene,114.5492,OUT035,2004,9,Small,Tier 2,Supermarket Type1,1274.3412
FDU04,Food,12.79,Low Fat,0.009714595,0.147296217,Frozen Foods,120.0414,OUT019,1985,28,Small,Tier 1,Grocery Store,487.3656
FDF41,Food,12.15,Low Fat,0.131383762,1.992088309,Frozen Foods,246.046,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,1231.73
FDB56,Food,8.75,Regular,0.07461309,1.131310765,Fruits and Vegetables,187.4556,OUT035,2004,9,Small,Tier 2,Supermarket Type1,3755.112
NCP18,Non-Consumable,12.79,Non-Edible,0.028459761,0.431517231,Household,149.9708,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,4363.6532
FDB56,Food,8.75,Regular,0.074627201,1.131524721,Fruits and Vegetables,187.8556,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1314.2892
FDT28,Food,13.3,Low Fat,0.063695084,0.965767993,Frozen Foods,151.0708,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,1805.6496
FDD10,Food,12.79,Regular,0.045797829,0.694403314,Snack Foods,178.5344,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,2854.9504
FDW57,Food,8.31,Regular,0.115857223,1.756669287,Snack Foods,179.1028,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,3896.2616
DRB48,Drinks,16.75,Regular,0.024832806,0.376524022,Soft Drinks,38.7822,OUT013,1987,26,High,Tier 3,Supermarket Type1,667.7974
FDP09,Food,19.75,Low Fat,0.034027909,0.515943513,Snack Foods,212.0902,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,3185.853
FDH14,Food,17.1,Regular,0.0467696,0.709137659,Canned,141.1838,OUT013,1987,26,High,Tier 3,Supermarket Type1,2247.7408
FDA47,Food,10.5,Regular,0.116576702,1.767578289,Baking Goods,163.121,OUT013,1987,26,High,Tier 3,Supermarket Type1,1794.331
FDG12,Food,6.635,Regular,0.06595278,1,Baking Goods,121.3098,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,2530.7058
DRE60,Drinks,12.79,low fat,0.278974075,4.22990623,Soft Drinks,225.372,OUT019,1985,28,Small,Tier 1,Grocery Store,679.116
DRK49,Drinks,14.15,Low Fat,0.035913805,0.544538153,Soft Drinks,41.4138,OUT013,1987,26,High,Tier 3,Supermarket Type1,812.276
FDD03,Food,13.3,Low Fat,0.079806266,1.210051585,Dairy,232.53,OUT046,1997,16,Small,Tier 1,Supermarket Type1,699.09
FDS52,Food,8.89,low fat,0.005505481,0.083476102,Frozen Foods,102.4016,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,2732.4432
FDW39,Food,12.79,Regular,0.064625342,0.979872903,Meat,176.937,OUT019,1985,28,Small,Tier 1,Grocery Store,176.437
FDX34,Food,12.79,Low Fat,0.071636937,1.086185253,Snack Foods,121.7098,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,4097.3332
FDV11,Food,9.1,Regular,0.06595278,1,Breads,173.2054,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,3151.8972
FDD17,Food,7.5,Low Fat,0.032677678,0.49547082,Frozen Foods,239.0906,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,5942.265
FDZ16,Food,16.85,Regular,0.160760054,2.437502316,Frozen Foods,192.4478,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,4843.695
FDZ46,Food,7.485,Low Fat,0.06911065,1.047880772,Snack Foods,109.0228,OUT035,2004,9,Small,Tier 2,Supermarket Type1,2542.0244
DRA12,Drinks,11.6,Low Fat,0.041177505,0.624348284,Soft Drinks,140.3154,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,2552.6772
FDY58,Food,11.65,Low Fat,0.040081193,0.607725603,Snack Foods,227.0694,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,1141.847
NCF19,Non-Consumable,13,Non-Edible,0.035307322,0.535342437,Household,47.5034,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,680.4476
DRJ13,Drinks,12.65,Low Fat,0.063017847,0.95549948,Soft Drinks,159.0578,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,2085.9514
FDB14,Food,20.25,Regular,0.171938781,2.606998234,Canned,92.512,OUT010,1998,15,Medium,Tier 3,Grocery Store,186.424
FDJ38,Food,8.6,Regular,0.040197932,0.609495642,Canned,190.153,OUT035,2004,9,Small,Tier 2,Supermarket Type1,3036.048
FDW11,Food,12.6,Low Fat,0.049058014,0.743835423,Breads,62.7194,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,866.8716
FDL40,Food,17.7,Low Fat,0.01161096,0.176049592,Frozen Foods,95.041,OUT035,2004,9,Small,Tier 2,Supermarket Type1,868.869
DRI49,Drinks,14.15,Low Fat,0.183507295,2.782404244,Soft Drinks,82.4276,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1137.1864
FDV38,Food,19.25,Low Fat,0.102349519,1.551860574,Dairy,52.7956,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,928.1252
DRG23,Drinks,8.88,Low Fat,0.086708987,1.314713148,Hard Drinks,151.7682,OUT013,1987,26,High,Tier 3,Supermarket Type1,762.341
NCP30,Non-Consumable,20.5,Non-Edible,0.032835147,0.497858422,Household,40.2822,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,707.0796
FDY25,Food,12.79,Low Fat,0.033809913,0.512638178,Canned,180.5976,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,7968.2944
NCH54,Non-Consumable,13.5,Non-Edible,0.07266912,1.101835586,Household,160.292,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1438.128
NCR53,Non-Consumable,12.79,Non-Edible,0.144338493,2.188512645,Health and Hygiene,224.4404,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,6976.2524
FDS52,Food,8.89,Low Fat,0.009163216,0.138936008,Frozen Foods,101.7016,OUT010,1998,15,Medium,Tier 3,Grocery Store,101.2016
FDG02,Food,7.855,Low Fat,0.011307038,0.171441416,Canned,188.5188,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,952.094
NCO26,Non-Consumable,7.235,Non-Edible,0.076855628,1.165312941,Household,116.0492,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1969.4364
FDH35,Food,12.79,Low Fat,0.059956876,0.909087926,Starchy Foods,165.4526,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,5262.4832
FDB51,Food,6.92,Low Fat,0.038532062,0.584237116,Dairy,60.5852,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,1314.2892
FDX44,Food,9.3,Low Fat,0.043209581,0.655159358,Fruits and Vegetables,90.8172,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,535.3032
NCN07,Non-Consumable,18.5,Non-Edible,0.056816465,0.861471874,Others,132.1284,OUT010,1998,15,Medium,Tier 3,Grocery Store,263.6568
NCC31,Non-Consumable,8.02,Non-Edible,0.019866705,0.301226195,Household,154.5972,OUT035,2004,9,Small,Tier 2,Supermarket Type1,1402.1748
NCX54,Non-Consumable,9.195,Non-Edible,0.048331717,0.732823044,Household,105.1622,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,1693.7952
NCO55,Non-Consumable,12.8,Non-Edible,0.091221855,1.383138891,Others,105.5938,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,2143.876
NCC30,Non-Consumable,16.6,Non-Edible,0.027622076,0.418815947,Household,177.6344,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,2676.516
FDI16,Food,14,Regular,0.06595278,1,Frozen Foods,53.064,OUT035,2004,9,Small,Tier 2,Supermarket Type1,905.488
FDP16,Food,18.6,Low Fat,0.039355947,0.59672916,Frozen Foods,246.3802,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,7370.406
FDB11,Food,16,Low Fat,0.060836524,0.922425469,Starchy Foods,226.8404,OUT035,2004,9,Small,Tier 2,Supermarket Type1,6301.1312
NCB06,Non-Consumable,17.6,Non-Edible,0.082316506,1.248112756,Health and Hygiene,160.692,OUT035,2004,9,Small,Tier 2,Supermarket Type1,1597.92
FDA45,Food,21.25,Low Fat,0.155350299,2.355477646,Snack Foods,178.237,OUT035,2004,9,Small,Tier 2,Supermarket Type1,529.311
NCO26,Non-Consumable,7.235,Non-Edible,0.076841095,1.165092586,Household,117.5492,OUT035,2004,9,Small,Tier 2,Supermarket Type1,1969.4364
DRJ25,Drinks,14.6,Low Fat,0.151419185,2.295872668,Soft Drinks,50.3692,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,1034.6532
FDR28,Food,13.85,Regular,0.026001976,0.394251402,Frozen Foods,161.521,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,1794.331
FDI04,Food,13.65,Regular,0.073209447,1.11002822,Frozen Foods,197.6426,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,2768.3964
DRK12,Drinks,12.79,Low Fat,0.041683481,0.632020076,Soft Drinks,31.29,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,898.83
FDX20,Food,7.365,Low Fat,0.042560252,0.645313996,Fruits and Vegetables,226.172,OUT046,1997,16,Small,Tier 1,Supermarket Type1,3169.208
NCI18,Non-Consumable,18.35,Non-Edible,0.014081156,0.213503601,Household,223.5746,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,3589.9936
FDB36,Food,5.465,Regular,0.06595278,1,Baking Goods,132.5626,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,262.3252
FDN13,Food,18.6,Low Fat,0.152918384,2.318604068,Breakfast,99.8358,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,1910.1802
DRD24,Drinks,13.85,Low Fat,0.030969274,0.469567378,Soft Drinks,140.9154,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,1701.7848
FDQ28,Food,14,Regular,0.060376776,0.915454603,Frozen Foods,154.5656,OUT013,1987,26,High,Tier 3,Supermarket Type1,2471.4496
FDM22,Food,14,Regular,0.04192285,0.635649475,Snack Foods,54.764,OUT013,1987,26,High,Tier 3,Supermarket Type1,1331.6
FDR07,Food,12.79,Low Fat,0.077367431,1.173073084,Fruits and Vegetables,97.0094,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,1808.9786
FDV25,Food,5.905,Low Fat,0.045838211,0.695015601,Canned,222.5456,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,3315.684
DRF49,Drinks,7.27,Low Fat,0.071077939,1.077709522,Soft Drinks,114.2518,OUT046,1997,16,Small,Tier 1,Supermarket Type1,2618.5914
FDW51,Food,6.155,Regular,0.094659871,1.435267338,Meat,214.556,OUT046,1997,16,Small,Tier 1,Supermarket Type1,2769.728
DRL01,Drinks,19.5,Regular,0.077608838,1.176733384,Soft Drinks,233.4958,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,5375.0034
FDP25,Food,15.2,Low Fat,0.021327477,0.323374951,Canned,216.8824,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,2838.9712
FDL50,Food,12.15,Regular,0.042485444,0.64417973,Canned,125.0046,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,1743.0644
NCB30,Non-Consumable,12.79,Non-Edible,0.025578526,0.3878309,Household,198.8084,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,5555.4352
FDW11,Food,12.6,Low Fat,0.0489808,0.742664676,Breads,61.9194,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,619.194
NCM43,Non-Consumable,14.5,Non-Edible,0.019471688,0.295236804,Others,164.821,OUT035,2004,9,Small,Tier 2,Supermarket Type1,2120.573
FDK44,Food,16.6,Low Fat,0.122918852,1.86374027,Fruits and Vegetables,173.0738,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,3823.0236
FDM15,Food,11.8,Regular,0.057373797,0.869922344,Meat,151.4366,OUT013,1987,26,High,Tier 3,Supermarket Type1,1360.2294
FDS31,Food,13.1,Regular,0.044155597,0.669503196,Fruits and Vegetables,178.8318,OUT013,1987,26,High,Tier 3,Supermarket Type1,3969.4996
FDI32,Food,17.7,Low Fat,0.291865402,4.425369211,Fruits and Vegetables,115.1834,OUT010,1998,15,Medium,Tier 3,Grocery Store,345.5502
FDR47,Food,17.85,Low Fat,0.06595278,1,Breads,196.5794,OUT010,1998,15,Medium,Tier 3,Grocery Store,585.2382
FDB35,Food,12.3,Regular,0.064750025,0.981763392,Starchy Foods,92.6804,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,1010.6844
NCU05,Non-Consumable,11.8,Non-Edible,0.098312421,1.490648628,Health and Hygiene,81.4618,OUT010,1998,15,Medium,Tier 3,Grocery Store,161.1236
DRY23,Drinks,12.79,Regular,0.191013663,2.896218522,Soft Drinks,42.1112,OUT019,1985,28,Small,Tier 1,Grocery Store,42.6112
FDO24,Food,11.1,Low Fat,0.176573035,2.677264476,Baking Goods,157.4604,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,3010.7476
FDQ28,Food,12.79,Regular,0.060134441,0.911780231,Frozen Foods,153.0656,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,6024.1584
FDV39,Food,11.3,Low Fat,0.007294652,0.110604163,Meat,198.1426,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,988.713
