"Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","MRP","Outlet_Identifier","Establishment_Age","Outlet_Size","Outlet_Location_Type","Outlet_Type","Sales"
"FDD16",12.6,"LF",0.063649582,"Frozen Foods",75,"OUT019",28,"Small","Tier 1","Grocery Store",75
"FDK25",11.6,"Regular",0.157718931,"Breakfast",168,"OUT017",6,"Small","Tier 2","Supermarket Type1",4548
"FDY47",8.6,"Regular",0.091195818,"Breads",130,"OUT010",15,"Small","Tier 3","Grocery Store",130
"FDU46",10.3,"Regular",0.018623146,"Snack Foods",88,"OUT010",15,"Small","Tier 3","Grocery Store",260
"FDL46",20.35,"LF",0.054056927,"Snack Foods",117,"OUT046",16,"Small","Tier 1","Supermarket Type1",2357
"FDM01",7.9,"Regular",0.095102092,"Breakfast",104,"OUT017",6,"Small","Tier 2","Supermarket Type1",2871
"FDW56",12.6,"LF",0.070556945,"Fruits and Vegetables",191,"OUT027",28,"Medium","Tier 3","Supermarket Type3",7504
"FDV28",16.1,"Regular",0.160379061,"Frozen Foods",34,"OUT018",4,"Medium","Tier 3","Supermarket Type2",204
"FDJ44",12.3,"Regular",0.106492562,"Fruits and Vegetables",176,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1396
"NCR17",9.8,"LF",0.024432767,"Health and Hygiene",116,"OUT045",11,"Small","Tier 2","Supermarket Type1",2780
"DRC12",17.85,"LF",0.03781972,"Soft Drinks",192,"OUT035",9,"Small","Tier 2","Supermarket Type1",2475
"FDP22",12.6,"Regular",0,"Snack Foods",53,"OUT027",28,"Medium","Tier 3","Supermarket Type3",718
"FDU56",16.85,"LF",0.044414056,"Fruits and Vegetables",182,"OUT046",16,"Small","Tier 1","Supermarket Type1",2029
"FDY21",12.6,"LF",0.30374337,"Snack Foods",196,"OUT019",28,"Small","Tier 1","Grocery Store",589
"FDL16",12.6,"LF",0.294939214,"Frozen Foods",47,"OUT019",28,"Small","Tier 1","Grocery Store",140
"FDT50",6.75,"Regular",0.108679906,"Dairy",96,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1246
"FDY24",4.88,"Regular",0,"Baking Goods",53,"OUT035",9,"Small","Tier 2","Supermarket Type1",809
"FDH32",12.8,"LF",0.076369874,"Fruits and Vegetables",97,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1448
"FDL03",19.25,"Regular",0.027233781,"Meat",198,"OUT017",6,"Small","Tier 2","Supermarket Type1",982
"FDG52",13.65,"LF",0.065898197,"Frozen Foods",46,"OUT018",4,"Medium","Tier 3","Supermarket Type2",459
"DRJ25",14.6,"LF",0.151180862,"Soft Drinks",48,"OUT018",4,"Medium","Tier 3","Supermarket Type2",443
"FDY03",12.6,"Regular",0.133279499,"Meat",113,"OUT019",28,"Small","Tier 1","Grocery Store",675
"NCO41",12.5,"LF",0.031549131,"Health and Hygiene",99,"OUT010",15,"Small","Tier 3","Grocery Store",197
"NCQ17",10.3,"LF",0,"Health and Hygiene",155,"OUT013",26,"High","Tier 3","Supermarket Type1",2816
"FDO04",16.6,"LF",0,"Frozen Foods",55,"OUT017",6,"Small","Tier 2","Supermarket Type1",884
"FDM34",12.6,"LF",0.067120954,"Snack Foods",133,"OUT027",28,"Medium","Tier 3","Supermarket Type3",3279
"DRC25",5.73,"LF",0.075943184,"Soft Drinks",86,"OUT010",15,"Small","Tier 3","Grocery Store",172
"NCY41",16.75,"LF",0.075735621,"Health and Hygiene",35,"OUT046",16,"Small","Tier 1","Supermarket Type1",324
"FDP27",8.16,"LF",0.119937231,"Meat",189,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2087
"FDS46",17.6,"Regular",0.047449835,"Snack Foods",118,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2622
"FDR48",11.65,"LF",0.131770922,"Baking Goods",151,"OUT045",11,"Small","Tier 2","Supermarket Type1",1518
"FDU19",8.77,"Regular",0.046762633,"Fruits and Vegetables",171,"OUT035",9,"Small","Tier 2","Supermarket Type1",1724
"FDB21",7.48,"LF",0.148492521,"Fruits and Vegetables",241,"OUT035",9,"Small","Tier 2","Supermarket Type1",1692
"FDP10",19,"LF",0.128814669,"Snack Foods",108,"OUT017",6,"Small","Tier 2","Supermarket Type1",1164
"FDQ52",17,"LF",0.119362409,"Frozen Foods",249,"OUT035",9,"Small","Tier 2","Supermarket Type1",5960
"DRD12",6.96,"LF",0.077129323,"Soft Drinks",93,"OUT013",26,"High","Tier 3","Supermarket Type1",1733
"FDH24",20.7,"LF",0.021427082,"Baking Goods",157,"OUT035",9,"Small","Tier 2","Supermarket Type1",1571
"NCO18",13.15,"LF",0.024630755,"Household",178,"OUT013",26,"High","Tier 3","Supermarket Type1",2667
"FDI33",16.5,"LF",0.028476451,"Snack Foods",91,"OUT045",11,"Small","Tier 2","Supermarket Type1",1368
"FDW57",8.31,"Regular",0.116331694,"Snack Foods",177,"OUT017",6,"Small","Tier 2","Supermarket Type1",3011
"FDN20",12.6,"LF",0.026055106,"Fruits and Vegetables",170,"OUT027",28,"Medium","Tier 3","Supermarket Type3",4211
"FDR27",15.1,"Regular",0.096020459,"Meat",134,"OUT013",26,"High","Tier 3","Supermarket Type1",2385
"FDC03",8.58,"Regular",0.071832909,"Dairy",194,"OUT035",9,"Small","Tier 2","Supermarket Type1",3316
"FDU09",7.71,"Regular",0.06670068,"Snack Foods",55,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1256
"FDW25",5.18,"LF",0.037457098,"Canned",83,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1449
"FDZ16",16.85,"Regular",0.160760054,"Frozen Foods",192,"OUT017",6,"Small","Tier 2","Supermarket Type1",4844
"NCY29",12.6,"LF",0.135226962,"Health and Hygiene",56,"OUT019",28,"Small","Tier 1","Grocery Store",113
"FDR23",15.85,"LF",0.081719458,"Breads",178,"OUT013",26,"High","Tier 3","Supermarket Type1",2647
"FDU20",19.35,"Regular",0.021578923,"Fruits and Vegetables",121,"OUT017",6,"Small","Tier 2","Supermarket Type1",1808
"FDJ52",7.15,"LF",0.017887474,"Frozen Foods",161,"OUT017",6,"Small","Tier 2","Supermarket Type1",1765
"NCR05",10.1,"LF",0.054630834,"Health and Hygiene",200,"OUT046",16,"Small","Tier 1","Supermarket Type1",1587
"DRL01",12.6,"Regular",0.076798609,"Soft Drinks",232,"OUT027",28,"Medium","Tier 3","Supermarket Type3",8413
"NCB31",6.24,"LF",0.118651919,"Household",264,"OUT035",9,"Small","Tier 2","Supermarket Type1",4208
"FDO52",11.6,"Regular",0.077284566,"Frozen Foods",172,"OUT049",14,"Medium","Tier 1","Supermarket Type1",4278
"FDJ38",8.6,"Regular",0.040197932,"Canned",190,"OUT035",9,"Small","Tier 2","Supermarket Type1",3036
"FDL38",13.8,"Regular",0.014762987,"Canned",91,"OUT045",11,"Small","Tier 2","Supermarket Type1",1338
"FDC46",17.7,"LF",0.1164455,"Snack Foods",183,"OUT013",26,"High","Tier 3","Supermarket Type1",5164
"FDK34",13.35,"LF",0,"Snack Foods",239,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1907
"FDO25",6.3,"LF",0.127449031,"Canned",211,"OUT046",16,"Small","Tier 1","Supermarket Type1",6292
"FDG14",9,"Regular",0.050786366,"Canned",152,"OUT017",6,"Small","Tier 2","Supermarket Type1",3643
"FDZ40",8.94,"LF",0.040410039,"Frozen Foods",53,"OUT017",6,"Small","Tier 2","Supermarket Type1",539
"NCD18",16,"LF",0,"Household",229,"OUT046",16,"Small","Tier 1","Supermarket Type1",1613
"FDZ44",8.19,"LF",0.038948125,"Fruits and Vegetables",115,"OUT017",6,"Small","Tier 2","Supermarket Type1",820
"FDJ07",7.26,"LF",0.02414202,"Meat",117,"OUT010",15,"Small","Tier 3","Grocery Store",466
"FDK58",11.35,"Regular",0.045073782,"Snack Foods",102,"OUT045",11,"Small","Tier 2","Supermarket Type1",2631
"FDR31",6.46,"Regular",0.049121972,"Fruits and Vegetables",145,"OUT013",26,"High","Tier 3","Supermarket Type1",2916
"FDX50",20.1,"LF",0.074778547,"Dairy",111,"OUT045",11,"Small","Tier 2","Supermarket Type1",1658
"FDR47",17.85,"LF",0.087963415,"Breads",193,"OUT017",6,"Small","Tier 2","Supermarket Type1",4292
"FDK03",12.6,"Regular",0.073562475,"Dairy",255,"OUT027",28,"Medium","Tier 3","Supermarket Type3",8139
"FDA04",11.3,"Regular",0.066717378,"Frozen Foods",261,"OUT035",9,"Small","Tier 2","Supermarket Type1",4921
"FDY58",11.65,"LF",0.039980644,"Snack Foods",227,"OUT049",14,"Medium","Tier 1","Supermarket Type1",4567
"FDP13",12.6,"Regular",0.235183205,"Canned",42,"OUT019",28,"Small","Tier 1","Grocery Store",80
"FDZ48",17.75,"LF",0.07607772,"Baking Goods",112,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2349
"FDI26",12.6,"LF",0.034717799,"Canned",179,"OUT027",28,"Medium","Tier 3","Supermarket Type3",6067
"FDY52",12.6,"LF",0.012865901,"Frozen Foods",59,"OUT019",28,"Small","Tier 1","Grocery Store",123
"NCI17",8.65,"LF",0.143713508,"Health and Hygiene",97,"OUT045",11,"Small","Tier 2","Supermarket Type1",869
"FDY27",6.38,"LF",0.032028115,"Dairy",178,"OUT018",4,"Medium","Tier 3","Supermarket Type2",3212
"FDR22",19.35,"Regular",0.018591464,"Snack Foods",113,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1342
"FDQ12",12.6,"LF",0.03523927,"Baking Goods",232,"OUT027",28,"Medium","Tier 3","Supermarket Type3",5972
"NCO07",12.6,"LF",0.017116983,"Others",212,"OUT019",28,"Small","Tier 1","Grocery Store",213
"FDU32",8.79,"LF",0.025962714,"Fruits and Vegetables",121,"OUT035",9,"Small","Tier 2","Supermarket Type1",1949
"FDV19",14.85,"Regular",0.03525037,"Fruits and Vegetables",161,"OUT035",9,"Small","Tier 2","Supermarket Type1",2246
"FDE33",19.35,"Regular",0.049916364,"Fruits and Vegetables",80,"OUT017",6,"Small","Tier 2","Supermarket Type1",943
"DRN59",12.6,"LF",0.063831013,"Hard Drinks",46,"OUT027",28,"Medium","Tier 3","Supermarket Type3",1305
"FDH14",17.1,"Regular",0.046808553,"Canned",141,"OUT046",16,"Small","Tier 1","Supermarket Type1",1405
"FDL45",15.6,"LF",0.037680711,"Snack Foods",124,"OUT035",9,"Small","Tier 2","Supermarket Type1",3129
"FDY60",10.5,"Regular",0.026520107,"Baking Goods",145,"OUT017",6,"Small","Tier 2","Supermarket Type1",2157
"FDR56",15.5,"Regular",0.100922503,"Fruits and Vegetables",199,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2759
"FDE29",8.91,"LF",0.143129124,"Frozen Foods",59,"OUT046",16,"Small","Tier 1","Supermarket Type1",1151
"FDQ46",7.51,"LF",0.103793399,"Snack Foods",110,"OUT035",9,"Small","Tier 2","Supermarket Type1",2685
"FDB04",11.35,"Regular",0.06321435,"Dairy",88,"OUT035",9,"Small","Tier 2","Supermarket Type1",1318
"NCK19",9.8,"LF",0.151420934,"Others",194,"OUT010",15,"Small","Tier 3","Grocery Store",387
"FDV13",17.35,"Regular",0.02758789,"Canned",86,"OUT013",26,"High","Tier 3","Supermarket Type1",703
"FDL56",12.6,"LF",0.220225608,"Fruits and Vegetables",86,"OUT019",28,"Small","Tier 1","Grocery Store",87
"FDB23",19.2,"Regular",0,"Starchy Foods",224,"OUT045",11,"Small","Tier 2","Supermarket Type1",5643
"NCG06",16.35,"LF",0.029445361,"Household",258,"OUT046",16,"Small","Tier 1","Supermarket Type1",2061
"FDE33",12.6,"Regular",0.086905536,"Fruits and Vegetables",79,"OUT019",28,"Small","Tier 1","Grocery Store",314
"FDP33",18.7,"LF",0.089197963,"Snack Foods",257,"OUT013",26,"High","Tier 3","Supermarket Type1",2045
"FDB15",10.9,"LF",0.136784873,"Dairy",265,"OUT035",9,"Small","Tier 2","Supermarket Type1",4219
"FDC32",18.35,"LF",0.099026525,"Fruits and Vegetables",94,"OUT013",26,"High","Tier 3","Supermarket Type1",1296
"FDS16",15.15,"Regular",0.066121873,"Frozen Foods",146,"OUT013",26,"High","Tier 3","Supermarket Type1",3662
"FDT13",12.6,"LF",0.032516546,"Canned",189,"OUT019",28,"Small","Tier 1","Grocery Store",754
"FDZ25",15.7,"Regular",0.027673055,"Canned",169,"OUT045",11,"Small","Tier 2","Supermarket Type1",3735
"FDZ52",19.2,"LF",0.100074524,"Frozen Foods",110,"OUT046",16,"Small","Tier 1","Supermarket Type1",778
"FDW45",18,"LF",0.038978526,"Snack Foods",149,"OUT013",26,"High","Tier 3","Supermarket Type1",2796
"FDB34",15.25,"LF",0.026663778,"Snack Foods",87,"OUT045",11,"Small","Tier 2","Supermarket Type1",2442
"FDG35",12.6,"Regular",0.007006883,"Starchy Foods",174,"OUT027",28,"Medium","Tier 3","Supermarket Type3",1216
"NCB31",6.24,"LF",0.118858866,"Household",263,"OUT049",14,"Medium","Tier 1","Supermarket Type1",3419
"FDX58",13.15,"LF",0.043852434,"Snack Foods",183,"OUT045",11,"Small","Tier 2","Supermarket Type1",4211
"FDL13",13.85,"Regular",0.094265737,"Breakfast",234,"OUT010",15,"Small","Tier 3","Grocery Store",233
"NCX06",17.6,"LF",0.015750947,"Household",183,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1630
"FDW60",5.44,"Regular",0.017047751,"Baking Goods",175,"OUT013",26,"High","Tier 3","Supermarket Type1",2999
"FDH21",10.4,"LF",0.031199028,"Seafood",159,"OUT013",26,"High","Tier 3","Supermarket Type1",317
"FDJ36",14.5,"Regular",0.128235818,"Baking Goods",104,"OUT035",9,"Small","Tier 2","Supermarket Type1",205
"FDQ37",20.75,"LF",0.089260667,"Breakfast",193,"OUT046",16,"Small","Tier 1","Supermarket Type1",4844
"NCN07",18.5,"LF",0.034082974,"Others",131,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1977
"FDJ14",10.3,"Regular",0.050070476,"Canned",78,"OUT046",16,"Small","Tier 1","Supermarket Type1",1278
"NCG07",12.3,"LF",0.052492122,"Household",191,"OUT035",9,"Small","Tier 2","Supermarket Type1",3416
"FDS39",6.9,"LF",0.022587621,"Meat",144,"OUT017",6,"Small","Tier 2","Supermarket Type1",1995
"FDW44",9.5,"Regular",0.035350045,"Fruits and Vegetables",170,"OUT017",6,"Small","Tier 2","Supermarket Type1",3579
"FDO32",6.36,"LF",0.120731024,"Fruits and Vegetables",47,"OUT049",14,"Medium","Tier 1","Supermarket Type1",652
"FDX55",12.6,"LF",0.096658404,"Fruits and Vegetables",217,"OUT019",28,"Small","Tier 1","Grocery Store",218
"DRD15",10.6,"LF",0.056884225,"Dairy",232,"OUT049",14,"Medium","Tier 1","Supermarket Type1",3021
"NCM05",6.83,"LF",0.059940022,"Health and Hygiene",262,"OUT049",14,"Medium","Tier 1","Supermarket Type1",3965
"FDH17",12.6,"Regular",0.029157849,"Frozen Foods",97,"OUT019",28,"Small","Tier 1","Grocery Store",294
"FDP20",19.85,"LF",0.045855273,"Fruits and Vegetables",127,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1771
"FDW58",20.75,"LF",0.007551665,"Snack Foods",107,"OUT035",9,"Small","Tier 2","Supermarket Type1",1694
"FDR08",18.7,"LF",0.037835765,"Fruits and Vegetables",111,"OUT017",6,"Small","Tier 2","Supermarket Type1",2335
"FDC37",15.5,"LF",0.032924463,"Baking Goods",107,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2144
"FDQ01",19.7,"Regular",0.161356273,"Canned",253,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2805
"NCT05",10.9,"LF",0.021037197,"Health and Hygiene",256,"OUT018",4,"Medium","Tier 3","Supermarket Type2",4858
"NCQ43",17.75,"LF",0.111301625,"Others",108,"OUT046",16,"Small","Tier 1","Supermarket Type1",1529
"FDI15",13.8,"LF",0.14215211,"Dairy",264,"OUT017",6,"Small","Tier 2","Supermarket Type1",2385
"DRK49",12.6,"LF",0,"Soft Drinks",41,"OUT019",28,"Small","Tier 1","Grocery Store",41
"FDU32",8.79,"LF",0,"Fruits and Vegetables",123,"OUT010",15,"Small","Tier 3","Grocery Store",122
"FDZ58",12.6,"LF",0.051924192,"Snack Foods",121,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2940
"NCJ18",12.35,"LF",0.164274416,"Household",120,"OUT045",11,"Small","Tier 2","Supermarket Type1",2133
"FDU08",10.3,"LF",0.027426689,"Fruits and Vegetables",97,"OUT018",4,"Medium","Tier 3","Supermarket Type2",694
"FDZ09",17.6,"LF",0.104859135,"Snack Foods",162,"OUT035",9,"Small","Tier 2","Supermarket Type1",4095
"NCE07",8.18,"LF",0.02197698,"Household",141,"OUT010",15,"Small","Tier 3","Grocery Store",425
"FDH16",10.5,"LF",0.052637056,"Frozen Foods",89,"OUT049",14,"Medium","Tier 1","Supermarket Type1",809
"FDY60",10.5,"Regular",0,"Baking Goods",143,"OUT046",16,"Small","Tier 1","Supermarket Type1",1438
"FDX04",19.6,"Regular",0.041536962,"Frozen Foods",46,"OUT013",26,"High","Tier 3","Supermarket Type1",527
"FDD33",12.85,"LF",0.108633372,"Fruits and Vegetables",234,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2324
"FDF57",14.5,"Regular",0.058946687,"Fruits and Vegetables",169,"OUT045",11,"Small","Tier 2","Supermarket Type1",2898
"DRG49",7.81,"LF",0.067592098,"Soft Drinks",246,"OUT045",11,"Small","Tier 2","Supermarket Type1",7086
"NCV06",11.3,"LF",0.066681333,"Household",194,"OUT046",16,"Small","Tier 1","Supermarket Type1",387
"FDD33",12.85,"LF",0.108412059,"Fruits and Vegetables",233,"OUT045",11,"Small","Tier 2","Supermarket Type1",3950
"FDY11",6.71,"Regular",0.029680868,"Baking Goods",65,"OUT018",4,"Medium","Tier 3","Supermarket Type2",857
"FDR58",6.68,"LF",0.041913535,"Snack Foods",91,"OUT035",9,"Small","Tier 2","Supermarket Type1",1666
"FDW28",18.25,"LF",0.148673586,"Frozen Foods",197,"OUT010",15,"Small","Tier 3","Grocery Store",196
"FDZ26",11.6,"Regular",0.144832027,"Dairy",240,"OUT017",6,"Small","Tier 2","Supermarket Type1",4063
"FDZ19",6.43,"LF",0.093454899,"Fruits and Vegetables",175,"OUT046",16,"Small","Tier 1","Supermarket Type1",2988
"NCX41",19,"LF",0.017755213,"Health and Hygiene",212,"OUT045",11,"Small","Tier 2","Supermarket Type1",2752
"NCX30",12.6,"LF",0.026491715,"Household",247,"OUT027",28,"Medium","Tier 3","Supermarket Type3",6192
"FDF45",18.2,"Regular",0.012254429,"Fruits and Vegetables",60,"OUT018",4,"Medium","Tier 3","Supermarket Type2",644
"DRF03",19.1,"LF",0.045492697,"Dairy",40,"OUT018",4,"Medium","Tier 3","Supermarket Type2",528
"FDK44",12.6,"LF",0.121635591,"Fruits and Vegetables",175,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2954
"DRZ11",8.85,"Regular",0.112840108,"Soft Drinks",122,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1238
"FDW34",12.6,"LF",0.035406842,"Snack Foods",244,"OUT027",28,"Medium","Tier 3","Supermarket Type3",8263
"DRG01",14.8,"LF",0.04487828,"Soft Drinks",75,"OUT046",16,"Small","Tier 1","Supermarket Type1",766
"FDI57",19.85,"LF",0.054025644,"Seafood",197,"OUT046",16,"Small","Tier 1","Supermarket Type1",6504
"FDG05",12.6,"Regular",0.087421738,"Frozen Foods",154,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2973
"FDI60",7.22,"Regular",0.0383808,"Baking Goods",62,"OUT049",14,"Medium","Tier 1","Supermarket Type1",886
"FDE14",13.65,"Regular",0.031418984,"Canned",99,"OUT013",26,"High","Tier 3","Supermarket Type1",2597
"FDE58",18.5,"LF",0.052025392,"Snack Foods",118,"OUT013",26,"High","Tier 3","Supermarket Type1",2370
"FDC58",12.6,"LF",0,"Snack Foods",46,"OUT027",28,"Medium","Tier 3","Supermarket Type3",615
"FDK58",11.35,"Regular",0.045165796,"Snack Foods",100,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1012
"FDV09",12.1,"LF",0.020684919,"Snack Foods",149,"OUT017",6,"Small","Tier 2","Supermarket Type1",1336
"NCD54",21.1,"LF",0.029173031,"Household",146,"OUT017",6,"Small","Tier 2","Supermarket Type1",1445
"FDQ16",19.7,"LF",0.041730507,"Frozen Foods",109,"OUT035",9,"Small","Tier 2","Supermarket Type1",2402
"FDE26",9.3,"LF",0.089144149,"Canned",145,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1011
"NCD06",13,"LF",0.099242622,"Household",46,"OUT013",26,"High","Tier 3","Supermarket Type1",699
"FDI60",7.22,"Regular",0.064141866,"Baking Goods",61,"OUT010",15,"Small","Tier 3","Grocery Store",127
"FDP16",18.6,"LF",0.039294854,"Frozen Foods",247,"OUT046",16,"Small","Tier 1","Supermarket Type1",2702
"FDP08",20.5,"Regular",0.112584813,"Fruits and Vegetables",192,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1550
"FDT60",12.6,"LF",0.132275338,"Baking Goods",124,"OUT019",28,"Small","Tier 1","Grocery Store",124
"FDG09",20.6,"Regular",0.047896393,"Fruits and Vegetables",186,"OUT013",26,"High","Tier 3","Supermarket Type1",1690
"NCR42",9.11,"LF",0.064410783,"Household",33,"OUT010",15,"Small","Tier 3","Grocery Store",33
"FDO38",12.6,"LF",0.072486326,"Canned",79,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2259
"NCF07",9,"LF",0.032072321,"Household",102,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1417
"FDG44",6.13,"LF",0.102171627,"Fruits and Vegetables",54,"OUT035",9,"Small","Tier 2","Supermarket Type1",1025
"FDE51",5.93,"Regular",0.097012989,"Dairy",43,"OUT017",6,"Small","Tier 2","Supermarket Type1",758
"FDI56",12.6,"LF",0.092933158,"Fruits and Vegetables",91,"OUT027",28,"Medium","Tier 3","Supermarket Type3",3466
"FDP11",12.6,"LF",0.068765925,"Breads",217,"OUT027",28,"Medium","Tier 3","Supermarket Type3",4354
"FDT43",16.35,"LF",0.020664178,"Fruits and Vegetables",51,"OUT017",6,"Small","Tier 2","Supermarket Type1",1298
"FDH31",12,"Regular",0.020407296,"Meat",100,"OUT035",9,"Small","Tier 2","Supermarket Type1",595
"DRE37",13.5,"LF",0.094603404,"Soft Drinks",187,"OUT018",4,"Medium","Tier 3","Supermarket Type2",3214
"FDS40",15.35,"LF",0.014047825,"Frozen Foods",37,"OUT045",11,"Small","Tier 2","Supermarket Type1",586
"FDK41",12.6,"LF",0.126924095,"Frozen Foods",87,"OUT027",28,"Medium","Tier 3","Supermarket Type3",3494
"FDZ59",12.6,"Regular",0.182128363,"Baking Goods",166,"OUT019",28,"Small","Tier 1","Grocery Store",666
"FDY15",12.6,"Regular",0.299097859,"Dairy",158,"OUT019",28,"Small","Tier 1","Grocery Store",469
"FDI08",18.2,"Regular",0.066284519,"Fruits and Vegetables",247,"OUT035",9,"Small","Tier 2","Supermarket Type1",3486
"NCN29",15.2,"LF",0,"Health and Hygiene",48,"OUT049",14,"Medium","Tier 1","Supermarket Type1",437
"NCN14",12.6,"LF",0.09147267,"Others",185,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2756
"FDS36",8.38,"Regular",0.046960237,"Baking Goods",112,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2966
"FDX34",6.2,"LF",0.072131519,"Snack Foods",120,"OUT045",11,"Small","Tier 2","Supermarket Type1",2892
"FDX36",12.6,"Regular",0.224607399,"Baking Goods",223,"OUT019",28,"Small","Tier 1","Grocery Store",450
"NCG55",16.25,"LF",0.039207025,"Household",116,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2634
"DRH25",18.7,"LF",0.014622625,"Soft Drinks",52,"OUT045",11,"Small","Tier 2","Supermarket Type1",1091
"FDA32",14,"LF",0,"Fruits and Vegetables",217,"OUT017",6,"Small","Tier 2","Supermarket Type1",6472
"FDX31",20.35,"Regular",0.014813268,"Fruits and Vegetables",235,"OUT013",26,"High","Tier 3","Supermarket Type1",5842
"FDA28",16.1,"Regular",0.047996608,"Frozen Foods",127,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1384
"FDJ55",12.8,"Regular",0.023511371,"Meat",226,"OUT013",26,"High","Tier 3","Supermarket Type1",4951
"NCU05",11.8,"LF",0.058725131,"Health and Hygiene",82,"OUT035",9,"Small","Tier 2","Supermarket Type1",1208
"NCQ29",12,"LF",0.104230135,"Health and Hygiene",260,"OUT046",16,"Small","Tier 1","Supermarket Type1",2603
"FDT38",18.7,"LF",0.057654132,"Dairy",83,"OUT045",11,"Small","Tier 2","Supermarket Type1",1607
"FDP28",13.65,"Regular",0.08062523,"Frozen Foods",260,"OUT035",9,"Small","Tier 2","Supermarket Type1",2088
"FDN02",16.5,"LF",0.073813788,"Canned",207,"OUT035",9,"Small","Tier 2","Supermarket Type1",5384
"DRF48",5.73,"LF",0.05190652,"Soft Drinks",188,"OUT045",11,"Small","Tier 2","Supermarket Type1",1497
"FDR46",16.85,"LF",0.139301634,"Snack Foods",145,"OUT013",26,"High","Tier 3","Supermarket Type1",2783
"FDV39",11.3,"LF",0.007273831,"Meat",197,"OUT013",26,"High","Tier 3","Supermarket Type1",5141
"DRL60",8.52,"LF",0.027169589,"Soft Drinks",151,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1830
