Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,MRP,Outlet_Identifier,Establishment_Age,Outlet_Size,Outlet_Location_Type,Outlet_Type,Sales
NCX54,9.2,LF,0.048157338,Household,106,OUT045,11,Small,Tier 2,Supermarket Type1,2117
DRK35,8.37,LF,0.071958197,Hard Drinks,38,OUT049,14,Medium,Tier 1,Supermarket Type1,797
FDY21,15.1,LF,0.173481304,Snack Foods,195,OUT046,16,Small,Tier 1,Supermarket Type1,4910
FDI26,12.6,LF,0.061082177,Canned,180,OUT019,28,Small,Tier 1,Grocery Store,892
FDM20,10,LF,0,Fruits and Vegetables,247,OUT018,4,Medium,Tier 3,Supermarket Type2,3185
FDV27,7.97,Regular,0.040071131,Meat,87,OUT045,11,Small,Tier 2,Supermarket Type1,1063
FDF09,12.6,LF,0.012090074,Fruits and Vegetables,38,OUT027,28,Medium,Tier 3,Supermarket Type3,485
FDY40,12.6,Regular,0.15028599,Frozen Foods,51,OUT019,28,Small,Tier 1,Grocery Store,148
FDY45,12.6,LF,0.026015519,Snack Foods,256,OUT027,28,Medium,Tier 3,Supermarket Type3,2543
FDC46,17.7,LF,0.195068226,Snack Foods,185,OUT010,15,Small,Tier 3,Grocery Store,184
FDH19,19.35,LF,0.033082215,Meat,173,OUT035,9,Small,Tier 2,Supermarket Type1,4866
FDZ03,13.65,Regular,0.078946455,Dairy,186,OUT045,11,Small,Tier 2,Supermarket Type1,1119
DRH37,17.6,LF,0.041700756,Soft Drinks,165,OUT045,11,Small,Tier 2,Supermarket Type1,2302
NCI17,8.65,LF,0.143422643,Health and Hygiene,96,OUT046,16,Small,Tier 1,Supermarket Type1,2027
FDJ58,15.6,Regular,0.105296072,Snack Foods,170,OUT046,16,Small,Tier 1,Supermarket Type1,3436
FDL12,15.85,Regular,0.121531501,Baking Goods,59,OUT013,26,High,Tier 3,Supermarket Type1,599
FDH35,18.25,LF,0,Starchy Foods,165,OUT045,11,Small,Tier 2,Supermarket Type1,4605
FDG02,7.86,LF,0.011324862,Canned,190,OUT017,6,Small,Tier 2,Supermarket Type1,2285
NCZ18,7.83,LF,0.186357148,Household,254,OUT049,14,Medium,Tier 1,Supermarket Type1,5581
FDC29,8.39,Regular,0.024205661,Frozen Foods,114,OUT046,16,Small,Tier 1,Supermarket Type1,2290
FDQ10,12.85,LF,0.033230816,Snack Foods,172,OUT049,14,Medium,Tier 1,Supermarket Type1,1207
FDN48,12.6,LF,0.113720344,Baking Goods,90,OUT019,28,Small,Tier 1,Grocery Store,643
FDL04,19,LF,0.112556507,Frozen Foods,105,OUT017,6,Small,Tier 2,Supermarket Type1,1588
FDV25,5.91,LF,0,Canned,223,OUT045,11,Small,Tier 2,Supermarket Type1,5305
FDD58,7.76,LF,0.059352241,Snack Foods,102,OUT046,16,Small,Tier 1,Supermarket Type1,1698
FDN04,11.8,Regular,0.014087057,Frozen Foods,180,OUT046,16,Small,Tier 1,Supermarket Type1,1427
FDV45,16.75,LF,0.045230944,Snack Foods,188,OUT018,4,Medium,Tier 3,Supermarket Type2,4694
NCL18,12.6,LF,0.293417759,Household,195,OUT019,28,Small,Tier 1,Grocery Store,583
FDR12,12.6,Regular,0.031382044,Baking Goods,171,OUT027,28,Medium,Tier 3,Supermarket Type3,3092
FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177,OUT017,6,Small,Tier 2,Supermarket Type1,2479
FDZ55,6.06,LF,0.025403898,Fruits and Vegetables,161,OUT035,9,Small,Tier 2,Supermarket Type1,2716
FDQ49,12.6,Regular,0.039057677,Breakfast,156,OUT027,28,Medium,Tier 3,Supermarket Type3,3286
FDN33,6.31,Regular,0.123115764,Snack Foods,96,OUT046,16,Small,Tier 1,Supermarket Type1,662
FDN27,20.85,LF,0.039624006,Meat,117,OUT049,14,Medium,Tier 1,Supermarket Type1,1523
FDW20,20.75,LF,0.040421193,Fruits and Vegetables,122,OUT010,15,Small,Tier 3,Grocery Store,370
DRG27,8.9,LF,0.105274111,Dairy,40,OUT049,14,Medium,Tier 1,Supermarket Type1,690
DRI25,19.6,LF,0.033970195,Soft Drinks,55,OUT045,11,Small,Tier 2,Supermarket Type1,1382
FDA44,19.7,LF,0.053212652,Fruits and Vegetables,58,OUT035,9,Small,Tier 2,Supermarket Type1,623
NCR17,9.8,LF,0.024378706,Health and Hygiene,115,OUT035,9,Small,Tier 2,Supermarket Type1,1274
FDU04,12.6,LF,0.009714595,Frozen Foods,120,OUT019,28,Small,Tier 1,Grocery Store,487
FDF41,12.15,LF,0.131383762,Frozen Foods,246,OUT049,14,Medium,Tier 1,Supermarket Type1,1232
FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187,OUT035,9,Small,Tier 2,Supermarket Type1,3755
NCP18,12.6,LF,0.028459761,Household,150,OUT027,28,Medium,Tier 3,Supermarket Type3,4364
FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,188,OUT046,16,Small,Tier 1,Supermarket Type1,1314
FDT28,13.3,LF,0.063695084,Frozen Foods,151,OUT045,11,Small,Tier 2,Supermarket Type1,1806
FDD10,12.6,Regular,0.045797829,Snack Foods,179,OUT027,28,Medium,Tier 3,Supermarket Type3,2855
FDW57,8.31,Regular,0.115857223,Snack Foods,179,OUT049,14,Medium,Tier 1,Supermarket Type1,3896
DRB48,16.75,Regular,0.024832806,Soft Drinks,39,OUT013,26,High,Tier 3,Supermarket Type1,668
FDP09,19.75,LF,0.034027909,Snack Foods,212,OUT018,4,Medium,Tier 3,Supermarket Type2,3186
FDH14,17.1,Regular,0.0467696,Canned,141,OUT013,26,High,Tier 3,Supermarket Type1,2248
FDA47,10.5,Regular,0.116576702,Baking Goods,163,OUT013,26,High,Tier 3,Supermarket Type1,1794
FDG12,6.64,Regular,0,Baking Goods,121,OUT045,11,Small,Tier 2,Supermarket Type1,2531
DRE60,12.6,LF,0.278974075,Soft Drinks,225,OUT019,28,Small,Tier 1,Grocery Store,679
DRK49,14.15,LF,0.035913805,Soft Drinks,41,OUT013,26,High,Tier 3,Supermarket Type1,812
FDD03,13.3,LF,0.079806266,Dairy,233,OUT046,16,Small,Tier 1,Supermarket Type1,699
FDS52,8.89,LF,0.005505481,Frozen Foods,102,OUT017,6,Small,Tier 2,Supermarket Type1,2732
FDW39,12.6,Regular,0.064625342,Meat,177,OUT019,28,Small,Tier 1,Grocery Store,176
FDX34,12.6,LF,0.071636937,Snack Foods,122,OUT027,28,Medium,Tier 3,Supermarket Type3,4097
FDV11,9.1,Regular,0,Breads,173,OUT045,11,Small,Tier 2,Supermarket Type1,3152
FDD17,7.5,LF,0.032677678,Frozen Foods,239,OUT049,14,Medium,Tier 1,Supermarket Type1,5942
FDZ16,16.85,Regular,0.160760054,Frozen Foods,192,OUT017,6,Small,Tier 2,Supermarket Type1,4844
FDZ46,7.49,LF,0.06911065,Snack Foods,109,OUT035,9,Small,Tier 2,Supermarket Type1,2542
DRA12,11.6,LF,0.041177505,Soft Drinks,140,OUT017,6,Small,Tier 2,Supermarket Type1,2553
FDY58,11.65,LF,0.040081193,Snack Foods,227,OUT018,4,Medium,Tier 3,Supermarket Type2,1142
NCF19,13,LF,0.035307322,Household,48,OUT017,6,Small,Tier 2,Supermarket Type1,680
DRJ13,12.65,LF,0.063017847,Soft Drinks,159,OUT045,11,Small,Tier 2,Supermarket Type1,2086
FDB14,20.25,Regular,0.171938781,Canned,93,OUT010,15,Small,Tier 3,Grocery Store,186
FDJ38,8.6,Regular,0.040197932,Canned,190,OUT035,9,Small,Tier 2,Supermarket Type1,3036
FDW11,12.6,LF,0.049058014,Breads,63,OUT017,6,Small,Tier 2,Supermarket Type1,867
FDL40,17.7,LF,0.01161096,Frozen Foods,95,OUT035,9,Small,Tier 2,Supermarket Type1,869
DRI49,14.15,LF,0.183507295,Soft Drinks,82,OUT046,16,Small,Tier 1,Supermarket Type1,1137
FDV38,19.25,LF,0.102349519,Dairy,53,OUT017,6,Small,Tier 2,Supermarket Type1,928
DRG23,8.88,LF,0.086708987,Hard Drinks,152,OUT013,26,High,Tier 3,Supermarket Type1,762
NCP30,20.5,LF,0.032835147,Household,40,OUT045,11,Small,Tier 2,Supermarket Type1,707
FDY25,12.6,LF,0.033809913,Canned,181,OUT027,28,Medium,Tier 3,Supermarket Type3,7968
NCH54,13.5,LF,0.07266912,Household,160,OUT046,16,Small,Tier 1,Supermarket Type1,1438
NCR53,12.6,LF,0.144338493,Health and Hygiene,224,OUT027,28,Medium,Tier 3,Supermarket Type3,6976
FDS52,8.89,LF,0.009163216,Frozen Foods,102,OUT010,15,Small,Tier 3,Grocery Store,101
FDG02,7.86,LF,0.011307038,Canned,189,OUT018,4,Medium,Tier 3,Supermarket Type2,952
NCO26,7.24,LF,0.076855628,Household,116,OUT046,16,Small,Tier 1,Supermarket Type1,1969
FDH35,12.6,LF,0.059956876,Starchy Foods,165,OUT027,28,Medium,Tier 3,Supermarket Type3,5262
FDB51,6.92,LF,0.038532062,Dairy,61,OUT045,11,Small,Tier 2,Supermarket Type1,1314
FDX44,9.3,LF,0.043209581,Fruits and Vegetables,91,OUT017,6,Small,Tier 2,Supermarket Type1,535
NCN07,18.5,LF,0.056816465,Others,132,OUT010,15,Small,Tier 3,Grocery Store,264
NCC31,8.02,LF,0.019866705,Household,155,OUT035,9,Small,Tier 2,Supermarket Type1,1402
NCX54,9.2,LF,0.048331717,Household,105,OUT017,6,Small,Tier 2,Supermarket Type1,1694
NCO55,12.8,LF,0.091221855,Others,106,OUT045,11,Small,Tier 2,Supermarket Type1,2144
NCC30,16.6,LF,0.027622076,Household,178,OUT049,14,Medium,Tier 1,Supermarket Type1,2677
FDI16,14,Regular,0,Frozen Foods,53,OUT035,9,Small,Tier 2,Supermarket Type1,905
FDP16,18.6,LF,0.039355947,Frozen Foods,246,OUT049,14,Medium,Tier 1,Supermarket Type1,7370
FDB11,16,LF,0.060836524,Starchy Foods,227,OUT035,9,Small,Tier 2,Supermarket Type1,6301
NCB06,17.6,LF,0.082316506,Health and Hygiene,161,OUT035,9,Small,Tier 2,Supermarket Type1,1598
FDA45,21.25,LF,0.155350299,Snack Foods,178,OUT035,9,Small,Tier 2,Supermarket Type1,529
NCO26,7.24,LF,0.076841095,Household,118,OUT035,9,Small,Tier 2,Supermarket Type1,1969
DRJ25,14.6,LF,0.151419185,Soft Drinks,50,OUT017,6,Small,Tier 2,Supermarket Type1,1035
FDR28,13.85,Regular,0.026001976,Frozen Foods,162,OUT018,4,Medium,Tier 3,Supermarket Type2,1794
FDI04,13.65,Regular,0.073209447,Frozen Foods,198,OUT018,4,Medium,Tier 3,Supermarket Type2,2768
DRK12,12.6,LF,0.041683481,Soft Drinks,31,OUT027,28,Medium,Tier 3,Supermarket Type3,899
FDX20,7.37,LF,0.042560252,Fruits and Vegetables,226,OUT046,16,Small,Tier 1,Supermarket Type1,3169
NCI18,18.35,LF,0.014081156,Household,224,OUT018,4,Medium,Tier 3,Supermarket Type2,3590
FDB36,5.47,Regular,0,Baking Goods,133,OUT018,4,Medium,Tier 3,Supermarket Type2,262
FDN13,18.6,LF,0.152918384,Breakfast,100,OUT017,6,Small,Tier 2,Supermarket Type1,1910
DRD24,13.85,LF,0.030969274,Soft Drinks,141,OUT017,6,Small,Tier 2,Supermarket Type1,1702
FDQ28,14,Regular,0.060376776,Frozen Foods,155,OUT013,26,High,Tier 3,Supermarket Type1,2471
FDM22,14,Regular,0.04192285,Snack Foods,55,OUT013,26,High,Tier 3,Supermarket Type1,1332
FDR07,12.6,LF,0.077367431,Fruits and Vegetables,97,OUT027,28,Medium,Tier 3,Supermarket Type3,1809
FDV25,5.91,LF,0.045838211,Canned,223,OUT018,4,Medium,Tier 3,Supermarket Type2,3316
DRF49,7.27,LF,0.071077939,Soft Drinks,114,OUT046,16,Small,Tier 1,Supermarket Type1,2619
FDW51,6.16,Regular,0.094659871,Meat,215,OUT046,16,Small,Tier 1,Supermarket Type1,2770
DRL01,19.5,Regular,0.077608838,Soft Drinks,233,OUT017,6,Small,Tier 2,Supermarket Type1,5375
FDP25,15.2,LF,0.021327477,Canned,217,OUT017,6,Small,Tier 2,Supermarket Type1,2839
FDL50,12.15,Regular,0.042485444,Canned,125,OUT018,4,Medium,Tier 3,Supermarket Type2,1743
NCB30,12.6,LF,0.025578526,Household,199,OUT027,28,Medium,Tier 3,Supermarket Type3,5555
FDW11,12.6,LF,0.0489808,Breads,62,OUT018,4,Medium,Tier 3,Supermarket Type2,619
NCM43,14.5,LF,0.019471688,Others,165,OUT035,9,Small,Tier 2,Supermarket Type1,2121
FDK44,16.6,LF,0.122918852,Fruits and Vegetables,173,OUT017,6,Small,Tier 2,Supermarket Type1,3823
FDM15,11.8,Regular,0.057373797,Meat,151,OUT013,26,High,Tier 3,Supermarket Type1,1360
FDS31,13.1,Regular,0.044155597,Fruits and Vegetables,179,OUT013,26,High,Tier 3,Supermarket Type1,3969
FDI32,17.7,LF,0.291865402,Fruits and Vegetables,115,OUT010,15,Small,Tier 3,Grocery Store,346
FDR47,17.85,LF,0,Breads,197,OUT010,15,Small,Tier 3,Grocery Store,585
FDB35,12.3,Regular,0.064750025,Starchy Foods,93,OUT045,11,Small,Tier 2,Supermarket Type1,1011
NCU05,11.8,LF,0.098312421,Health and Hygiene,81,OUT010,15,Small,Tier 3,Grocery Store,161
DRY23,12.6,Regular,0.191013663,Soft Drinks,42,OUT019,28,Small,Tier 1,Grocery Store,43
FDO24,11.1,LF,0.176573035,Baking Goods,157,OUT045,11,Small,Tier 2,Supermarket Type1,3011
FDQ28,12.6,Regular,0.060134441,Frozen Foods,153,OUT027,28,Medium,Tier 3,Supermarket Type3,6024
FDV39,11.3,LF,0.007294652,Meat,198,OUT045,11,Small,Tier 2,Supermarket Type1,989
NCO17,12.6,LF,0.128478462,Health and Hygiene,118,OUT019,28,Small,Tier 1,Grocery Store,240
FDU50,5.75,Regular,0.075107656,Dairy,113,OUT013,26,High,Tier 3,Supermarket Type1,1374
FDT12,12.6,Regular,0.049381406,Baking Goods,227,OUT027,28,Medium,Tier 3,Supermarket Type3,4740
FDK58,11.35,Regular,0.045165796,Snack Foods,100,OUT018,4,Medium,Tier 3,Supermarket Type2,1012
FDO08,12.6,Regular,0.09415375,Fruits and Vegetables,166,OUT019,28,Small,Tier 1,Grocery Store,658
NCW29,14,LF,0.028907832,Health and Hygiene,130,OUT049,14,Medium,Tier 1,Supermarket Type1,779
FDE04,19.75,Regular,0.018059621,Frozen Foods,180,OUT045,11,Small,Tier 2,Supermarket Type1,2337
NCB19,6.53,LF,0.090436094,Household,85,OUT049,14,Medium,Tier 1,Supermarket Type1,2233
FDV15,10.3,LF,0.146399712,Meat,104,OUT049,14,Medium,Tier 1,Supermarket Type1,1662
FDL58,5.78,Regular,0.074264356,Snack Foods,265,OUT049,14,Medium,Tier 1,Supermarket Type1,4746
FDA08,11.85,Regular,0.050186726,Fruits and Vegetables,164,OUT045,11,Small,Tier 2,Supermarket Type1,3125
FDT43,16.35,LF,0.020631654,Fruits and Vegetables,50,OUT018,4,Medium,Tier 3,Supermarket Type2,467
NCX06,12.6,LF,0.01561108,Household,183,OUT027,28,Medium,Tier 3,Supermarket Type3,5071
FDT20,10.5,LF,0.041395445,Fruits and Vegetables,38,OUT046,16,Small,Tier 1,Supermarket Type1,541
FDB41,19,Regular,0.097313129,Frozen Foods,48,OUT046,16,Small,Tier 1,Supermarket Type1,993
NCN55,14.6,LF,0.059582996,Others,239,OUT049,14,Medium,Tier 1,Supermarket Type1,6009
FDE40,12.6,Regular,0.098663652,Dairy,63,OUT027,28,Medium,Tier 3,Supermarket Type3,2105
FDX49,12.6,Regular,0.101338651,Canned,233,OUT027,28,Medium,Tier 3,Supermarket Type3,5360
NCM53,18.75,LF,0.052146456,Health and Hygiene,105,OUT045,11,Small,Tier 2,Supermarket Type1,746
FDE36,5.26,Regular,0.041764487,Baking Goods,162,OUT035,9,Small,Tier 2,Supermarket Type1,3276
FDN57,18.25,LF,0.054344186,Snack Foods,140,OUT045,11,Small,Tier 2,Supermarket Type1,1702
FDI24,12.6,LF,0.078362484,Baking Goods,178,OUT027,28,Medium,Tier 3,Supermarket Type3,6705
FDI19,15.1,LF,0.052339069,Meat,243,OUT046,16,Small,Tier 1,Supermarket Type1,4120
FDF24,15.5,Regular,0.042464962,Baking Goods,82,OUT010,15,Small,Tier 3,Grocery Store,328
FDG52,13.65,LF,0.065732883,Frozen Foods,46,OUT049,14,Medium,Tier 1,Supermarket Type1,781
DRF36,16.1,LF,0.023625114,Soft Drinks,189,OUT045,11,Small,Tier 2,Supermarket Type1,3631
FDS45,12.6,Regular,0.051643608,Snack Foods,107,OUT019,28,Small,Tier 1,Grocery Store,318
FDX40,12.85,LF,0.165694219,Frozen Foods,40,OUT010,15,Small,Tier 3,Grocery Store,232
DRK12,9.5,LF,0.041878397,Soft Drinks,33,OUT035,9,Small,Tier 2,Supermarket Type1,133
DRC27,13.8,LF,0.058091482,Dairy,245,OUT035,9,Small,Tier 2,Supermarket Type1,5651
FDL58,5.78,Regular,0,Snack Foods,264,OUT017,6,Small,Tier 2,Supermarket Type1,2637
NCD30,19.7,LF,0.026903714,Household,96,OUT045,11,Small,Tier 2,Supermarket Type1,1272
NCZ54,14.65,LF,0,Household,162,OUT010,15,Small,Tier 3,Grocery Store,325
FDE10,6.67,Regular,0.150554711,Snack Foods,130,OUT010,15,Small,Tier 3,Grocery Store,131
FDR44,6.11,Regular,0,Fruits and Vegetables,131,OUT010,15,Small,Tier 3,Grocery Store,261
FDP28,13.65,Regular,0.134975628,Frozen Foods,260,OUT010,15,Small,Tier 3,Grocery Store,261
FDX15,17.2,LF,0.15616879,Meat,161,OUT013,26,High,Tier 3,Supermarket Type1,3691
FDA39,6.32,LF,0,Meat,40,OUT035,9,Small,Tier 2,Supermarket Type1,1139
FDY24,4.88,Regular,0.133700752,Baking Goods,53,OUT049,14,Medium,Tier 1,Supermarket Type1,1995
FDC60,5.43,Regular,0.115119905,Baking Goods,88,OUT017,6,Small,Tier 2,Supermarket Type1,1417
FDH28,15.85,Regular,0.110030997,Frozen Foods,37,OUT046,16,Small,Tier 1,Supermarket Type1,266
FDT25,7.5,LF,0.051038045,Canned,122,OUT017,6,Small,Tier 2,Supermarket Type1,3553
DRJ13,12.65,LF,0.062837968,Soft Drinks,162,OUT013,26,High,Tier 3,Supermarket Type1,2407
NCO07,12.6,LF,0.017116983,Others,212,OUT019,28,Small,Tier 1,Grocery Store,213
FDW20,20.75,LF,0.024129332,Fruits and Vegetables,124,OUT013,26,High,Tier 3,Supermarket Type1,2956
DRF27,12.6,LF,0.049754975,Dairy,152,OUT019,28,Small,Tier 1,Grocery Store,153
FDS49,9,LF,0,Canned,80,OUT035,9,Small,Tier 2,Supermarket Type1,1650
FDX25,12.6,LF,0.101561568,Canned,182,OUT027,28,Medium,Tier 3,Supermarket Type3,3101
NCX42,12.6,LF,0.005949644,Household,166,OUT027,28,Medium,Tier 3,Supermarket Type3,4769
FDG33,12.6,Regular,0.13956116,Seafood,170,OUT027,28,Medium,Tier 3,Supermarket Type3,3436
FDL56,14.1,LF,0.126035694,Fruits and Vegetables,86,OUT045,11,Small,Tier 2,Supermarket Type1,1134
FDF14,7.55,LF,0.027164679,Canned,152,OUT035,9,Small,Tier 2,Supermarket Type1,2603
NCD06,13,LF,0.099325278,Household,45,OUT046,16,Small,Tier 1,Supermarket Type1,606
DRM47,12.6,LF,0.04357366,Hard Drinks,193,OUT027,28,Medium,Tier 3,Supermarket Type3,2293
FDS46,12.6,Regular,0.082741482,Snack Foods,119,OUT019,28,Small,Tier 1,Grocery Store,119
FDB35,12.3,Regular,0.064565202,Starchy Foods,93,OUT013,26,High,Tier 3,Supermarket Type1,1929
FDX21,12.6,LF,0.084554569,Snack Foods,110,OUT027,28,Medium,Tier 3,Supermarket Type3,2075
NCU05,12.6,LF,0.058451805,Health and Hygiene,80,OUT027,28,Medium,Tier 3,Supermarket Type3,242
NCR38,17.25,LF,0.113748685,Household,251,OUT045,11,Small,Tier 2,Supermarket Type1,6795
NCR18,15.85,LF,0.020603511,Household,43,OUT017,6,Small,Tier 2,Supermarket Type1,639
NCU41,18.85,LF,0.052044976,Health and Hygiene,192,OUT035,9,Small,Tier 2,Supermarket Type1,3248
FDY56,16.35,Regular,0.062764429,Fruits and Vegetables,228,OUT017,6,Small,Tier 2,Supermarket Type1,7223
DRJ51,14.1,LF,0.087977262,Dairy,229,OUT035,9,Small,Tier 2,Supermarket Type1,3225
FDK21,7.91,LF,0.010010425,Snack Foods,249,OUT035,9,Small,Tier 2,Supermarket Type1,3755
FDY25,12,LF,0.033946163,Canned,179,OUT013,26,High,Tier 3,Supermarket Type1,3441
FDU44,12.15,Regular,0.058414678,Fruits and Vegetables,163,OUT035,9,Small,Tier 2,Supermarket Type1,975
FDL43,10.1,LF,0.027106459,Meat,75,OUT049,14,Medium,Tier 1,Supermarket Type1,536
FDF05,17.5,LF,0.027022883,Frozen Foods,262,OUT017,6,Small,Tier 2,Supermarket Type1,5260
DRF15,12.6,LF,0.058153409,Dairy,152,OUT019,28,Small,Tier 1,Grocery Store,306
FDL20,17.1,LF,0.128937661,Fruits and Vegetables,112,OUT018,4,Medium,Tier 3,Supermarket Type2,1779
FDV32,7.79,LF,0.088846306,Fruits and Vegetables,61,OUT049,14,Medium,Tier 1,Supermarket Type1,759
FDJ34,11.8,Regular,0.09357779,Snack Foods,126,OUT013,26,High,Tier 3,Supermarket Type1,1878
