"Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","MRP","Outlet_Identifier","Establishment_Age","Outlet_Size","Outlet_Location_Type","Outlet_Type","Sales"
11.35,"Regular",0.06321435,"Dairy",88,"OUT035",9,"Small","Tier 2","Supermarket Type1",1318
9.8,"LF",0.151420934,"Others",194,"OUT010",15,"Small","Tier 3","Grocery Store",387
17.35,"Regular",0.02758789,"Canned",86,"OUT013",26,"High","Tier 3","Supermarket Type1",703
12.6,"LF",0.220225608,"Fruits and Vegetables",86,"OUT019",28,"Small","Tier 1","Grocery Store",87
19.2,"Regular",0,"Starchy Foods",224,"OUT045",11,"Small","Tier 2","Supermarket Type1",5643
16.35,"LF",0.029445361,"Household",258,"OUT046",16,"Small","Tier 1","Supermarket Type1",2061
12.6,"Regular",0.086905536,"Fruits and Vegetables",79,"OUT019",28,"Small","Tier 1","Grocery Store",314
18.7,"LF",0.089197963,"Snack Foods",257,"OUT013",26,"High","Tier 3","Supermarket Type1",2045
10.9,"LF",0.136784873,"Dairy",265,"OUT035",9,"Small","Tier 2","Supermarket Type1",4219
18.35,"LF",0.099026525,"Fruits and Vegetables",94,"OUT013",26,"High","Tier 3","Supermarket Type1",1296
15.15,"Regular",0.066121873,"Frozen Foods",146,"OUT013",26,"High","Tier 3","Supermarket Type1",3662
12.6,"LF",0.032516546,"Canned",189,"OUT019",28,"Small","Tier 1","Grocery Store",754
15.7,"Regular",0.027673055,"Canned",169,"OUT045",11,"Small","Tier 2","Supermarket Type1",3735
19.2,"LF",0.100074524,"Frozen Foods",110,"OUT046",16,"Small","Tier 1","Supermarket Type1",778
18,"LF",0.038978526,"Snack Foods",149,"OUT013",26,"High","Tier 3","Supermarket Type1",2796
15.25,"LF",0.026663778,"Snack Foods",87,"OUT045",11,"Small","Tier 2","Supermarket Type1",2442
12.6,"Regular",0.007006883,"Starchy Foods",174,"OUT027",28,"Medium","Tier 3","Supermarket Type3",1216
6.24,"LF",0.118858866,"Household",263,"OUT049",14,"Medium","Tier 1","Supermarket Type1",3419
13.15,"LF",0.043852434,"Snack Foods",183,"OUT045",11,"Small","Tier 2","Supermarket Type1",4211
13.85,"Regular",0.094265737,"Breakfast",234,"OUT010",15,"Small","Tier 3","Grocery Store",233
17.6,"LF",0.015750947,"Household",183,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1630
5.44,"Regular",0.017047751,"Baking Goods",175,"OUT013",26,"High","Tier 3","Supermarket Type1",2999
10.4,"LF",0.031199028,"Seafood",159,"OUT013",26,"High","Tier 3","Supermarket Type1",317
14.5,"Regular",0.128235818,"Baking Goods",104,"OUT035",9,"Small","Tier 2","Supermarket Type1",205
20.75,"LF",0.089260667,"Breakfast",193,"OUT046",16,"Small","Tier 1","Supermarket Type1",4844
18.5,"LF",0.034082974,"Others",131,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1977
10.3,"Regular",0.050070476,"Canned",78,"OUT046",16,"Small","Tier 1","Supermarket Type1",1278
12.3,"LF",0.052492122,"Household",191,"OUT035",9,"Small","Tier 2","Supermarket Type1",3416
6.9,"LF",0.022587621,"Meat",144,"OUT017",6,"Small","Tier 2","Supermarket Type1",1995
9.5,"Regular",0.035350045,"Fruits and Vegetables",170,"OUT017",6,"Small","Tier 2","Supermarket Type1",3579
6.36,"LF",0.120731024,"Fruits and Vegetables",47,"OUT049",14,"Medium","Tier 1","Supermarket Type1",652
12.6,"LF",0.096658404,"Fruits and Vegetables",217,"OUT019",28,"Small","Tier 1","Grocery Store",218
10.6,"LF",0.056884225,"Dairy",232,"OUT049",14,"Medium","Tier 1","Supermarket Type1",3021
6.83,"LF",0.059940022,"Health and Hygiene",262,"OUT049",14,"Medium","Tier 1","Supermarket Type1",3965
12.6,"Regular",0.029157849,"Frozen Foods",97,"OUT019",28,"Small","Tier 1","Grocery Store",294
19.85,"LF",0.045855273,"Fruits and Vegetables",127,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1771
20.75,"LF",0.007551665,"Snack Foods",107,"OUT035",9,"Small","Tier 2","Supermarket Type1",1694
18.7,"LF",0.037835765,"Fruits and Vegetables",111,"OUT017",6,"Small","Tier 2","Supermarket Type1",2335
15.5,"LF",0.032924463,"Baking Goods",107,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2144
19.7,"Regular",0.161356273,"Canned",253,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2805
10.9,"LF",0.021037197,"Health and Hygiene",256,"OUT018",4,"Medium","Tier 3","Supermarket Type2",4858
17.75,"LF",0.111301625,"Others",108,"OUT046",16,"Small","Tier 1","Supermarket Type1",1529
13.8,"LF",0.14215211,"Dairy",264,"OUT017",6,"Small","Tier 2","Supermarket Type1",2385
12.6,"LF",0,"Soft Drinks",41,"OUT019",28,"Small","Tier 1","Grocery Store",41
8.79,"LF",0,"Fruits and Vegetables",123,"OUT010",15,"Small","Tier 3","Grocery Store",122
12.6,"LF",0.051924192,"Snack Foods",121,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2940
12.35,"LF",0.164274416,"Household",120,"OUT045",11,"Small","Tier 2","Supermarket Type1",2133
10.3,"LF",0.027426689,"Fruits and Vegetables",97,"OUT018",4,"Medium","Tier 3","Supermarket Type2",694
17.6,"LF",0.104859135,"Snack Foods",162,"OUT035",9,"Small","Tier 2","Supermarket Type1",4095
8.18,"LF",0.02197698,"Household",141,"OUT010",15,"Small","Tier 3","Grocery Store",425
10.5,"LF",0.052637056,"Frozen Foods",89,"OUT049",14,"Medium","Tier 1","Supermarket Type1",809
10.5,"Regular",0,"Baking Goods",143,"OUT046",16,"Small","Tier 1","Supermarket Type1",1438
19.6,"Regular",0.041536962,"Frozen Foods",46,"OUT013",26,"High","Tier 3","Supermarket Type1",527
12.85,"LF",0.108633372,"Fruits and Vegetables",234,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2324
14.5,"Regular",0.058946687,"Fruits and Vegetables",169,"OUT045",11,"Small","Tier 2","Supermarket Type1",2898
7.81,"LF",0.067592098,"Soft Drinks",246,"OUT045",11,"Small","Tier 2","Supermarket Type1",7086
11.3,"LF",0.066681333,"Household",194,"OUT046",16,"Small","Tier 1","Supermarket Type1",387
12.85,"LF",0.108412059,"Fruits and Vegetables",233,"OUT045",11,"Small","Tier 2","Supermarket Type1",3950
6.71,"Regular",0.029680868,"Baking Goods",65,"OUT018",4,"Medium","Tier 3","Supermarket Type2",857
6.68,"LF",0.041913535,"Snack Foods",91,"OUT035",9,"Small","Tier 2","Supermarket Type1",1666
18.25,"LF",0.148673586,"Frozen Foods",197,"OUT010",15,"Small","Tier 3","Grocery Store",196
11.6,"Regular",0.144832027,"Dairy",240,"OUT017",6,"Small","Tier 2","Supermarket Type1",4063
6.43,"LF",0.093454899,"Fruits and Vegetables",175,"OUT046",16,"Small","Tier 1","Supermarket Type1",2988
19,"LF",0.017755213,"Health and Hygiene",212,"OUT045",11,"Small","Tier 2","Supermarket Type1",2752
12.6,"LF",0.026491715,"Household",247,"OUT027",28,"Medium","Tier 3","Supermarket Type3",6192
18.2,"Regular",0.012254429,"Fruits and Vegetables",60,"OUT018",4,"Medium","Tier 3","Supermarket Type2",644
19.1,"LF",0.045492697,"Dairy",40,"OUT018",4,"Medium","Tier 3","Supermarket Type2",528
12.6,"LF",0.121635591,"Fruits and Vegetables",175,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2954
8.85,"Regular",0.112840108,"Soft Drinks",122,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1238
12.6,"LF",0.035406842,"Snack Foods",244,"OUT027",28,"Medium","Tier 3","Supermarket Type3",8263
14.8,"LF",0.04487828,"Soft Drinks",75,"OUT046",16,"Small","Tier 1","Supermarket Type1",766
19.85,"LF",0.054025644,"Seafood",197,"OUT046",16,"Small","Tier 1","Supermarket Type1",6504
12.6,"Regular",0.087421738,"Frozen Foods",154,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2973
7.22,"Regular",0.0383808,"Baking Goods",62,"OUT049",14,"Medium","Tier 1","Supermarket Type1",886
13.65,"Regular",0.031418984,"Canned",99,"OUT013",26,"High","Tier 3","Supermarket Type1",2597
18.5,"LF",0.052025392,"Snack Foods",118,"OUT013",26,"High","Tier 3","Supermarket Type1",2370
12.6,"LF",0,"Snack Foods",46,"OUT027",28,"Medium","Tier 3","Supermarket Type3",615
11.35,"Regular",0.045165796,"Snack Foods",100,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1012
12.1,"LF",0.020684919,"Snack Foods",149,"OUT017",6,"Small","Tier 2","Supermarket Type1",1336
21.1,"LF",0.029173031,"Household",146,"OUT017",6,"Small","Tier 2","Supermarket Type1",1445
19.7,"LF",0.041730507,"Frozen Foods",109,"OUT035",9,"Small","Tier 2","Supermarket Type1",2402
9.3,"LF",0.089144149,"Canned",145,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1011
13,"LF",0.099242622,"Household",46,"OUT013",26,"High","Tier 3","Supermarket Type1",699
7.22,"Regular",0.064141866,"Baking Goods",61,"OUT010",15,"Small","Tier 3","Grocery Store",127
18.6,"LF",0.039294854,"Frozen Foods",247,"OUT046",16,"Small","Tier 1","Supermarket Type1",2702
20.5,"Regular",0.112584813,"Fruits and Vegetables",192,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1550
12.6,"LF",0.132275338,"Baking Goods",124,"OUT019",28,"Small","Tier 1","Grocery Store",124
20.6,"Regular",0.047896393,"Fruits and Vegetables",186,"OUT013",26,"High","Tier 3","Supermarket Type1",1690
9.11,"LF",0.064410783,"Household",33,"OUT010",15,"Small","Tier 3","Grocery Store",33
12.6,"LF",0.072486326,"Canned",79,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2259
9,"LF",0.032072321,"Household",102,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1417
6.13,"LF",0.102171627,"Fruits and Vegetables",54,"OUT035",9,"Small","Tier 2","Supermarket Type1",1025
5.93,"Regular",0.097012989,"Dairy",43,"OUT017",6,"Small","Tier 2","Supermarket Type1",758
12.6,"LF",0.092933158,"Fruits and Vegetables",91,"OUT027",28,"Medium","Tier 3","Supermarket Type3",3466
12.6,"LF",0.068765925,"Breads",217,"OUT027",28,"Medium","Tier 3","Supermarket Type3",4354
16.35,"LF",0.020664178,"Fruits and Vegetables",51,"OUT017",6,"Small","Tier 2","Supermarket Type1",1298
12,"Regular",0.020407296,"Meat",100,"OUT035",9,"Small","Tier 2","Supermarket Type1",595
13.5,"LF",0.094603404,"Soft Drinks",187,"OUT018",4,"Medium","Tier 3","Supermarket Type2",3214
15.35,"LF",0.014047825,"Frozen Foods",37,"OUT045",11,"Small","Tier 2","Supermarket Type1",586
12.6,"LF",0.126924095,"Frozen Foods",87,"OUT027",28,"Medium","Tier 3","Supermarket Type3",3494
12.6,"Regular",0.182128363,"Baking Goods",166,"OUT019",28,"Small","Tier 1","Grocery Store",666
12.6,"Regular",0.299097859,"Dairy",158,"OUT019",28,"Small","Tier 1","Grocery Store",469
18.2,"Regular",0.066284519,"Fruits and Vegetables",247,"OUT035",9,"Small","Tier 2","Supermarket Type1",3486
15.2,"LF",0,"Health and Hygiene",48,"OUT049",14,"Medium","Tier 1","Supermarket Type1",437
12.6,"LF",0.09147267,"Others",185,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2756
8.38,"Regular",0.046960237,"Baking Goods",112,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2966
6.2,"LF",0.072131519,"Snack Foods",120,"OUT045",11,"Small","Tier 2","Supermarket Type1",2892
12.6,"Regular",0.224607399,"Baking Goods",223,"OUT019",28,"Small","Tier 1","Grocery Store",450
16.25,"LF",0.039207025,"Household",116,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2634
18.7,"LF",0.014622625,"Soft Drinks",52,"OUT045",11,"Small","Tier 2","Supermarket Type1",1091
14,"LF",0,"Fruits and Vegetables",217,"OUT017",6,"Small","Tier 2","Supermarket Type1",6472
20.35,"Regular",0.014813268,"Fruits and Vegetables",235,"OUT013",26,"High","Tier 3","Supermarket Type1",5842
16.1,"Regular",0.047996608,"Frozen Foods",127,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1384
12.8,"Regular",0.023511371,"Meat",226,"OUT013",26,"High","Tier 3","Supermarket Type1",4951
11.8,"LF",0.058725131,"Health and Hygiene",82,"OUT035",9,"Small","Tier 2","Supermarket Type1",1208
12,"LF",0.104230135,"Health and Hygiene",260,"OUT046",16,"Small","Tier 1","Supermarket Type1",2603
18.7,"LF",0.057654132,"Dairy",83,"OUT045",11,"Small","Tier 2","Supermarket Type1",1607
13.65,"Regular",0.08062523,"Frozen Foods",260,"OUT035",9,"Small","Tier 2","Supermarket Type1",2088
16.5,"LF",0.073813788,"Canned",207,"OUT035",9,"Small","Tier 2","Supermarket Type1",5384
5.73,"LF",0.05190652,"Soft Drinks",188,"OUT045",11,"Small","Tier 2","Supermarket Type1",1497
16.85,"LF",0.139301634,"Snack Foods",145,"OUT013",26,"High","Tier 3","Supermarket Type1",2783
11.3,"LF",0.007273831,"Meat",197,"OUT013",26,"High","Tier 3","Supermarket Type1",5141
8.52,"LF",0.027169589,"Soft Drinks",151,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1830
16.25,"LF",0.087158654,"Dairy",95,"OUT035",9,"Small","Tier 2","Supermarket Type1",2220
12.6,"LF",0.0704378,"Soft Drinks",113,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2943
5.73,"LF",0.045463871,"Soft Drinks",85,"OUT045",11,"Small","Tier 2","Supermarket Type1",2061
8.77,"Regular",0.047036036,"Fruits and Vegetables",171,"OUT017",6,"Small","Tier 2","Supermarket Type1",2759
14.5,"Regular",0.063863551,"Breads",262,"OUT046",16,"Small","Tier 1","Supermarket Type1",4448
13,"Regular",0.030211742,"Canned",59,"OUT018",4,"Medium","Tier 3","Supermarket Type2",539
8.26,"Regular",0,"Soft Drinks",123,"OUT045",11,"Small","Tier 2","Supermarket Type1",739
12.6,"LF",0.134418705,"Household",100,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2597
12.6,"Regular",0.063554289,"Breads",264,"OUT027",28,"Medium","Tier 3","Supermarket Type3",3402
7.52,"LF",0.055127499,"Fruits and Vegetables",128,"OUT046",16,"Small","Tier 1","Supermarket Type1",3983
20.6,"LF",0.045380404,"Health and Hygiene",148,"OUT013",26,"High","Tier 3","Supermarket Type1",1790
7.59,"Regular",0.14492016,"Fruits and Vegetables",175,"OUT013",26,"High","Tier 3","Supermarket Type1",2943
12.6,"LF",0.120986139,"Breads",216,"OUT019",28,"Small","Tier 1","Grocery Store",435
5.77,"LF",0.0821398,"Baking Goods",37,"OUT049",14,"Medium","Tier 1","Supermarket Type1",579
12.6,"LF",0.19244045,"Dairy",44,"OUT019",28,"Small","Tier 1","Grocery Store",132
15,"Regular",0.16143544,"Canned",185,"OUT046",16,"Small","Tier 1","Supermarket Type1",2766
17.6,"LF",0.00799436,"Dairy",172,"OUT013",26,"High","Tier 3","Supermarket Type1",3794
7.94,"LF",0,"Household",264,"OUT046",16,"Small","Tier 1","Supermarket Type1",789
20.85,"LF",0.039555016,"Meat",117,"OUT035",9,"Small","Tier 2","Supermarket Type1",820
4.56,"Regular",0.034410585,"Frozen Foods",111,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1342
20.7,"LF",0.039238384,"Household",153,"OUT035",9,"Small","Tier 2","Supermarket Type1",2569
9,"LF",0.032203667,"Household",101,"OUT017",6,"Small","Tier 2","Supermarket Type1",1113
14.3,"LF",0.130390458,"Baking Goods",77,"OUT035",9,"Small","Tier 2","Supermarket Type1",232
16.6,"LF",0.026537206,"Frozen Foods",57,"OUT046",16,"Small","Tier 1","Supermarket Type1",1050
16,"Regular",0.029377239,"Meat",46,"OUT010",15,"Small","Tier 3","Grocery Store",95
14,"Regular",0.031444357,"Canned",54,"OUT017",6,"Small","Tier 2","Supermarket Type1",799
11.65,"LF",0.019356132,"Hard Drinks",39,"OUT013",26,"High","Tier 3","Supermarket Type1",309
