Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,log_MRP,Outlet_Identifier,Establishment_Age,Outlet_Size,Outlet_Location_Type,Outlet_Type,log_sales
FDY45,12.6,LF,0.026015519,Snack Foods,2.407960977,OUT027,28,Medium,Tier 3,Supermarket Type3,3.405407154
FDC46,17.7,LF,0.195068226,Snack Foods,2.268172035,OUT010,15,Small,Tier 3,Grocery Store,2.26582356
FDH19,19.35,LF,0.033082215,Meat,2.236974862,OUT035,9,Small,Tier 2,Supermarket Type1,3.68714233
FDZ03,13.65,Regular,0.078946455,Dairy,2.269568979,OUT045,11,Small,Tier 2,Supermarket Type1,3.048653073
DRH37,17.6,LF,0.041700756,Soft Drinks,2.217095801,OUT045,11,Small,Tier 2,Supermarket Type1,3.36216878
NCI17,8.65,LF,0.143422643,Health and Hygiene,1.981551336,OUT046,16,Small,Tier 1,Supermarket Type1,3.306931088
FDJ58,15.6,Regular,0.105296072,Snack Foods,2.230899332,OUT046,16,Small,Tier 1,Supermarket Type1,3.535993492
FDL12,15.85,Regular,0.121531501,Baking Goods,1.77248307,OUT013,26,High,Tier 3,Supermarket Type1,2.7775863
FDH35,18.25,LF,0,Starchy Foods,2.216832277,OUT045,11,Small,Tier 2,Supermarket Type1,3.663198775
FDG02,7.86,LF,0.011324862,Canned,2.277881394,OUT017,6,Small,Tier 2,Supermarket Type1,3.35889107
NCZ18,7.83,LF,0.186357148,Household,2.405465549,OUT049,14,Medium,Tier 1,Supermarket Type1,3.746691447
FDC29,8.39,Regular,0.024205661,Frozen Foods,2.056971895,OUT046,16,Small,Tier 1,Supermarket Type1,3.359902233
FDQ10,12.85,LF,0.033230816,Snack Foods,2.236391633,OUT049,14,Medium,Tier 1,Supermarket Type1,3.081741595
FDN48,12.6,LF,0.113720344,Baking Goods,1.954147919,OUT019,28,Small,Tier 1,Grocery Store,2.808320917
FDL04,19,LF,0.112556507,Frozen Foods,2.021032925,OUT017,6,Small,Tier 2,Supermarket Type1,3.200832174
FDV25,5.91,LF,0,Canned,2.347419012,OUT045,11,Small,Tier 2,Supermarket Type1,3.724693116
FDD58,7.76,LF,0.059352241,Snack Foods,2.008046306,OUT046,16,Small,Tier 1,Supermarket Type1,3.229883971
FDN04,11.8,Regular,0.014087057,Frozen Foods,2.256078579,OUT046,16,Small,Tier 1,Supermarket Type1,3.154568572
FDV45,16.75,LF,0.045230944,Snack Foods,2.27405527,OUT018,4,Medium,Tier 3,Supermarket Type2,3.671532908
NCL18,12.6,LF,0.293417759,Household,2.289173186,OUT019,28,Small,Tier 1,Grocery Store,2.765847897
FDR12,12.6,Regular,0.031382044,Baking Goods,2.233951016,OUT027,28,Medium,Tier 3,Supermarket Type3,3.490236002
FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,2.247980137,OUT017,6,Small,Tier 2,Supermarket Type1,3.394353463
FDZ55,6.06,LF,0.025403898,Fruits and Vegetables,2.206804296,OUT035,9,Small,Tier 2,Supermarket Type1,3.434003954
FDQ49,12.6,Regular,0.039057677,Breakfast,2.19302158,OUT027,28,Medium,Tier 3,Supermarket Type3,3.516630948
FDN33,6.31,Regular,0.123115764,Snack Foods,1.980655914,OUT046,16,Small,Tier 1,Supermarket Type1,2.820730175
FDN27,20.85,LF,0.039624006,Meat,2.06922692,OUT049,14,Medium,Tier 1,Supermarket Type1,3.182799811
FDW20,20.75,LF,0.040421193,Fruits and Vegetables,2.086975238,OUT010,15,Small,Tier 3,Grocery Store,2.567636774
DRG27,8.9,LF,0.105274111,Dairy,1.601123077,OUT049,14,Medium,Tier 1,Supermarket Type1,2.839122547
DRI25,19.6,LF,0.033970195,Soft Drinks,1.74163528,OUT045,11,Small,Tier 2,Supermarket Type1,3.140361892
FDA44,19.7,LF,0.053212652,Fruits and Vegetables,1.762626055,OUT035,9,Small,Tier 2,Supermarket Type1,2.794155402
NCR17,9.8,LF,0.024378706,Health and Hygiene,2.05899206,OUT035,9,Small,Tier 2,Supermarket Type1,3.105285724
FDU04,12.6,LF,0.009714595,Frozen Foods,2.079331052,OUT019,28,Small,Tier 1,Grocery Store,2.687854872
FDF41,12.15,LF,0.131383762,Frozen Foods,2.391016309,OUT049,14,Medium,Tier 1,Supermarket Type1,3.090515519
FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,2.272898419,OUT035,9,Small,Tier 2,Supermarket Type1,3.574622895
NCP18,12.6,LF,0.028459761,Household,2.176006708,OUT027,28,Medium,Tier 3,Supermarket Type3,3.639850228
FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,2.273824146,OUT046,16,Small,Tier 1,Supermarket Type1,3.118690939
FDT28,13.3,LF,0.063695084,Frozen Foods,2.179180529,OUT045,11,Small,Tier 2,Supermarket Type1,3.256633476
FDD10,12.6,Regular,0.045797829,Snack Foods,2.251721908,OUT027,28,Medium,Tier 3,Supermarket Type3,3.455598568
FDW57,8.31,Regular,0.115857223,Snack Foods,2.253102375,OUT049,14,Medium,Tier 1,Supermarket Type1,3.590648108
DRB48,16.75,Regular,0.024832806,Soft Drinks,1.588632442,OUT013,26,High,Tier 3,Supermarket Type1,2.824644724
FDP09,19.75,LF,0.034027909,Snack Foods,2.326520602,OUT018,4,Medium,Tier 3,Supermarket Type2,3.503225733
FDH14,17.1,Regular,0.0467696,Canned,2.149784867,OUT013,26,High,Tier 3,Supermarket Type1,3.351746229
FDA47,10.5,Regular,0.116576702,Baking Goods,2.212509875,OUT013,26,High,Tier 3,Supermarket Type1,3.25390256
FDG12,6.64,Regular,0,Baking Goods,2.083895887,OUT045,11,Small,Tier 2,Supermarket Type1,3.40324166
DRE60,12.6,LF,0.278974075,Soft Drinks,2.352899959,OUT019,28,Small,Tier 1,Grocery Store,2.831943963
DRK49,14.15,LF,0.035913805,Soft Drinks,1.617145082,OUT013,26,High,Tier 3,Supermarket Type1,2.909703621
FDD03,13.3,LF,0.079806266,Dairy,2.366478992,OUT046,16,Small,Tier 1,Supermarket Type1,2.84453309
FDS52,8.89,LF,0.005505481,Frozen Foods,2.010306742,OUT017,6,Small,Tier 2,Supermarket Type1,3.436551143
FDW39,12.6,Regular,0.064625342,Meat,2.247818659,OUT019,28,Small,Tier 1,Grocery Store,2.246589665
FDX34,12.6,LF,0.071636937,Snack Foods,2.085325549,OUT027,28,Medium,Tier 3,Supermarket Type3,3.612501283
FDV11,9.1,Regular,0,Breads,2.238561428,OUT045,11,Small,Tier 2,Supermarket Type1,3.498572044
FDD17,7.5,LF,0.032677678,Frozen Foods,2.378562502,OUT049,14,Medium,Tier 1,Supermarket Type1,3.773952016
FDZ16,16.85,Regular,0.160760054,Frozen Foods,2.284312951,OUT017,6,Small,Tier 2,Supermarket Type1,3.685176788
FDZ46,7.49,LF,0.06911065,Snack Foods,2.037517332,OUT035,9,Small,Tier 2,Supermarket Type1,3.405179715
DRA12,11.6,LF,0.041177505,Soft Drinks,2.147105339,OUT017,6,Small,Tier 2,Supermarket Type1,3.406995899
FDY58,11.65,LF,0.040081193,Snack Foods,2.356158612,OUT018,4,Medium,Tier 3,Supermarket Type2,3.057607915
NCF19,13,LF,0.035307322,Household,1.676724695,OUT017,6,Small,Tier 2,Supermarket Type1,2.832794687
DRJ13,12.65,LF,0.063017847,Soft Drinks,2.201554971,OUT045,11,Small,Tier 2,Supermarket Type1,3.319304186
FDB14,20.25,Regular,0.171938781,Canned,1.96619807,OUT010,15,Small,Tier 3,Grocery Store,2.270501822
FDJ38,8.6,Regular,0.040197932,Canned,2.279103182,OUT035,9,Small,Tier 2,Supermarket Type1,3.482308633
FDW11,12.6,LF,0.049058014,Breads,1.797401895,OUT017,6,Small,Tier 2,Supermarket Type1,2.937954775
FDL40,17.7,LF,0.01161096,Frozen Foods,1.977910997,OUT035,9,Small,Tier 2,Supermarket Type1,2.938954302
DRI49,14.15,LF,0.183507295,Soft Drinks,1.916072655,OUT046,16,Small,Tier 1,Supermarket Type1,3.055831657
FDV38,19.25,LF,0.102349519,Dairy,1.72259773,OUT017,6,Small,Tier 2,Supermarket Type1,2.967606565
DRG23,8.88,LF,0.086708987,Hard Drinks,2.181180783,OUT013,26,High,Tier 3,Supermarket Type1,2.882149277
NCP30,20.5,LF,0.032835147,Household,1.605113181,OUT045,11,Small,Tier 2,Supermarket Type1,2.849468308
FDY25,12.6,LF,0.033809913,Canned,2.256711975,OUT027,28,Medium,Tier 3,Supermarket Type3,3.901365371
NCH54,13.5,LF,0.07266912,Household,2.204911848,OUT046,16,Small,Tier 1,Supermarket Type1,3.157797542
NCR53,12.6,LF,0.144338493,Health and Hygiene,2.351101034,OUT027,28,Medium,Tier 3,Supermarket Type3,3.843622185
FDS52,8.89,LF,0.009163216,Frozen Foods,2.007327785,OUT010,15,Small,Tier 3,Grocery Store,2.005187379
FDG02,7.86,LF,0.011307038,Canned,2.275354667,OUT018,4,Medium,Tier 3,Supermarket Type2,2.978679828
NCO26,7.24,LF,0.076855628,Household,2.064642151,OUT046,16,Small,Tier 1,Supermarket Type1,3.29434196
FDH35,12.6,LF,0.059956876,Starchy Foods,2.218673596,OUT027,28,Medium,Tier 3,Supermarket Type3,3.721190722
FDB51,6.92,LF,0.038532062,Dairy,1.782366546,OUT045,11,Small,Tier 2,Supermarket Type1,3.118690939
FDX44,9.3,LF,0.043209581,Fruits and Vegetables,1.958168108,OUT017,6,Small,Tier 2,Supermarket Type1,2.72859984
NCN07,18.5,LF,0.056816465,Others,2.120996176,OUT010,15,Small,Tier 3,Grocery Store,2.421038977
NCC31,8.02,LF,0.019866705,Household,2.189201624,OUT035,9,Small,Tier 2,Supermarket Type1,3.146802158
NCX54,9.2,LF,0.048331717,Household,2.021859663,OUT017,6,Small,Tier 2,Supermarket Type1,3.228860898
NCO55,12.8,LF,0.091221855,Others,2.023638419,OUT045,11,Small,Tier 2,Supermarket Type1,3.331199663
NCC30,16.6,LF,0.027622076,Household,2.249527073,OUT049,14,Medium,Tier 1,Supermarket Type1,3.427569844
FDI16,14,Regular,0,Frozen Foods,1.724799984,OUT035,9,Small,Tier 2,Supermarket Type1,2.956882699
FDP16,18.6,LF,0.039355947,Frozen Foods,2.391605803,OUT049,14,Medium,Tier 1,Supermarket Type1,3.867491412
FDB11,16,LF,0.060836524,Starchy Foods,2.355720404,OUT035,9,Small,Tier 2,Supermarket Type1,3.799418522
NCB06,17.6,LF,0.082316506,Health and Hygiene,2.205994256,OUT035,9,Small,Tier 2,Supermarket Type1,3.203555033
FDA45,21.25,LF,0.155350299,Snack Foods,2.250997864,OUT035,9,Small,Tier 2,Supermarket Type1,2.723710919
NCO26,7.24,LF,0.076841095,Household,2.070219678,OUT035,9,Small,Tier 2,Supermarket Type1,3.29434196
DRJ25,14.6,LF,0.151419185,Soft Drinks,1.702165053,OUT017,6,Small,Tier 2,Supermarket Type1,3.014794805
FDR28,13.85,Regular,0.026001976,Frozen Foods,2.208228995,OUT018,4,Medium,Tier 3,Supermarket Type2,3.25390256
FDI04,13.65,Regular,0.073209447,Frozen Foods,2.295880558,OUT018,4,Medium,Tier 3,Supermarket Type2,3.442228276
DRK12,12.6,LF,0.041683481,Soft Drinks,1.495405563,OUT027,28,Medium,Tier 3,Supermarket Type3,2.953677559
FDX20,7.37,LF,0.042560252,Fruits and Vegetables,2.354438838,OUT046,16,Small,Tier 1,Supermarket Type1,3.500950744
NCI18,18.35,LF,0.014081156,Household,2.349422462,OUT018,4,Medium,Tier 3,Supermarket Type2,3.555093674
FDB36,5.47,Regular,0,Baking Goods,2.122421013,OUT018,4,Medium,Tier 3,Supermarket Type2,2.418840013
FDN13,18.6,LF,0.152918384,Breakfast,1.999286302,OUT017,6,Small,Tier 2,Supermarket Type1,3.281074339
DRD24,13.85,LF,0.030969274,Soft Drinks,2.148958458,OUT017,6,Small,Tier 2,Supermarket Type1,3.23090464
FDQ28,14,Regular,0.060376776,Frozen Foods,2.189112844,OUT013,26,High,Tier 3,Supermarket Type1,3.392951758
FDM22,14,Regular,0.04192285,Snack Foods,1.738495162,OUT013,26,High,Tier 3,Supermarket Type1,3.124373786
FDR07,12.6,LF,0.077367431,Fruits and Vegetables,1.986813818,OUT027,28,Medium,Tier 3,Supermarket Type3,3.257433429
FDV25,5.91,LF,0.045838211,Canned,2.347419012,OUT018,4,Medium,Tier 3,Supermarket Type2,3.520573134
DRF49,7.27,LF,0.071077939,Soft Drinks,2.057863051,OUT046,16,Small,Tier 1,Supermarket Type1,3.418067737
FDW51,6.16,Regular,0.094659871,Meat,2.331540664,OUT046,16,Small,Tier 1,Supermarket Type1,3.442437121
DRL01,19.5,Regular,0.077608838,Soft Drinks,2.368279073,OUT017,6,Small,Tier 2,Supermarket Type1,3.730378743
FDP25,15.2,LF,0.021327477,Canned,2.33622431,OUT017,6,Small,Tier 2,Supermarket Type1,3.453160987
FDL50,12.15,Regular,0.042485444,Canned,2.096925995,OUT018,4,Medium,Tier 3,Supermarket Type2,3.241313433
NCB30,12.6,LF,0.025578526,Household,2.29843473,OUT027,28,Medium,Tier 3,Supermarket Type3,3.744718086
FDW11,12.6,LF,0.0489808,Breads,1.791826739,OUT018,4,Medium,Tier 3,Supermarket Type2,2.791826739
NCM43,14.5,LF,0.019471688,Others,2.217012545,OUT035,9,Small,Tier 2,Supermarket Type1,3.326453227
FDK44,16.6,LF,0.122918852,Fruits and Vegetables,2.238231329,OUT017,6,Small,Tier 2,Supermarket Type1,3.582406979
FDM15,11.8,Regular,0.057373797,Meat,2.18023085,OUT013,26,High,Tier 3,Supermarket Type1,3.133612157
FDS31,13.1,Regular,0.044155597,Fruits and Vegetables,2.252444748,OUT013,26,High,Tier 3,Supermarket Type1,3.598735763
FDI32,17.7,LF,0.291865402,Fruits and Vegetables,2.061389894,OUT010,15,Small,Tier 3,Grocery Store,2.538511149
FDR47,17.85,LF,0,Breads,2.293538005,OUT010,15,Small,Tier 3,Grocery Store,2.767332666
FDB35,12.3,Regular,0.064750025,Starchy Foods,1.966987899,OUT045,11,Small,Tier 2,Supermarket Type1,3.004615562
NCU05,11.8,LF,0.098312421,Health and Hygiene,1.910954002,OUT010,15,Small,Tier 3,Grocery Store,2.207159157
DRY23,12.6,Regular,0.191013663,Soft Drinks,1.624397617,OUT019,28,Small,Tier 1,Grocery Store,1.629523765
FDO24,11.1,LF,0.176573035,Baking Goods,2.19717135,OUT045,11,Small,Tier 2,Supermarket Type1,3.478674349
FDQ28,12.6,Regular,0.060134441,Frozen Foods,2.184877598,OUT027,28,Medium,Tier 3,Supermarket Type3,3.779896383
FDV39,11.3,LF,0.007294652,Meat,2.296977857,OUT045,11,Small,Tier 2,Supermarket Type1,2.995070244
NCO17,12.6,LF,0.128478462,Health and Hygiene,2.071675853,OUT019,28,Small,Tier 1,Grocery Store,2.379646292
FDU50,5.75,Regular,0.075107656,Dairy,2.052376857,OUT013,26,High,Tier 3,Supermarket Type1,3.138053484
FDT12,12.6,Regular,0.049381406,Baking Goods,2.355654922,OUT027,28,Medium,Tier 3,Supermarket Type3,3.675762784
FDK58,11.35,Regular,0.045165796,Snack Foods,2.000006949,OUT018,4,Medium,Tier 3,Supermarket Type2,3.005187379
FDO08,12.6,Regular,0.09415375,Fruits and Vegetables,2.219460349,OUT019,28,Small,Tier 1,Grocery Store,2.818100735
NCW29,14,LF,0.028907832,Health and Hygiene,2.115380824,OUT049,14,Medium,Tier 1,Supermarket Type1,2.891529653
FDE04,19.75,Regular,0.018059621,Frozen Foods,2.254707555,OUT045,11,Small,Tier 2,Supermarket Type1,3.368650907
NCB19,6.53,LF,0.090436094,Household,1.929869336,OUT049,14,Medium,Tier 1,Supermarket Type1,3.348906849
FDV15,10.3,LF,0.146399712,Meat,2.016886322,OUT049,14,Medium,Tier 1,Supermarket Type1,3.220588372
FDL58,5.78,Regular,0.074264356,Snack Foods,2.422847123,OUT049,14,Medium,Tier 1,Supermarket Type1,3.676311482
FDA08,11.85,Regular,0.050186726,Fruits and Vegetables,2.215247766,OUT045,11,Small,Tier 2,Supermarket Type1,3.494794345
FDT43,16.35,LF,0.020631654,Fruits and Vegetables,1.700118496,OUT018,4,Medium,Tier 3,Supermarket Type2,2.669680903
NCX06,12.6,LF,0.01561108,Household,2.261495065,OUT027,28,Medium,Tier 3,Supermarket Type3,3.705070726
FDT20,10.5,LF,0.041395445,Fruits and Vegetables,1.57537723,OUT046,16,Small,Tier 1,Supermarket Type1,2.73289982
FDB41,19,Regular,0.097313129,Frozen Foods,1.681890384,OUT046,16,Small,Tier 1,Supermarket Type1,2.996821434
NCN55,14.6,LF,0.059582996,Others,2.378132155,OUT049,14,Medium,Tier 1,Supermarket Type1,3.778791001
FDE40,12.6,Regular,0.098663652,Dairy,1.798784573,OUT027,28,Medium,Tier 3,Supermarket Type3,3.323305656
FDX49,12.6,Regular,0.101338651,Canned,2.366665721,OUT027,28,Medium,Tier 3,Supermarket Type3,3.729139671
NCM53,18.75,LF,0.052146456,Health and Hygiene,2.019647924,OUT045,11,Small,Tier 2,Supermarket Type1,2.872561813
FDE36,5.26,Regular,0.041764487,Baking Goods,2.209211438,OUT035,9,Small,Tier 2,Supermarket Type1,3.515308894
FDN57,18.25,LF,0.054344186,Snack Foods,2.146795715,OUT045,11,Small,Tier 2,Supermarket Type1,3.23090464
FDI24,12.6,LF,0.078362484,Baking Goods,2.250266264,OUT027,28,Medium,Tier 3,Supermarket Type3,3.826373261
FDI19,15.1,LF,0.052339069,Meat,2.385161385,OUT046,16,Small,Tier 1,Supermarket Type1,3.614894096
FDF24,15.5,Regular,0.042464962,Baking Goods,1.911655031,OUT010,15,Small,Tier 3,Grocery Store,2.515308894
FDG52,13.65,LF,0.065732883,Frozen Foods,1.660298059,OUT049,14,Medium,Tier 1,Supermarket Type1,2.892641803
DRF36,16.1,LF,0.023625114,Soft Drinks,2.277344661,OUT045,11,Small,Tier 2,Supermarket Type1,3.559979289
FDS45,12.6,Regular,0.051643608,Snack Foods,2.030851402,OUT019,28,Small,Tier 1,Grocery Store,2.50186217
FDX40,12.85,LF,0.165694219,Frozen Foods,1.598969876,OUT010,15,Small,Tier 3,Grocery Store,2.364923035
DRK12,9.5,LF,0.041878397,Soft Drinks,1.518382316,OUT035,9,Small,Tier 2,Supermarket Type1,2.124373786
DRC27,13.8,LF,0.058091482,Dairy,2.389485395,OUT035,9,Small,Tier 2,Supermarket Type1,3.752097993
FDL58,5.78,Regular,0,Snack Foods,2.421203665,OUT017,6,Small,Tier 2,Supermarket Type1,3.421038977
NCD30,19.7,LF,0.026903714,Household,1.982599544,OUT045,11,Small,Tier 2,Supermarket Type1,3.104604478
NCZ54,14.65,LF,0,Household,2.208320941,OUT010,15,Small,Tier 3,Grocery Store,2.511763613
FDE10,6.67,Regular,0.150554711,Snack Foods,2.114152431,OUT010,15,Small,Tier 3,Grocery Store,2.117810017
FDR44,6.11,Regular,0,Fruits and Vegetables,2.118254141,OUT010,15,Small,Tier 3,Grocery Store,2.416629858
FDP28,13.65,Regular,0.134975628,Frozen Foods,2.415129666,OUT010,15,Small,Tier 3,Grocery Store,2.416629858
FDX15,17.2,LF,0.15616879,Meat,2.205901816,OUT013,26,High,Tier 3,Supermarket Type1,3.567088669
FDA39,6.32,LF,0,Meat,1.605113181,OUT035,9,Small,Tier 2,Supermarket Type1,3.0565938
FDY24,4.88,Regular,0.133700752,Baking Goods,1.723700253,OUT049,14,Medium,Tier 1,Supermarket Type1,3.300030534
FDC60,5.43,Regular,0.115119905,Baking Goods,1.946213436,OUT017,6,Small,Tier 2,Supermarket Type1,3.151315414
FDH28,15.85,Regular,0.110030997,Frozen Foods,1.571133272,OUT046,16,Small,Tier 1,Supermarket Type1,2.424316687
FDT25,7.5,LF,0.051038045,Canned,2.085316271,OUT017,6,Small,Tier 2,Supermarket Type1,3.550559612
