Item_Identifier,Item_type_combined,Item_Weight,Item_Fat_Content,Item_Visibility_avg,Item_MRP,Outlet_Identifier,Years of Operation,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDA44,Food,19.7,Low Fat,0.806829553,57.893,OUT035,9,Small,Tier 2,Supermarket Type1,622.523
NCR17,Non-Consumable,9.8,Non-Edible,0.369638793,114.5492,OUT035,9,Small,Tier 2,Supermarket Type1,1274.3412
FDU04,Food,12.79,Low Fat,0.147296217,120.0414,OUT019,28,Small,Tier 1,Grocery Store,487.3656
FDF41,Food,12.15,Low Fat,1.992088309,246.046,OUT049,14,Medium,Tier 1,Supermarket Type1,1231.73
FDB56,Food,8.75,Regular,1.131310765,187.4556,OUT035,9,Small,Tier 2,Supermarket Type1,3755.112
NCP18,Non-Consumable,12.79,Non-Edible,0.431517231,149.9708,OUT027,28,Medium,Tier 3,Supermarket Type3,4363.6532
FDB56,Food,8.75,Regular,1.131524721,187.8556,OUT046,16,Small,Tier 1,Supermarket Type1,1314.2892
FDT28,Food,13.3,Low Fat,0.965767993,151.0708,OUT045,11,Medium,Tier 2,Supermarket Type1,1805.6496
FDD10,Food,12.79,Regular,0.694403314,178.5344,OUT027,28,Medium,Tier 3,Supermarket Type3,2854.9504
FDW57,Food,8.31,Regular,1.756669287,179.1028,OUT049,14,Medium,Tier 1,Supermarket Type1,3896.2616
DRB48,Drinks,16.75,Regular,0.376524022,38.7822,OUT013,26,High,Tier 3,Supermarket Type1,667.7974
FDP09,Food,19.75,Low Fat,0.515943513,212.0902,OUT018,4,Medium,Tier 3,Supermarket Type2,3185.853
FDH14,Food,17.1,Regular,0.709137659,141.1838,OUT013,26,High,Tier 3,Supermarket Type1,2247.7408
FDA47,Food,10.5,Regular,1.767578289,163.121,OUT013,26,High,Tier 3,Supermarket Type1,1794.331
FDG12,Food,6.635,Regular,1,121.3098,OUT045,11,Medium,Tier 2,Supermarket Type1,2530.7058
DRE60,Drinks,12.79,Low Fat,4.22990623,225.372,OUT019,28,Small,Tier 1,Grocery Store,679.116
DRK49,Drinks,14.15,Low Fat,0.544538153,41.4138,OUT013,26,High,Tier 3,Supermarket Type1,812.276
FDD03,Food,13.3,Low Fat,1.210051585,232.53,OUT046,16,Small,Tier 1,Supermarket Type1,699.09
FDS52,Food,8.89,Low Fat,0.083476102,102.4016,OUT017,6,Medium,Tier 2,Supermarket Type1,2732.4432
FDW39,Food,12.79,Regular,0.979872903,176.937,OUT019,28,Small,Tier 1,Grocery Store,176.437
FDX34,Food,12.79,Low Fat,1.086185253,121.7098,OUT027,28,Medium,Tier 3,Supermarket Type3,4097.3332
FDV11,Food,9.1,Regular,1,173.2054,OUT045,11,Medium,Tier 2,Supermarket Type1,3151.8972
FDD17,Food,7.5,Low Fat,0.49547082,239.0906,OUT049,14,Medium,Tier 1,Supermarket Type1,5942.265
FDZ16,Food,16.85,Regular,2.437502316,192.4478,OUT017,6,Medium,Tier 2,Supermarket Type1,4843.695
FDZ46,Food,7.485,Low Fat,1.047880772,109.0228,OUT035,9,Small,Tier 2,Supermarket Type1,2542.0244
DRA12,Drinks,11.6,Low Fat,0.624348284,140.3154,OUT017,6,Medium,Tier 2,Supermarket Type1,2552.6772
FDY58,Food,11.65,Low Fat,0.607725603,227.0694,OUT018,4,Medium,Tier 3,Supermarket Type2,1141.847
NCF19,Non-Consumable,13,Non-Edible,0.535342437,47.5034,OUT017,6,Medium,Tier 2,Supermarket Type1,680.4476
DRJ13,Drinks,12.65,Low Fat,0.95549948,159.0578,OUT045,11,Medium,Tier 2,Supermarket Type1,2085.9514
FDB14,Food,20.25,Regular,2.606998234,92.512,OUT010,15,Medium,Tier 3,Grocery Store,186.424
FDJ38,Food,8.6,Regular,0.609495642,190.153,OUT035,9,Small,Tier 2,Supermarket Type1,3036.048
FDW11,Food,12.6,Low Fat,0.743835423,62.7194,OUT017,6,Medium,Tier 2,Supermarket Type1,866.8716
FDL40,Food,17.7,Low Fat,0.176049592,95.041,OUT035,9,Small,Tier 2,Supermarket Type1,868.869
DRI49,Drinks,14.15,Low Fat,2.782404244,82.4276,OUT046,16,Small,Tier 1,Supermarket Type1,1137.1864
FDV38,Food,19.25,Low Fat,1.551860574,52.7956,OUT017,6,Medium,Tier 2,Supermarket Type1,928.1252
DRG23,Drinks,8.88,Low Fat,1.314713148,151.7682,OUT013,26,High,Tier 3,Supermarket Type1,762.341
NCP30,Non-Consumable,20.5,Non-Edible,0.497858422,40.2822,OUT045,11,Medium,Tier 2,Supermarket Type1,707.0796
FDY25,Food,12.79,Low Fat,0.512638178,180.5976,OUT027,28,Medium,Tier 3,Supermarket Type3,7968.2944
NCH54,Non-Consumable,13.5,Non-Edible,1.101835586,160.292,OUT046,16,Small,Tier 1,Supermarket Type1,1438.128
NCR53,Non-Consumable,12.79,Non-Edible,2.188512645,224.4404,OUT027,28,Medium,Tier 3,Supermarket Type3,6976.2524
FDS52,Food,8.89,Low Fat,0.138936008,101.7016,OUT010,15,Medium,Tier 3,Grocery Store,101.2016
FDG02,Food,7.855,Low Fat,0.171441416,188.5188,OUT018,4,Medium,Tier 3,Supermarket Type2,952.094
NCO26,Non-Consumable,7.235,Non-Edible,1.165312941,116.0492,OUT046,16,Small,Tier 1,Supermarket Type1,1969.4364
FDH35,Food,12.79,Low Fat,0.909087926,165.4526,OUT027,28,Medium,Tier 3,Supermarket Type3,5262.4832
FDB51,Food,6.92,Low Fat,0.584237116,60.5852,OUT045,11,Medium,Tier 2,Supermarket Type1,1314.2892
FDX44,Food,9.3,Low Fat,0.655159358,90.8172,OUT017,6,Medium,Tier 2,Supermarket Type1,535.3032
NCN07,Non-Consumable,18.5,Non-Edible,0.861471874,132.1284,OUT010,15,Medium,Tier 3,Grocery Store,263.6568
NCC31,Non-Consumable,8.02,Non-Edible,0.301226195,154.5972,OUT035,9,Small,Tier 2,Supermarket Type1,1402.1748
NCX54,Non-Consumable,9.195,Non-Edible,0.732823044,105.1622,OUT017,6,Medium,Tier 2,Supermarket Type1,1693.7952
NCO55,Non-Consumable,12.8,Non-Edible,1.383138891,105.5938,OUT045,11,Medium,Tier 2,Supermarket Type1,2143.876
NCC30,Non-Consumable,16.6,Non-Edible,0.418815947,177.6344,OUT049,14,Medium,Tier 1,Supermarket Type1,2676.516
FDI16,Food,14,Regular,1,53.064,OUT035,9,Small,Tier 2,Supermarket Type1,905.488
FDP16,Food,18.6,Low Fat,0.59672916,246.3802,OUT049,14,Medium,Tier 1,Supermarket Type1,7370.406
FDB11,Food,16,Low Fat,0.922425469,226.8404,OUT035,9,Small,Tier 2,Supermarket Type1,6301.1312
NCB06,Non-Consumable,17.6,Non-Edible,1.248112756,160.692,OUT035,9,Small,Tier 2,Supermarket Type1,1597.92
FDA45,Food,21.25,Low Fat,2.355477646,178.237,OUT035,9,Small,Tier 2,Supermarket Type1,529.311
NCO26,Non-Consumable,7.235,Non-Edible,1.165092586,117.5492,OUT035,9,Small,Tier 2,Supermarket Type1,1969.4364
DRJ25,Drinks,14.6,Low Fat,2.295872668,50.3692,OUT017,6,Medium,Tier 2,Supermarket Type1,1034.6532
FDR28,Food,13.85,Regular,0.394251402,161.521,OUT018,4,Medium,Tier 3,Supermarket Type2,1794.331
FDI04,Food,13.65,Regular,1.11002822,197.6426,OUT018,4,Medium,Tier 3,Supermarket Type2,2768.3964
DRK12,Drinks,12.79,Low Fat,0.632020076,31.29,OUT027,28,Medium,Tier 3,Supermarket Type3,898.83
FDX20,Food,7.365,Low Fat,0.645313996,226.172,OUT046,16,Small,Tier 1,Supermarket Type1,3169.208
NCI18,Non-Consumable,18.35,Non-Edible,0.213503601,223.5746,OUT018,4,Medium,Tier 3,Supermarket Type2,3589.9936
FDB36,Food,5.465,Regular,1,132.5626,OUT018,4,Medium,Tier 3,Supermarket Type2,262.3252
FDN13,Food,18.6,Low Fat,2.318604068,99.8358,OUT017,6,Medium,Tier 2,Supermarket Type1,1910.1802
DRD24,Drinks,13.85,Low Fat,0.469567378,140.9154,OUT017,6,Medium,Tier 2,Supermarket Type1,1701.7848
FDQ28,Food,14,Regular,0.915454603,154.5656,OUT013,26,High,Tier 3,Supermarket Type1,2471.4496
FDM22,Food,14,Regular,0.635649475,54.764,OUT013,26,High,Tier 3,Supermarket Type1,1331.6
FDR07,Food,12.79,Low Fat,1.173073084,97.0094,OUT027,28,Medium,Tier 3,Supermarket Type3,1808.9786
FDV25,Food,5.905,Low Fat,0.695015601,222.5456,OUT018,4,Medium,Tier 3,Supermarket Type2,3315.684
DRF49,Drinks,7.27,Low Fat,1.077709522,114.2518,OUT046,16,Small,Tier 1,Supermarket Type1,2618.5914
FDW51,Food,6.155,Regular,1.435267338,214.556,OUT046,16,Small,Tier 1,Supermarket Type1,2769.728
DRL01,Drinks,19.5,Regular,1.176733384,233.4958,OUT017,6,Medium,Tier 2,Supermarket Type1,5375.0034
FDP25,Food,15.2,Low Fat,0.323374951,216.8824,OUT017,6,Medium,Tier 2,Supermarket Type1,2838.9712
FDL50,Food,12.15,Regular,0.64417973,125.0046,OUT018,4,Medium,Tier 3,Supermarket Type2,1743.0644
NCB30,Non-Consumable,12.79,Non-Edible,0.3878309,198.8084,OUT027,28,Medium,Tier 3,Supermarket Type3,5555.4352
FDW11,Food,12.6,Low Fat,0.742664676,61.9194,OUT018,4,Medium,Tier 3,Supermarket Type2,619.194
NCM43,Non-Consumable,14.5,Non-Edible,0.295236804,164.821,OUT035,9,Small,Tier 2,Supermarket Type1,2120.573
FDK44,Food,16.6,Low Fat,1.86374027,173.0738,OUT017,6,Medium,Tier 2,Supermarket Type1,3823.0236
FDM15,Food,11.8,Regular,0.869922344,151.4366,OUT013,26,High,Tier 3,Supermarket Type1,1360.2294
FDS31,Food,13.1,Regular,0.669503196,178.8318,OUT013,26,High,Tier 3,Supermarket Type1,3969.4996
FDI32,Food,17.7,Low Fat,4.425369211,115.1834,OUT010,15,Medium,Tier 3,Grocery Store,345.5502
FDR47,Food,17.85,Low Fat,1,196.5794,OUT010,15,Medium,Tier 3,Grocery Store,585.2382
FDB35,Food,12.3,Regular,0.981763392,92.6804,OUT045,11,Medium,Tier 2,Supermarket Type1,1010.6844
NCU05,Non-Consumable,11.8,Non-Edible,1.490648628,81.4618,OUT010,15,Medium,Tier 3,Grocery Store,161.1236
DRY23,Drinks,12.79,Regular,2.896218522,42.1112,OUT019,28,Small,Tier 1,Grocery Store,42.6112
FDO24,Food,11.1,Low Fat,2.677264476,157.4604,OUT045,11,Medium,Tier 2,Supermarket Type1,3010.7476
FDQ28,Food,12.79,Regular,0.911780231,153.0656,OUT027,28,Medium,Tier 3,Supermarket Type3,6024.1584
FDV39,Food,11.3,Low Fat,0.110604163,198.1426,OUT045,11,Medium,Tier 2,Supermarket Type1,988.713
NCO17,Non-Consumable,12.79,Non-Edible,1.948037096,117.944,OUT019,28,Small,Tier 1,Grocery Store,239.688
FDU50,Food,5.75,Regular,1.138809554,112.8176,OUT013,26,High,Tier 3,Supermarket Type1,1374.2112
FDT12,Food,12.79,Regular,0.74873881,226.8062,OUT027,28,Medium,Tier 3,Supermarket Type3,4739.8302
FDK58,Food,11.35,Regular,0.6848202,100.0016,OUT018,4,Medium,Tier 3,Supermarket Type2,1012.016
FDO08,Food,12.79,Regular,1.427593348,165.7526,OUT019,28,Small,Tier 1,Grocery Store,657.8104
NCW29,Non-Consumable,14,Non-Edible,0.438311046,130.431,OUT049,14,Medium,Tier 1,Supermarket Type1,778.986
FDE04,Food,19.75,Regular,0.273826532,179.766,OUT045,11,Medium,Tier 2,Supermarket Type1,2336.958
NCB19,Non-Consumable,6.525,Non-Edible,1.371224898,85.0882,OUT049,14,Medium,Tier 1,Supermarket Type1,2233.0932
FDV15,Food,10.3,Low Fat,2.219765596,103.9648,OUT049,14,Medium,Tier 1,Supermarket Type1,1661.8368
FDL58,Food,5.78,Regular,1.126023134,264.7568,OUT049,14,Medium,Tier 1,Supermarket Type1,4745.8224
FDA08,Food,11.85,Regular,0.760949364,164.1526,OUT045,11,Medium,Tier 2,Supermarket Type1,3124.5994
FDT43,Food,16.35,Low Fat,0.31282463,50.1324,OUT018,4,Medium,Tier 3,Supermarket Type2,467.3916
NCX06,Non-Consumable,12.79,Non-Edible,0.236700864,182.5976,OUT027,28,Medium,Tier 3,Supermarket Type3,5070.7328
FDT20,Food,10.5,Low Fat,0.627652769,37.6164,OUT046,16,Small,Tier 1,Supermarket Type1,540.6296
FDB41,Food,19,Regular,1.475497,48.0718,OUT046,16,Small,Tier 1,Supermarket Type1,992.7078
NCN55,Non-Consumable,14.6,Non-Edible,0.903419022,238.8538,OUT049,14,Medium,Tier 1,Supermarket Type1,6008.845
FDE40,Food,12.79,Regular,1.49597412,62.9194,OUT027,28,Medium,Tier 3,Supermarket Type3,2105.2596
FDX49,Food,12.79,Regular,1.536533426,232.63,OUT027,28,Medium,Tier 3,Supermarket Type3,5359.69
NCM53,Non-Consumable,18.75,Non-Edible,0.790663502,104.628,OUT045,11,Medium,Tier 2,Supermarket Type1,745.696
FDE36,Food,5.26,Regular,0.633248318,161.8868,OUT035,9,Small,Tier 2,Supermarket Type1,3275.736
FDN57,Food,18.25,Low Fat,0.823986282,140.2154,OUT045,11,Medium,Tier 2,Supermarket Type1,1701.7848
FDI24,Food,12.79,Low Fat,1.188160438,177.937,OUT027,28,Medium,Tier 3,Supermarket Type3,6704.606
FDI19,Food,15.1,Low Fat,0.79358397,242.7512,OUT046,16,Small,Tier 1,Supermarket Type1,4119.9704
FDF24,Food,15.5,Regular,0.643869174,81.5934,OUT010,15,Medium,Tier 3,Grocery Store,327.5736
FDG52,Food,13.65,Low Fat,0.996665842,45.7402,OUT049,14,Medium,Tier 1,Supermarket Type1,780.9834
DRF36,Drinks,16.1,Low Fat,0.358212558,189.3846,OUT045,11,Medium,Tier 2,Supermarket Type1,3630.6074
FDS45,Food,12.79,Regular,0.783039138,107.3622,OUT019,28,Small,Tier 1,Grocery Store,317.5866
FDX40,Food,12.85,Low Fat,2.512315918,39.7164,OUT010,15,Medium,Tier 3,Grocery Store,231.6984
DRK12,Drinks,9.5,Low Fat,0.634975463,32.99,OUT035,9,Small,Tier 2,Supermarket Type1,133.16
DRC27,Drinks,13.8,Low Fat,0.880804145,245.1802,OUT035,9,Small,Tier 2,Supermarket Type1,5650.6446
FDL58,Food,5.78,Regular,1,263.7568,OUT017,6,Medium,Tier 2,Supermarket Type1,2636.568
NCD30,Non-Consumable,19.7,Non-Edible,0.407923881,96.0726,OUT045,11,Medium,Tier 2,Supermarket Type1,1272.3438
NCZ54,Non-Consumable,14.65,Non-Edible,1,161.5552,OUT010,15,Medium,Tier 3,Grocery Store,324.9104
FDE10,Food,6.67,Regular,2.2827652,130.0626,OUT010,15,Medium,Tier 3,Grocery Store,131.1626
FDR44,Food,6.11,Regular,1,131.2968,OUT010,15,Medium,Tier 3,Grocery Store,260.9936
FDP28,Food,13.65,Regular,2.046549486,260.0936,OUT010,15,Medium,Tier 3,Grocery Store,260.9936
FDX15,Food,17.2,Low Fat,2.367887904,160.6578,OUT013,26,High,Tier 3,Supermarket Type1,3690.5294
FDA39,Food,6.32,Low Fat,1,40.2822,OUT035,9,Small,Tier 2,Supermarket Type1,1139.1838
FDY24,Food,4.88,Regular,2.027219353,52.9298,OUT049,14,Medium,Tier 1,Supermarket Type1,1995.4026
FDC60,Food,5.425,Regular,1.745489803,88.3514,OUT017,6,Medium,Tier 2,Supermarket Type1,1416.8224
FDH28,Food,15.85,Regular,1.668329932,37.2506,OUT046,16,Small,Tier 1,Supermarket Type1,265.6542
FDT25,Food,7.5,Low Fat,0.773857372,121.7072,OUT017,6,Medium,Tier 2,Supermarket Type1,3552.7088
DRJ13,Drinks,12.65,Low Fat,0.952772089,161.5578,OUT013,26,High,Tier 3,Supermarket Type1,2406.867
NCO07,Non-Consumable,12.79,Non-Edible,0.259533912,211.956,OUT019,28,Small,Tier 1,Grocery Store,213.056
FDW20,Food,20.75,Low Fat,0.365857694,124.173,OUT013,26,High,Tier 3,Supermarket Type1,2956.152
DRF27,Drinks,12.79,Low Fat,0.754402999,152.134,OUT019,28,Small,Tier 1,Grocery Store,153.134
FDS49,Food,9,Low Fat,1,79.7644,OUT035,9,Small,Tier 2,Supermarket Type1,1649.8524
FDX25,Food,12.79,Low Fat,1.539913374,181.9292,OUT027,28,Medium,Tier 3,Supermarket Type3,3101.2964
NCX42,Non-Consumable,12.79,Non-Edible,0.090210663,165.6526,OUT027,28,Medium,Tier 3,Supermarket Type3,4769.1254
